Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,62138807,294874794113,21735998382,2917913.0,31279923911.0,-2954267.0,-29186643050.0,63440.0,-1927144504.0,-35137.0,-3819916710.0,1291.0,88705350.0,55120.0,1657465973.0,-13.0,-865600.0,5919.0,-2214960298.0,36257.0,2365316081.0,129868.0,666293316.0,-156954.0,-832429673.0,23
1차 철강 제조업,97260516,1095385520898,46179393305,-694925.0,16492608039.0,-39526.0,-51358426270.0,811506.0,39252771877.0,-67661.0,-2727528452.0,43914.0,3029722305.0,371558.0,13127215364.0,-11878.0,-266235335.0,393162.0,20363357170.0,81888.0,5839945685.0,-19007.0,-4629948737.0,-58048.0,242995091.0,59
가구 제조업,1468716,7234858021,11482147,-61543.0,-348899897.0,52397.0,294844745.0,1154.0,16376822.0,-429.0,-2926284.0,0.0,0.0,-28.0,-625154.0,-12.0,-435300.0,1754.0,23178310.0,-131.0,-2814750.0,-1690.0,-7723799.0,9682.0,45402129.0,9
가전제품 및 정보통신장비 소매업,40993,326650995,2105280,-416.0,-4067590.0,186.0,2229140.0,246.0,1949840.0,251.0,1990140.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,364700.0,-50.0,-405000.0,73.0,501680.0,-89.0,-613070.0,2
가정용 기기 제조업,752441,15225261862,1195612160,17346.0,-887898718.0,-17494.0,768199985.0,2896.0,309943021.0,-4868.0,-294445379.0,-25.0,-1879300.0,3030.0,225047250.0,0.0,0.0,3716.0,290830250.0,1043.0,90390200.0,-3115.0,-205834430.0,367.0,15590142.0,8
"가죽, 가방 및 유사제품 제조업",335359,4310092905,122149640,-18857.0,-485733045.0,-60233.0,-689737720.0,78944.0,1134316075.0,-466.0,-3764610.0,-2255.0,-33329570.0,22153.0,322295070.0,-268.0,-16147700.0,37889.0,539200125.0,21891.0,326062760.0,2271.0,81184340.0,-2125.0,-40029650.0,5
개인 및 가정용품 수리업,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,12040,298300675,4804250,-4135.0,-102495300.0,4686.0,116124250.0,-870.0,-21575200.0,-142.0,-3529700.0,-239.0,-5914825.0,-451.0,-11188850.0,0.0,0.0,42.0,1042175.0,-80.0,-1984000.0,319.0,7946250.0,0.0,0.0,1
건물 건설업,21610459,818416904392,44547658613,2858725.0,105521587802.0,-2568819.0,-97132826636.0,-304568.0,-8058849361.0,86124.0,3554340209.0,11492.0,-17941025.0,-47955.0,-1217320311.0,-8463.0,-24592739.0,-213809.0,-7995817375.0,-131448.0,-2327424455.0,-7110.0,-939636103.0,21772.0,609724298.0,24
건물설비 설치 공사업,117558,2204480735,550250,719.0,73077085.0,15637.0,317870845.0,-17040.0,-401914645.0,81.0,-2238020.0,-40.0,-936950.0,15.0,62625.0,0.0,0.0,0.0,0.0,-17096.0,-398802300.0,136.0,3150075.0,548.0,7816640.0,2
"건축기술, 엔지니어링 및 관련 기술 서비스업",7746365,456878247114,25332243742,1058968.0,64972370616.0,-944329.0,-71247215940.0,-160143.0,4688169041.0,-56493.0,671629001.0,-19224.0,-302493600.0,-20378.0,-263366355.0,0.0,0.0,52915.0,9515937555.0,-116048.0,-4916039935.0,50024.0,1821239485.0,-4520.0,-234563202.0,16
"건축자재, 철물 및 난방장치 도매업",394846,657676797,15123311,-14125.0,-23321382.0,8394.0,13720045.0,-311.0,-520614.0,-149.0,-249426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-162.0,-271188.0,0.0,0.0,6042.0,10121951.0,1
"경비, 경호 및 탐정업",32880,2831889850,844804400,-2490.0,-216421100.0,14344.0,1234907950.0,-11875.0,-1020285150.0,-6921.0,-594860850.0,-73.0,-6286800.0,-204.0,-17585400.0,0.0,0.0,-4527.0,-388528700.0,-150.0,-13023300.0,20.0,1712000.0,1.0,86300.0,1
고무제품 제조업,1581836,25885526715,3038591555,433739.0,6974466821.0,-271566.0,-4866065179.0,-163272.0,-2407819135.0,-78271.0,-311863195.0,-12920.0,-777839110.0,26258.0,890491255.0,-4908.0,-52651355.0,-77166.0,-1166848560.0,-16034.0,-987712110.0,-4099.0,20924971.0,5198.0,278492522.0,8
