Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,246822407,628494774674,11020117713,4080637.0,4418566135.0,-4291036.0,305396872.0,122724.0,-4401543910.0,-63578.0,-5173338674.0,5682.0,475880650.0,1112.0,92165442.0,0.0,0.0,168146.0,-984377242.0,11369.0,1199731664.0,33644.0,-215976381.0,54031.0,-106442716.0,23
1차 철강 제조업,44364294,597404239320,36518100049,1767749.0,-4604928432.0,-1694287.0,2936475108.0,-187103.0,-511931998.0,-154061.0,-9529440629.0,21930.0,1593969700.0,31590.0,1103198215.0,23919.0,364378385.0,-130188.0,-297867444.0,19781.0,6236691125.0,99788.0,2202436730.0,13853.0,-22051408.0,59
가구 제조업,456256,1601568553,129483397,37056.0,350734625.0,-32214.0,-303967972.0,-5766.0,-53051700.0,2491.0,14950920.0,-2329.0,-24038850.0,-586.0,-6048740.0,202.0,7756400.0,-6037.0,-62312240.0,493.0,16640810.0,3557.0,7197483.0,-2633.0,-912436.0,9
가전제품 및 정보통신장비 소매업,30783,222056695,3255750,8621.0,68273700.0,-10106.0,-76280270.0,1456.0,7782720.0,-1144.0,-8787280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,16570000.0,0.0,0.0,29.0,223850.0,2
가정용 기기 제조업,924757,16615780514,1553182949,21951.0,2880066735.0,-15106.0,-2416087112.0,-7875.0,-447458001.0,-14338.0,-879762551.0,-199.0,-12499600.0,-143.0,-9007200.0,0.0,0.0,4575.0,294602250.0,2230.0,159204800.0,90.0,-18065031.0,940.0,1543409.0,8
"가죽, 가방 및 유사제품 제조업",245273,2590667820,75070720,155.0,-90110250.0,12562.0,193124750.0,-7157.0,-66634840.0,36.0,-3404070.0,-10848.0,-122322830.0,6760.0,74399290.0,428.0,25868500.0,-15094.0,-170157500.0,11914.0,133825280.0,1911.0,78251570.0,-7471.0,-114631230.0,5
개인 및 가정용품 수리업,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,24137,561368200,26751350,1527.0,35870750.0,-79.0,-2195450.0,-1471.0,-34197500.0,-129.0,-3053200.0,-313.0,-7227950.0,-129.0,-3022050.0,0.0,0.0,0.0,0.0,3.0,69150.0,24.0,545400.0,-1.0,-23200.0,1
건물 건설업,59730715,1137424767403,96080100797,9992679.0,171900497222.0,-8501072.0,-146787448065.0,-1536777.0,-25899514265.0,-501427.0,-8885488477.0,-173696.0,-3195819775.0,-286878.0,-4261447600.0,21916.0,63251534.0,-518017.0,-8673943797.0,-79396.0,-964974840.0,16545.0,225293984.0,28625.0,561171124.0,24
건물설비 설치 공사업,98119,984232280,612025,-11160.0,-197122270.0,-1436.0,-125145210.0,19028.0,345343905.0,-635.0,-2286695.0,-4.0,-70950.0,2484.0,43906760.0,0.0,0.0,0.0,0.0,17183.0,303794790.0,-5972.0,-21326095.0,-460.0,-1750330.0,2
"건축기술, 엔지니어링 및 관련 기술 서비스업",11085233,292309425811,26885981530,567048.0,38549249695.0,-570036.0,-32494889697.0,-52627.0,-7838048951.0,-268945.0,-11372121556.0,34108.0,796614200.0,92468.0,3436743815.0,523.0,16958875.0,123267.0,938960535.0,-32894.0,-1693243470.0,60767.0,1778937285.0,-5152.0,4751668.0,16
"건축자재, 철물 및 난방장치 도매업",512035,777954903,37470383,107398.0,162856241.0,-98741.0,-150056358.0,-79.0,-116920.0,-79.0,-116920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,1646273.0,-9675.0,-14329236.0,1
"경비, 경호 및 탐정업",47309,4107998800,1471349800,-4702.0,-412394750.0,17464.0,1506350400.0,-12872.0,-1103395650.0,-12271.0,-1053289500.0,-67.0,-5767600.0,-355.0,-29712100.0,0.0,0.0,-161.0,-13464500.0,-18.0,-1163450.0,110.0,9440000.0,0.0,0.0,1
고무제품 제조업,1246896,29755378096,7385624692,-61990.0,-445729965.0,90758.0,56984369.0,-16788.0,408370200.0,-123018.0,-2495299190.0,-3768.0,-203664700.0,-1933.0,-211343290.0,10655.0,53850155.0,76484.0,2788351705.0,24792.0,476475520.0,-11878.0,-20218710.0,-102.0,594106.0,8
"곡물가공품, 전분 및 전분제품 제조업",3115246,5549943708,103532485,287573.0,211373565.0,-258623.0,-135146532.0,26504.0,55587962.0,7114.0,24409822.0,6.0,18020.0,-315.0,-46806665.0,19850.0,101290985.0,0.0,0.0,-151.0,-23324200.0,-37330.0,-110034826.0,-18124.0,-21780169.0,7
"골판지, 종이 상자 및 종이용기 제조업",51212448,109923447359,1293807386,1877336.0,3912765112.0,-1609327.0,-3543688088.0,-187699.0,-352059771.0,-85418.0,-212450804.0,2.0,25060.0,3.0,37910.0,0.0,0.0,3028.0,26767590.0,-105314.0,-166439527.0,9873.0,103202213.0,-90183.0,-120219466.0,9
"과실, 채소 가공 및 저장 처리업",766138,1255849942,73079605,-42863.0,-44291236.0,44543.0,49802412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1140.0,-3390895.0,-540.0,-2120281.0,3
광고업,1892938,17387057607,2389814427,569676.0,6386488280.0,-491363.0,-4448716758.0,-97320.0,-2032817493.0,16380.0,79370971.0,-4893.0,-89076335.0,-32813.0,-617204395.0,0.0,0.0,-65011.0,-1162592895.0,-10983.0,-243315029.0,17948.0,90657384.0,1059.0,4388587.0,19
교육지원 서비스업,9826,25983735,3785580,1923.0,5089160.0,-1880.0,-4976285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.0,-112875.0,1
"구조용 금속제품, 탱크 및 증기발생기 제조업",18323129,170693125314,14136481982,1028871.0,496237875.0,-1316397.0,-13195184831.0,241570.0,12993516605.0,-54688.0,-2578569470.0,11881.0,545020125.0,74421.0,3526242900.0,1666.0,31127830.0,207738.0,10993947550.0,1262.0,504812320.0,27404.0,-312905805.0,18552.0,18336156.0,21
귀금속 및 장신용품 제조업,583494,1016039489,12301455,14273.0,13978989.0,-32732.0,-49629170.0,14318.0,23725384.0,14298.0,23694244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31140.0,4141.0,11924797.0,0.0,0.0,2
그외 기타 개인 서비스업,392096,28527897306,1998450300,-76744.0,-5613584250.0,48787.0,3551130800.0,30929.0,2279116150.0,-44739.0,-3244611100.0,5068.0,369153100.0,9317.0,679032650.0,0.0,0.0,64993.0,4741685950.0,-3656.0,-262213250.0,-1914.0,-139585500.0,-1058.0,-77077200.0,1
그외 기타 운송장비 제조업,4411646,400804790376,36681472282,-518851.0,-154366563487.0,271041.0,101175462206.0,248181.0,54941043991.0,19236.0,6768354111.0,15349.0,3129908200.0,58844.0,11999373200.0,108.0,21902500.0,80489.0,17791254800.0,72514.0,14897464450.0,-6311.0,-1284074505.0,5940.0,-465868205.0,5
"그외 기타 전문, 과학 및 기술 서비스업",3435937,78318574562,2971998276,226497.0,-5790078949.0,-32061.0,15494149946.0,-175979.0,-9720989136.0,9643.0,1437303733.0,-669.0,-67411525.0,-135917.0,-6562520494.0,0.0,0.0,-15527.0,-1228773300.0,-33509.0,-3299592500.0,1416.0,74325696.0,-19873.0,-57407557.0,16
그외 기타 제품 제조업,8986878,17926963852,235697773,784121.0,1296779679.0,-772631.0,-1694624244.0,15200.0,155558307.0,1430.0,-10722873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14821.0,192469880.0,-21636.0,237441300.0,-5054.0,4844958.0,10
금속 주조업,894588,5334853669,76538635,-73660.0,-725234392.0,68371.0,709992695.0,-470.0,-3254685.0,-470.0,-3254685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6421.0,24953945.0,-662.0,-6457563.0,3
금융 지원 서비스업,71878542,595200424699,72928249847,9482146.0,142420163056.0,-8568539.0,-73094403904.0,-934809.0,-73464478134.0,-361643.0,-39086283157.0,-68808.0,-2911631606.0,-209071.0,-2753092739.0,-58290.0,-1822518825.0,-370814.0,-19279008809.0,133106.0,-7615858478.0,202521.0,3936638980.0,-181319.0,202080002.0,88
기계장비 및 관련 물품 도매업,7840533,108945553441,2943974464,78500.0,15381068502.0,-96011.0,13486884.0,-67886.0,-15904818315.0,29858.0,6219823335.0,-1551.0,-304858650.0,-38198.0,-9147357195.0,0.0,0.0,-39859.0,-9492406900.0,-24138.0,-3316737405.0,80438.0,533369216.0,4959.0,-23106287.0,24
기록매체 복제업,124181,189173799,895129,-23267.0,-35663105.0,-38438.0,-58545017.0,62451.0,95383425.0,62451.0,95383425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-746.0,-1175303.0,0.0,0.0,1
기반조성 및 시설물 축조관련 전문공사업,342984,1864833151,19786945,32875.0,35029695.0,-27307.0,-9464555.0,-224.0,-1755065.0,-177.0,-926455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-846270.0,-4413.0,-19694575.0,-931.0,-4115500.0,3
기초 의약물질 제조업,14665343,692157263309,63915355383,1339449.0,66378766223.0,-645308.0,-13037079578.0,-737415.0,-53646209087.0,-297812.0,-43968936087.0,-51178.0,-2104520310.0,-121328.0,511683170.0,95.0,146428500.0,-147975.0,5653706480.0,-119847.0,-14027816740.0,16396.0,-1066751620.0,26878.0,1371274062.0,45
기초 화학물질 제조업,28451402,660918295446,57874208846,1555923.0,23293732067.0,-1164297.0,12927584460.0,-428807.0,-36353284269.0,-244295.0,-13813566366.0,-2661.0,-1211680610.0,-186822.0,-6029490875.0,-1317.0,-33277350.0,46386.0,-13558079013.0,-43262.0,-2108112855.0,21713.0,-181927985.0,15468.0,313895727.0,50
기타 과학기술 서비스업,3159684,37386855840,136591195,231135.0,1981571970.0,-276276.0,-2413373215.0,11193.0,125650510.0,15344.0,174817380.0,0.0,0.0,-4151.0,-49166870.0,0.0,0.0,0.0,0.0,0.0,0.0,38174.0,364226275.0,-4226.0,-58075540.0,5
기타 교육기관,54720,420722025,0,-8616.0,-930435.0,1029.0,294500.0,8242.0,4006635.0,10000.0,52045385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-593.0,-16236250.0,-574.0,-2638040.0,-81.0,-732660.0,2
기타 금속 가공제품 제조업,9512873,150925726893,2669459859,-4146.0,-1354707558.0,-56896.0,1619866500.0,20570.0,-179167660.0,26930.0,241746515.0,8926.0,239215330.0,-5147.0,169229095.0,0.0,0.0,36037.0,310498360.0,28171.0,-62001375.0,43829.0,-13016898.0,-3357.0,-72974384.0,26
기타 금융업,189721391,2706399158554,213368676874,3702295.0,63594829717.0,-1189135.0,82174481423.0,-2508927.0,-151732710028.0,-1690927.0,-125586880769.0,-16613.0,-3062697795.0,-371438.0,-37239597865.0,48384.0,4551593085.0,-185807.0,-15463897035.0,-304840.0,-5473878045.0,-57511.0,5581605367.0,53278.0,381793521.0,104
기타 비금속 광물제품 제조업,13446822,180059618906,2258172798,509349.0,2087698963.0,-498867.0,1652817507.0,-43261.0,-3892921941.0,1976.0,-409052205.0,-303.0,-64898750.0,-15697.0,-2637303271.0,0.0,0.0,-921.0,-192356250.0,-28316.0,-589318965.0,34441.0,207987774.0,-1662.0,-55582303.0,9
기타 사업지원 서비스업,651555,4310615941,73725196,50830.0,569318523.0,-58179.0,-532870543.0,-6815.0,-81523061.0,-1875.0,-19800491.0,0.0,0.0,-1135.0,-11693670.0,0.0,0.0,-604.0,-7365930.0,-3101.0,-41647350.0,15049.0,46009480.0,-885.0,-934399.0,8
기타 상품 전문 소매업,1202626,24977635450,2837697310,43898.0,1446836050.0,-37226.0,-1088965020.0,-6598.0,-361399135.0,-28138.0,-808624985.0,-3659.0,-194054630.0,4794.0,-45908695.0,0.0,0.0,20993.0,694169820.0,-588.0,-6981745.0,-1286.0,-17838090.0,1212.0,21366195.0,3
기타 생활용품 소매업,3250833,3179584016,32138213,312251.0,306730407.0,-313353.0,-310012408.0,263.0,224865.0,263.0,224865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,1276609.0,225.0,1780527.0,2
기타 섬유제품 제조업,123532,572026329,4988125,23343.0,149289235.0,-23512.0,-137763215.0,-796.0,-5512840.0,-796.0,-5512840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,-5920840.0,-36.0,-92340.0,3
기타 식품 제조업,18866705,146316144871,15134947371,-25551.0,-21216785810.0,-70203.0,9537790828.0,10557.0,13006692871.0,-41439.0,-7503436632.0,-110.0,1111395185.0,28324.0,12780213735.0,361.0,159177750.0,-6173.0,-710416320.0,29527.0,7147203153.0,-5028.0,-1401879548.0,90225.0,74181659.0,34
기타 운송관련 서비스업,2969255,42942984238,4203378865,4767.0,-1673104322.0,-37887.0,7210751702.0,-27362.0,-5944294280.0,-18040.0,-3822015230.0,-792.0,-169306750.0,-720.0,-152747250.0,733.0,42764800.0,-7411.0,-1560235250.0,-1134.0,-283053500.0,56743.0,460593720.0,3739.0,-53946820.0,6
기타 전기장비 제조업,5903396,129955336581,4405829145,211140.0,-7534615970.0,-258120.0,5465864371.0,62886.0,2439624115.0,-4481.0,-349480775.0,-17.0,-736050.0,3885.0,27939435.0,0.0,0.0,29116.0,1350416650.0,34379.0,1411386955.0,-5449.0,-62494527.0,-10457.0,-308377989.0,12
기타 전문 도매업,69627204,873082374906,17042652073,894083.0,6980257434.0,-756324.0,14488184285.0,-145443.0,-22490379352.0,-173264.0,-16443642942.0,-5579.0,134619345.0,107124.0,4611677225.0,322.0,31979200.0,-74279.0,-11564753900.0,232.0,739487220.0,18572.0,1089769888.0,-10888.0,-67832255.0,35
기타 전문 서비스업,61278,742833220,36251990,2111.0,14805320.0,-2787.0,-21545390.0,77.0,840070.0,77.0,840070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,6358610.0,-29.0,-458610.0,2
기타 정보 서비스업,5668926,27421600509,719306915,-317611.0,-1682278761.0,197162.0,370806660.0,56192.0,856216283.0,44615.0,749993253.0,28.0,460980.0,-28216.0,-573106080.0,0.0,0.0,40187.0,685871170.0,-422.0,-7003040.0,70614.0,472046574.0,-6357.0,-16790756.0,19
기타 종이 및 판지 제품 제조업,1986024,2901302000,68088965,130380.0,327711878.0,-134462.0,-357196148.0,9757.0,1390118.0,-243.0,-1754882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,3145000.0,4641.0,36171495.0,-10316.0,-8077343.0,3
기타 화학제품 제조업,97881649,618509741668,63881141834,245038.0,9169166868.0,-29805.0,11965645223.0,-199431.0,-19352088088.0,-307974.0,-34238553807.0,4777.0,-17388880.0,13779.0,4303061185.0,10565.0,-236837060.0,122173.0,1301176809.0,-43221.0,10122427350.0,34369.0,-1708566915.0,-50171.0,-74157088.0,95
기타/미분류,166490279,750585068181,7426513285,-961625.0,90982484275.0,478693.0,-101389914990.0,140888.0,8019865610.0,-65848.0,1745469642.0,8305.0,927440100.0,-5878.0,1758572080.0,-30.0,-11040000.0,116335.0,12630790290.0,90065.0,-8734924202.0,8251.0,671659185.0,333793.0,1715905920.0,131
나무제품 제조업,345958,3609904904,127506980,32509.0,284974344.0,-19151.0,-153375355.0,-14251.0,-140825834.0,-12866.0,-135665680.0,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,-2215935.0,-785.0,-2944219.0,1321.0,13822590.0,-428.0,-4595745.0,2
"내화, 비내화 요업제품 제조업",1224537,3266785118,66377670,-36608.0,27576833.0,47587.0,-39933575.0,4757.0,33341447.0,4783.0,33868152.0,5.0,24210.0,7.0,33905.0,0.0,0.0,-44.0,-613740.0,6.0,28920.0,-8473.0,-9725848.0,-7263.0,-11258857.0,5
담배 제조업,317054,49357392750,5916994550,30299.0,4694213250.0,24848.0,3855809200.0,-55861.0,-8659644450.0,-18514.0,-2819591650.0,57.0,7856550.0,-2747.0,-428709600.0,373.0,58116100.0,-34663.0,-5421694950.0,-367.0,-55623800.0,659.0,100996400.0,55.0,8625600.0,1
