Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,9849747.0,78630790282.0,3656445387.0,-1893609.0,-10744039859.0,1725716.0,9886884546.0,94646.0,834444603.0,-49593.0,-4137064116.0,10389.0,-37351600.0,24396.0,1696223050.0,-73.0,-39582400.0,-46675.0,3323080750.0,156200.0,28823669.0,16448.0,-3401952.0,56799.0,26112662.0,23
1차 철강 제조업,25348129.0,305241000688.0,23892110790.0,83050.0,14949593475.0,334179.0,11985660187.0,-285859.0,-25617568349.0,89206.0,-576755707.0,-35322.0,-1135046755.0,-72234.0,-12323228030.0,-4409.0,-115204629.0,-161534.0,-11954388795.0,-101971.0,363525167.0,42043.0,-487023707.0,-173413.0,-830661606.0,59
ETF,22733725.0,1025364903353.0,0.0,50400.0,26157415137.0,-57678.0,-5994126393.0,-3344.0,-18832466075.0,-2708151.0,-88920389227.0,42728.0,3990225245.0,2259479.0,-3287052067.0,375261.0,69171563268.0,0.0,0.0,27234.0,193290730.0,-10639.0,-1525669972.0,21261.0,194847303.0,7
가구 제조업,403037.0,1619568854.0,109587248.0,-52379.0,-220178748.0,48539.0,198768001.0,403.0,2310760.0,463.0,3781560.0,-1.0,-23800.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,-1447000.0,2775.0,21230720.0,662.0,-2130733.0,9
가전제품 및 정보통신장비 소매업,66622.0,323399015.0,21291190.0,11932.0,39026520.0,-81.0,3955530.0,-11459.0,-41173930.0,-11459.0,-41173930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,498000.0,-475.0,-2306120.0,2
가정용 기기 제조업,2808570.0,28767263890.0,2439760637.0,-257558.0,-4177732425.0,226005.0,3117842231.0,1712.0,51666427.0,24167.0,601251282.0,-707.0,-42138900.0,-156.0,-6174300.0,-5.0,-298900.0,-6807.0,-189204650.0,-14717.0,-311552330.0,24044.0,713476915.0,5797.0,294746852.0,9
"가죽, 가방 및 유사제품 제조업",218823.0,2001608863.0,162918735.0,-23087.0,-292743513.0,-27911.0,-413655631.0,50284.0,654868565.0,3538.0,125101530.0,11308.0,128770110.0,46605.0,530969905.0,-115.0,-5979400.0,4836.0,55169310.0,-16508.0,-186209380.0,1379.0,71146496.0,-665.0,-19615917.0,5
개인 및 가정용품 수리업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,12704.0,259409100.0,40852500.0,2616.0,53592175.0,-2704.0,-55313325.0,-56.0,-1156750.0,44.0,903850.0,-373.0,-7587350.0,279.0,5649750.0,0.0,0.0,0.0,0.0,-6.0,-123000.0,142.0,2837000.0,2.0,40900.0,1
건물 건설업,30436036.0,511485652755.0,26016936395.0,-3184826.0,-17100520995.0,1735072.0,31222137273.0,158651.0,2680430721.0,-146888.0,-3161777929.0,-17387.0,-352240570.0,46639.0,393865610.0,-3186.0,-57247699.0,154131.0,3475501335.0,125341.0,2382268164.0,1316797.0,-16162164935.0,-25694.0,-639882064.0,24
