티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4130.0,191900.0,792031153.0,-3.39,23953475.0,3.02,-4705.0,-19752742.0,31261.0,129380189.0,-15545.0,-64349907.0,-56.0,-238420.0,0.0,0.0,0.0,0.0,0.0,0.0,-15489.0,-64111487.0,0.0,0.0,-10726.0,-44105915.0,-285.0,-1171625.0,0.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,6190.0,16922.0,105829200.0,-6.21,5296280.0,5.0,1001.0,6315440.0,-959.0,-6039930.0,-51.0,-330910.0,-52.0,-337130.0,0.0,0.0,1.0,6220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55400.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,4095.0,173987.0,716554340.0,-4.1,113706055.0,15.87,2123.0,8073830.0,2953.0,12865080.0,-4916.0,-20284865.0,3229.0,13171650.0,0.0,0.0,-108.0,-442245.0,150.0,617125.0,0.0,0.0,-8187.0,-33631395.0,-202.0,-827360.0,42.0,173315.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,127100.0,61205.0,7744152350.0,-1.78,1291967600.0,15.92,-3382.0,-433633400.0,-3439.0,-438618000.0,6729.0,861062100.0,-1445.0,-180372150.0,-161.0,-20274650.0,9300.0,1182889500.0,0.0,0.0,698.0,89282700.0,-1663.0,-210464200.0,16.0,1976400.0,76.0,9212900.0,0.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,16230.0,1168442.0,19013084010.0,-5.86,5114822320.0,24.59,70215.0,1122089295.0,10621.0,209207060.0,-89082.0,-1466000050.0,-56015.0,-936636925.0,-1628.0,-26290230.0,-10601.0,-169936955.0,0.0,0.0,-13971.0,-225372690.0,-6866.0,-107747050.0,14622.0,239209675.0,-6376.0,-104505980.0,0.0,0.0,0.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",33850.0,5637.0,191163050.0,-7.89,13224650.0,5.16,1502.0,50773550.0,-907.0,-30654050.0,-793.0,-26853950.0,-71.0,-2394600.0,0.0,0.0,0.0,0.0,0.0,0.0,-722.0,-24459350.0,0.0,0.0,198.0,6734450.0,0.0,0.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,23650.0,1153.0,26991850.0,-5.4,1417300.0,5.25,-283.0,-6556950.0,222.0,5128250.0,0.0,-1450.0,0.0,-1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1267250.0,7.0,162900.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,168300.0,228032.0,39509846200.0,-8.43,9326535900.0,21.17,32649.0,5638080300.0,-57172.0,-9966633450.0,20275.0,3586948050.0,-9112.0,-1582392300.0,-5790.0,-972042200.0,19733.0,3426066050.0,-414.0,-71929800.0,18115.0,3183705700.0,-2333.0,-409762500.0,3475.0,606337800.0,773.0,135267300.0,0.0,0.0,0.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4305.0,407141.0,1764891633.0,-4.12,496600925.0,28.14,175836.0,760310787.0,-160745.0,-694772716.0,-10011.0,-43323816.0,935.0,4072159.0,37.0,159855.0,-144.0,-619920.0,0.0,0.0,0.0,0.0,-10839.0,-46935910.0,-7600.0,-33099475.0,2520.0,10885220.0,0.0,0.0,0.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,156900.0,5862.0,914032700.0,-4.91,130117600.0,14.24,-1041.0,-164342600.0,-1548.0,-241743100.0,2549.0,399880400.0,2549.0,399880400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6206000.0,0.0,-700.0,0.0,0.0,0.0
000120,CJ대한통운,유가,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",77600.0,118143.0,9242639300.0,-5.25,895903100.0,7.76,27671.0,2159224200.0,11643.0,897412300.0,-42486.0,-3310065500.0,-54801.0,-4278642900.0,205.0,16144100.0,689.0,53950000.0,431.0,33826700.0,12944.0,1015435500.0,-2320.0,-179617300.0,3235.0,258403300.0,-63.0,-4974300.0,0.0,0.0,0.0
