티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4450.0,310840.0,1387566457.0,-3.47,16338245.0,1.18,71855.0,322516840.0,-33926.0,-153399497.0,-30942.0,-137736188.0,-251.0,-1105930.0,-67.0,-298142.0,92.0,409025.0,0.0,0.0,-30859.0,-137377496.0,143.0,636355.0,876.0,3910655.0,-7863.0,-35291810.0,0.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,7240.0,22201.0,160601990.0,-4.11,2721390.0,1.69,724.0,5667320.0,-1188.0,-8868230.0,-1179.0,-8629050.0,-1186.0,-8679750.0,0.0,0.0,7.0,50700.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,12690120.0,-117.0,-860160.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,4450.0,275057.0,1228880815.0,-2.52,221159340.0,18.0,7027.0,28912794.0,-9430.0,-39539464.0,-5073.0,-22676650.0,-334.0,-1480099.0,-123.0,-551889.0,573.0,2551200.0,-1614.0,-7208915.0,88.0,397880.0,-3663.0,-16384827.0,6866.0,30567250.0,610.0,2736070.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,124200.0,77526.0,9692945583.0,0.4,1535702550.0,15.17,-2971.0,-373586600.0,-7511.0,-951752300.0,10221.0,1292778300.0,2976.0,373504950.0,-573.0,-71919400.0,-1686.0,-209785450.0,0.0,0.0,9444.0,1193508800.0,60.0,7469400.0,263.0,32832500.0,-2.0,-271900.0,0.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,16820.0,5179129.0,87263350275.0,-1.69,2547079705.0,2.82,20187.0,337700000.0,-457857.0,-7754398985.0,200750.0,3409029265.0,200167.0,3397773845.0,8199.0,138857040.0,-3464.0,-59166840.0,-2481.0,-41951650.0,-4381.0,-72736055.0,1480.0,25351175.0,237559.0,4018465460.0,-639.0,-10795740.0,0.0,0.0,0.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",40700.0,5348.0,214159350.0,2.01,23971200.0,9.28,-794.0,-31648550.0,-989.0,-40061150.0,1783.0,71709700.0,-239.0,-9521500.0,-7.0,-281300.0,59.0,2400450.0,0.0,0.0,6.0,242400.0,1964.0,78869650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,27700.0,1066.0,29450300.0,-1.95,477250.0,1.62,193.0,5355800.0,-58.0,-1620750.0,-131.0,-3621250.0,-157.0,-4340900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,719650.0,0.0,0.0,-4.0,-113800.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,161700.0,143023.0,23181240100.0,-1.76,1128806600.0,3.74,4300.0,711548650.0,-3624.0,-604515750.0,6986.0,1137745150.0,8754.0,1421655450.0,-2962.0,-478853150.0,-8076.0,-1311012950.0,-167.0,-26773050.0,5348.0,868879900.0,4090.0,664006600.0,-4654.0,-758335300.0,-3008.0,-486442750.0,0.0,0.0,0.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4560.0,436586.0,1979261685.0,0.0,233455325.0,11.8,-22461.0,-101874403.0,-2464.0,-11791177.0,24665.0,112494440.0,-9320.0,-42238230.0,0.0,0.0,162.0,738370.0,0.0,0.0,33031.0,150384055.0,792.0,3610245.0,0.0,0.0,260.0,1171140.0,0.0,0.0,0.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,148200.0,7810.0,1144419800.0,-1.13,148614700.0,12.99,354.0,49596400.0,-392.0,-57918100.0,127.0,21257600.0,127.0,21257600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-460300.0,-86.0,-12475600.0,0.0,0.0,0.0
000120,CJ대한통운,유가,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",85500.0,87111.0,7379130800.0,0.0,1267399300.0,14.33,14626.0,1212628700.0,-14911.0,-1249462650.0,459.0,50864350.0,12047.0,1031243550.0,186.0,16128000.0,-1299.0,-108308300.0,0.0,0.0,-8977.0,-762855300.0,-2223.0,-187329300.0,-258.0,-21220500.0,84.0,7190100.0,0.0,0.0,0.0
011150,CJ씨푸드,유가,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",2170.0,152097.0,329073152.0,-3.34,4430105.0,1.35,18141.0,39785977.0,-17327.0,-37954882.0,1322.0,2806165.0,1300.0,2758480.0,0.0,0.0,22.0,47685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2136.0,-4637260.0,0.0,0.0,0.0
