날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-01-27,247398776513,-72504406028,-1019705108207,844810737722,0,KOSPI
2026-01-27,1652780163476,-85481006181,-1454040981545,-113258175750,0,KOSDAQ
