티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4895.0,252290.0,1230352462.0,-0.71,11029065.0,0.9,-17190.0,-84168356.0,31436.0,153875011.0,-1899.0,-9271905.0,-298.0,-1458590.0,-367.0,-1792920.0,-340.0,-1660325.0,0.0,0.0,0.0,0.0,-894.0,-4360070.0,-4714.0,-23040135.0,-7633.0,-37394615.0,0.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,8100.0,13600.0,110130790.0,-2.88,6223610.0,5.65,3033.0,24716320.0,-2545.0,-20737760.0,-157.0,-1291470.0,-137.0,-1129660.0,0.0,0.0,-15.0,-121420.0,0.0,0.0,0.0,0.0,-5.0,-40390.0,0.0,0.0,-331.0,-2687090.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,5140.0,169464.0,870039735.0,-0.58,18200210.0,2.09,-49218.0,-252841350.0,41530.0,213649965.0,878.0,4389120.0,-556.0,-2997840.0,-40.0,-205320.0,-636.0,-3261440.0,-2463.0,-12633210.0,4681.0,24042050.0,-108.0,-555120.0,6799.0,34746045.0,11.0,56220.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,133900.0,86827.0,11400952550.0,3.72,2122740500.0,16.81,-5092.0,-695696300.0,1952.0,263666900.0,3051.0,420230800.0,3148.0,415985900.0,-415.0,-54811900.0,-2630.0,-338163600.0,0.0,0.0,3641.0,487114950.0,-693.0,-89894550.0,89.0,11956800.0,0.0,-158200.0,0.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,18200.0,1105232.0,20164383465.0,0.39,653000800.0,2.78,34495.0,626169055.0,70194.0,1286119410.0,-33733.0,-614742125.0,57826.0,1055926315.0,-17584.0,-320972860.0,-69311.0,-1264879730.0,13716.0,248908865.0,-3763.0,-67203570.0,-13886.0,-253165225.0,-70972.0,-1297844450.0,16.0,298110.0,0.0,0.0,0.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",49100.0,5829.0,283627350.0,-1.41,2133050.0,0.58,283.0,13679900.0,-359.0,-17448750.0,125.0,6158550.0,-3.0,-140150.0,-1.0,-48300.0,-854.0,-41502500.0,0.0,0.0,486.0,23804050.0,497.0,24045450.0,-55.0,-2687150.0,6.0,297450.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,32800.0,1064.0,35123925.0,-3.53,928900.0,2.64,58.0,1951375.0,-90.0,-3001500.0,0.0,475.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1055850.0,0.0,-6200.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,217500.0,99418.0,21778525500.0,0.93,2583038500.0,10.07,-9437.0,-2110480250.0,25526.0,5607934250.0,-16841.0,-3662077750.0,-3112.0,-693532250.0,-4172.0,-908060250.0,-3699.0,-802285500.0,-105.0,-22805000.0,-16580.0,-3618301000.0,10826.0,2382688250.0,684.0,149568750.0,68.0,15055000.0,0.0,0.0,0.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4815.0,420719.0,2031917129.0,0.73,226901695.0,11.17,-21905.0,-105312987.0,26047.0,125364032.0,-5337.0,-25788550.0,-5045.0,-24379635.0,-89.0,-430480.0,-43.0,-207580.0,0.0,0.0,0.0,0.0,-160.0,-770855.0,1000.0,4800580.0,195.0,936925.0,0.0,0.0,0.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,188900.0,7679.0,1451041400.0,1.18,11890000.0,0.82,-1547.0,-293226500.0,1054.0,199746400.0,396.0,75192800.0,1700.0,320822900.0,-7.0,-1317300.0,-1297.0,-244312800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,18287300.0,0.0,0.0,0.0
