corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00346911,아이톡시,052770,K,소송등의제기ㆍ신청(일정금액이상의청구)              ,20260522901016,아이톡시,20260522,코정
00298447,아모텍,052710,K,증권신고서(지분증권),20260522000667,아모텍,20260522,정
00109310,대동기어,008830,K,[기재정정]증권신고서(지분증권),20260522000666,대동기어,20260522,정
00298447,아모텍,052710,K,주요사항보고서(유무상증자결정),20260522000661,아모텍,20260522,
00203290,콜마홀딩스,024720,Y,투자판단관련주요경영사항(자회사의 주요경영사항)              ,20260522800995,콜마홀딩스,20260522,유
00939331,한국콜마,161890,Y,투자판단관련주요경영사항              ,20260522800985,한국콜마,20260522,유
01142075,핑거,163730,K,불성실공시법인지정예고              (공시불이행 2건),20260522900986,코스닥시장본부,20260522,코
01182550,EDGC,245620,K,[기재정정]주요사항보고서(유상증자결정),20260522000656,EDGC,20260522,정
01182550,EDGC,245620,K,[기재정정]주요사항보고서(감자결정),20260522000655,EDGC,20260522,정
01182550,EDGC,245620,K,[기재정정]주요사항보고서(유상증자결정),20260522000652,EDGC,20260522,정
01105621,엔투텍,227950,K,[기재정정]주식병합결정              ,20260522900982,엔투텍,20260522,코
00303703,CS,065770,K,[첨부정정]주요사항보고서(전환사채권발행결정),20260522000653,CS,20260522,정
00525882,크레버스,096240,K,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260522900972,크레버스,20260522,코정
00139889,SKC,011790,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260522000659,박종만,20260522,
00120021,LG,003550,Y,주식소각결정              ,20260522800934,LG,20260522,유
00159971,KC그린홀딩스,009440,Y,주식등의대량보유상황보고서(약식),20260522000654,수성자산운용,20260522,
00807397,코이즈,121850,K,주요사항보고서(전환사채권발행결정),20260522000636,코이즈,20260522,정
00101044,에이프로젠바이오로직스,003060,Y,주식등의대량보유상황보고서(약식),20260522000651,이영철,20260522,
00216027,바이넥스,053030,K,임원ㆍ주요주주특정증권등소유상황보고서,20260522000648,서봉수,20260522,
