날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-03-03,-885917938073,237187702466,5797435116262,-5148704880655,0,KOSPI
2026-03-03,238831712259,-70752975374,-761446163863,593367426978,0,KOSDAQ
