회사명,종목코드,테마,최신정기보고서,잔고보유분기,잔고(억원),보유분기수,사유,단위표기,비고
이노메트리,302430,반도체·디스플레이 장비,2026Q2,2024Q1,231.3,2,수주표없음,천원,
SK바이오사이언스,302440,제약·바이오·의료,2026Q2,2026Q2,5783.2,11,최신,백만원,
리메드,302550,제약·바이오·의료,2026Q2,2026Q2,215.1,10,최신,"대,천원",
동국생명과학,303810,제약·바이오·의료,2026Q2,2026Q2,15.3,7,최신,천원,
솔트룩스,304100,통신장비·IT,2026Q2,2026Q2,129.2,9,최신,천원,
세아제강,306200,철강·금속,2026Q2,2026Q2,577.6,11,최신,백만원,
아이엘,307180,전력기기·전선,2026Q2,2026Q2,868.2,10,최신,천원,
비투엔,307870,통신장비·IT,2026Q2,2026Q2,52.8,11,최신,백만원,
현대오토에버,307950,통신장비·IT,2026Q2,2026Q2,12741.0,11,최신,억원,
아이티켐,309710,제약·바이오·의료,2026Q1,2026Q1,184.0,3,최신,"Kg,백만원",
엘에이티,311060,기타,2025Q4,2023Q4,362.9,1,수주표없음,천원,
인터로이드,311960,기타,2024Q4,2024Q4,9.5,2,최신,천원,
캐리,313760,전력기기·전선,2026Q2,2024Q4,1.3,2,수주표없음,천원,
지놈앤컴퍼니,314130,제약·바이오·의료,2026Q2,2026Q2,64.0,11,최신,백만원,
딥노이드,315640,통신장비·IT,2026Q2,2026Q2,25.6,11,최신,천원,
자이에스앤디,317400,건설·건축,2026Q2,2026Q2,32223.7,11,최신,백만원,
에스피시스템스,317830,반도체·디스플레이 장비,2026Q2,2026Q2,246.2,10,최신,천원,
대모,317850,반도체·디스플레이 장비,2026Q2,2026Q2,62.2,11,최신,천원,
타임기술,318660,기타,2025Q4,2025Q4,53.9,3,최신,천원,
현대무벡스,319400,기계·플랜트,2026Q2,2026Q2,3818.0,10,최신,천원,
한울반도체,320000,반도체·디스플레이 장비,2026Q2,2026Q2,49.3,11,최신,천원,
프로이천,321260,반도체·디스플레이 장비,2026Q2,2026Q1,52.2,10,값0/파싱실패,백만원,
센서뷰,321370,전자부품·전기전자,2026Q2,2026Q2,220.9,8,최신,천원,
티움바이오,321550,제약·바이오·의료,2026Q2,2026Q2,253.2,11,최신,천원,
HD현대에너지솔루션,322000,반도체·디스플레이 장비,2026Q2,2026Q2,143.0,11,최신,천원,
LS티라유텍,322180,통신장비·IT,2026Q2,2026Q2,134.0,10,최신,백만원,
제이엘케이,322510,통신장비·IT,2026Q2,2026Q2,2.5,11,최신,백만원,
태성,323280,반도체·디스플레이 장비,2026Q2,2026Q2,455.9,11,최신,백만원,
다원넥스뷰,323350,반도체·디스플레이 장비,2026Q2,,,0,수주표없음,,
루닛,328130,통신장비·IT,2026Q2,2026Q2,281.7,6,최신,USD,
HD현대중공업,329180,조선·조선기자재,2026Q2,2026Q2,695141.5,11,최신,백만원,
아우토크립트,331740,통신장비·IT,2026Q2,2026Q2,89.2,4,최신,천원,
누보,332290,화학·소재,2026Q2,2026Q2,1.6,10,최신,"천KG,천USD",
이노테나,333050,통신장비·IT,2026Q2,2026Q2,173.4,11,최신,천원,
일승,333430,조선·조선기자재,2026Q2,2026Q2,312.7,11,최신,백만원,
엔시스,333620,전력기기·전선,2026Q2,2026Q2,618.3,11,최신,백만원,
프레스티지바이오로직스,334970,제약·바이오·의료,2026Q1,2026Q1,0.7,7,최신,"천$,백만원",
웨이버스,336060,통신장비·IT,2026Q2,2026Q2,351.2,11,최신,천원,
뷰노,338220,통신장비·IT,2026Q2,2026Q2,0.2,11,최신,백만원,
티앤엘,340570,제약·바이오·의료,2026Q2,2025Q1,306.4,6,수주표없음,천원,
시선AI,340810,통신장비·IT,2026Q2,2026Q2,122.7,11,최신,백만원,
케이씨씨글라스,344820,화학·소재,2026Q2,2026Q2,1126.7,11,최신,백만원,
타이드,346010,기타,2025Q4,2025Q4,6.8,3,최신,천원,
센코,347000,반도체·디스플레이 장비,2026Q2,2026Q2,20.5,11,최신,원,
스피어,347700,통신장비·IT,2026Q2,2026Q2,1630.3,6,최신,USD,
피엔케이피부임상연구센타,347740,기타,2026Q2,2026Q2,82.4,11,최신,백만원,
알체라,347860,통신장비·IT,2026Q2,2026Q2,123.6,11,최신,백만원,
엠엑스온,347890,반도체·디스플레이 장비,2026Q2,2026Q2,1898.9,3,최신,천원,
넥스틴,348210,반도체·디스플레이 장비,2026Q2,2026Q2,89.8,10,최신,백만원,
위드텍,348350,반도체·디스플레이 장비,2026Q2,2026Q2,306.3,11,최신,백만원,
넥사다이내믹스,351320,반도체·디스플레이 장비,2026Q2,2026Q2,58.0,11,최신,백만원,
오비고,352910,통신장비·IT,2026Q2,2026Q2,65.7,10,최신,천원,
인바이오,352940,화학·소재,2026Q2,2026Q2,35.9,10,최신,"병/봉,천원",
대덕전자,353200,전자부품·전기전자,2026Q2,2026Q2,3328.0,11,최신,"천㎡,억원",
바스칸바이오제약,354390,기타,2025Q4,,,0,수주표없음,,
코스텍시스,355150,반도체·디스플레이 장비,2026Q2,2025Q4,12.3,9,수주표없음,,
크라우드웍스,355390,통신장비·IT,2026Q2,2026Q2,32.9,11,최신,"개,백만원",
티엘비,356860,전자부품·전기전자,2026Q2,2026Q2,1318.0,11,최신,억원,
싸이버원,356890,통신장비·IT,2026Q2,2025Q1,94.8,5,수주표없음,백만원,
씨엔알리서치,359090,기타,2026Q2,2026Q2,1600.6,11,최신,백만원,
탑머티리얼,360070,2차전지·에너지,2026Q2,2026Q2,552.2,11,최신,천원,
코셈,360350,반도체·디스플레이 장비,2026Q2,2026Q2,17.8,10,최신,백만원,
제노코,361390,통신장비·IT,2026Q2,2026Q2,644.9,11,최신,백만원,
티와이홀딩스,363280,지주·기타,2026Q2,2024Q3,163327.6,4,수주표없음,천원,시총대비 186배 — 차트 제외
에이아이코리아,364950,반도체·디스플레이 장비,2026Q2,2025Q3,203.6,2,수주표없음,천원,
에스와이스틸텍,365330,기계·플랜트,2026Q2,2026Q2,581.5,11,최신,"천㎡,천원",
레몬헬스케어,365660,통신장비·IT,2026Q2,2026Q2,114.7,1,최신,천원,
플래티어,367000,통신장비·IT,2026Q2,2026Q2,104.5,10,최신,백만원,
파이버프로,368770,반도체·디스플레이 장비,2026Q2,,,0,수주표없음,,
퓨런티어,370090,반도체·디스플레이 장비,2026Q2,2026Q2,63.9,11,최신,원,
윤성에프앤씨,372170,반도체·디스플레이 장비,2026Q2,2026Q2,1926.8,11,최신,백만원,
아이티아이즈,372800,통신장비·IT,2026Q2,2026Q2,518.3,11,최신,백만원,
한컴라이프케어,372910,제약·바이오·의료,2026Q2,2025Q1,939.3,6,수주표없음,"개,백만원",
엠아이큐브솔루션,373170,통신장비·IT,2026Q2,2026Q2,117.2,10,최신,천원,
DL이앤씨,375500,건설·건축,2026Q2,2026Q2,256396.3,11,최신,백만원,
노을,376930,제약·바이오·의료,2026Q2,2026Q2,211.7,11,최신,백만원,
비트맥스,377030,통신장비·IT,2026Q2,2025Q1,5.0,5,수주표없음,백만원,
이지트로닉스,377330,전력기기·전선,2026Q2,2026Q2,45.9,11,최신,백만원,
마음AI,377480,통신장비·IT,2026Q2,2025Q4,26.5,9,이상치제외,,
필에너지,378340,반도체·디스플레이 장비,2026Q2,2026Q2,952.6,11,최신,백만원,
이성씨엔아이,379390,기타,2025Q4,2023Q4,4.4,1,단위불명,원,
옵티코어,380540,기타,2026Q2,2026Q2,35.4,11,최신,"EA,백만원",
뉴로핏,380550,통신장비·IT,2026Q2,2026Q2,11.4,5,최신,천원,
지앤비에스 에코,382800,반도체·디스플레이 장비,2026Q2,2025Q1,91.7,6,수주표없음,백만원,
원준,382840,반도체·디스플레이 장비,2026Q2,2026Q2,501.7,11,최신,백만원,
범한퓨얼셀,382900,전력기기·전선,2026Q2,2026Q2,610.7,11,최신,백만원,
에코프로에이치엔,383310,화학·소재,2026Q2,2026Q2,830.3,11,최신,백만원,
디티앤씨알오,383930,제약·바이오·의료,2026Q2,2026Q2,561.9,11,최신,천원,
지투파워,388050,전력기기·전선,2026Q2,2026Q2,1141.3,11,최신,백만원,
유일로보틱스,388720,반도체·디스플레이 장비,2026Q2,2026Q2,111.2,3,최신,백만원,
라이콤,388790,통신장비·IT,2026Q2,2026Q2,191.2,11,최신,백만원,
자람테크놀로지,389020,반도체·디스플레이 장비,2026Q2,2026Q2,241.8,11,최신,백만원,
포바이포,389140,통신장비·IT,2026Q2,2026Q2,63.0,5,최신,백만원,
대명에너지,389260,건설·건축,2026Q2,2025Q4,2386.1,9,이상치제외,천원,
인벤티지랩,389470,제약·바이오·의료,2026Q1,2026Q1,6.4,3,최신,백만원,
에스비비테크,389500,기계·플랜트,2026Q2,2026Q2,111.2,11,최신,백만원,
토마토시스템,393210,통신장비·IT,2026Q2,2026Q2,184.1,10,최신,천원,
쓰리빌리언,394800,제약·바이오·의료,2026Q2,2026Q2,17.1,6,최신,"건,천원",
세아메카닉스,396300,철강·금속,2026Q2,2026Q2,5775.4,11,최신,백만원,
에스지헬스케어,398120,제약·바이오·의료,2026Q1,2026Q1,19.5,5,최신,백만,
가온칩스,399720,반도체·디스플레이 장비,2026Q2,2026Q2,764.1,5,최신,백만원,
코난테크놀로지,402030,통신장비·IT,2026Q2,2026Q2,225.0,11,최신,백만원,
라피치,403360,기타,2026Q2,2026Q2,127.5,5,최신,백만원,
아이엘로보틱스,403810,기타,2025Q4,2025Q4,36.0,1,최신,백만원,
제일엠앤에스,412540,반도체·디스플레이 장비,2026Q2,2026Q2,2943.3,8,최신,백만원,
티엘엔지니어링,413300,기타,2025Q4,2025Q4,25.1,3,최신,원,
비아이매트릭스,413640,통신장비·IT,2026Q2,2026Q2,138.7,11,최신,백만원,
오브젠,417860,통신장비·IT,2026Q2,2026Q2,273.6,11,최신,백만원,
제이오,418550,건설·건축,2026Q2,2026Q2,131.1,11,최신,천원,
E8,418620,통신장비·IT,2026Q2,2026Q2,74.1,11,최신,천원,
삼기에너지솔루션즈,419050,자동차부품,2026Q2,2026Q2,1468.4,10,최신,백만원,
산돌,419120,통신장비·IT,2026Q2,2026Q2,16.3,11,최신,"연결,원",
기가비스,420770,반도체·디스플레이 장비,2026Q2,2026Q2,652.7,6,최신,백만원,
벨로크,424760,통신장비·IT,2026Q2,2026Q2,147.0,11,최신,백만원,
스마트레이더시스템,424960,반도체·디스플레이 장비,2026Q2,,,0,수주표없음,,
케이쓰리아이,431190,통신장비·IT,2026Q2,2026Q2,77.8,8,최신,백만원,
와이랩,432430,통신장비·IT,2026Q2,2026Q2,56.0,5,최신,천원,
버넥트,438700,통신장비·IT,2026Q2,2026Q2,3.1,11,최신,,
대한조선,439260,조선·조선기자재,2026Q2,2026Q2,23665.1,5,최신,"척,백만원",
파두,440110,반도체·디스플레이 장비,2026Q2,2026Q2,2701.2,9,최신,천USD,
오픈놀,440320,통신장비·IT,2026Q2,2026Q2,245.2,10,최신,백만원,
HD현대마린솔루션,443060,건설·건축,2026Q2,2026Q2,2067.8,8,최신,백만원,
에스피소프트,443670,통신장비·IT,2026Q2,2026Q2,14.6,11,최신,원,
심플랫폼,444530,통신장비·IT,2026Q2,2026Q2,52.9,3,최신,천원,
에이직랜드,445090,반도체·디스플레이 장비,2026Q2,2026Q2,618.2,8,최신,백만원,
큐리옥스바이오시스템즈,445680,제약·바이오·의료,2026Q2,2026Q2,29.1,11,최신,"대,백만원",
에코아이,448280,기타,2026Q2,2026Q2,84.8,11,최신,"톤,백만원",
한국피아이엠,448900,자동차부품,2026Q2,2026Q2,424.2,7,최신,천원,
