회사명,종목코드,테마,최신정기보고서,잔고보유분기,잔고(억원),보유분기수,사유,단위표기,비고
범양건영,002410,건설·건축,2026Q2,2026Q2,1375.7,11,최신,천원,
HS화성,002460,건설·건축,2026Q2,2026Q2,25622.9,11,최신,백만원,
진흥기업,002780,건설·건축,2026Q2,2026Q2,38012.3,11,최신,백만원,
SUN&L,002820,화학·소재,2026Q2,2026Q2,732.6,11,최신,백만원,
금호건설,002990,건설·건축,2026Q2,2026Q2,448871.8,11,최신,백만원,
혜인,003010,기계·플랜트,2026Q2,2024Q4,240.9,5,수주표없음,,
세아제강지주,003030,지주·기타,2026Q2,2026Q2,4302.5,11,최신,백만원,
에이프로젠바이오로직스,003060,제약·바이오·의료,2026Q2,2025Q4,0.4,7,수주표없음,백만원,
코오롱글로벌,003070,건설·건축,2026Q2,2026Q2,118495.7,11,최신,백만원,
선광,003100,기타,2026Q2,2026Q1,1815.9,9,수주표없음,원,
디아이,003160,반도체·디스플레이 장비,2026Q2,2026Q2,2614.8,11,최신,백만원,
한일홀딩스,003300,화학·소재,2026Q2,2026Q2,1830.7,11,최신,백만원,
대한항공,003490,기계·플랜트,2026Q2,2026Q2,1108.0,6,최신,억원,
LG,003550,지주·기타,2026Q2,2026Q2,53472.9,7,최신,백만원,
포스코퓨처엠,003670,2차전지·에너지,2026Q2,2026Q2,259.6,11,최신,백만원,
삼영,003720,화학·소재,2026Q2,2026Q2,9.6,4,최신,,
현대제철,004020,철강·금속,2026Q2,2025Q2,485.7,7,수주표없음,"천톤,백만원,VAT포함",
한솔홀딩스,004150,지주·기타,2026Q2,2026Q2,160.6,11,최신,백만원,
서울식품공업,004410,기타,2026Q2,2026Q2,48.0,11,최신,천원,
삼일씨엔에스,004440,화학·소재,2026Q2,2026Q2,1323.8,10,최신,백만원,
창해에탄올,004650,기타,2026Q2,2026Q2,63.3,10,최신,천원,
삼천리,004690,2차전지·에너지,2026Q2,2026Q2,1568.1,11,최신,백만원,
한솔테크닉스,004710,전자부품·전기전자,2026Q2,2025Q2,39.5,7,수주표없음,"MW,백만원",
효성,004800,지주·기타,2026Q2,2026Q2,329582.5,11,최신,백만원,
덕성,004830,화학·소재,2026Q2,2026Q2,29.9,11,최신,"KM,백만원",
한신공영,004960,건설·건축,2026Q2,2026Q2,51470.0,11,최신,억원,
부산주공,005030,자동차부품,2026Q2,2026Q2,896.0,11,최신,"톤,백만원",
코스모신소재,005070,화학·소재,2026Q2,2025Q1,1117.0,6,값0/파싱실패,억원,
SGC에너지,005090,전력기기·전선,2026Q2,2026Q2,21937.6,11,최신,백만원,
동국산업,005160,철강·금속,2026Q2,2026Q2,957.4,11,최신,백만원,
녹십자홀딩스,005250,기타,2026Q2,2026Q2,444.1,11,최신,천USD,
현대자동차,005380,기계·플랜트,2026Q2,2026Q2,127711.9,11,최신,백만원,
코스모화학,005420,화학·소재,2026Q2,2025Q1,1117.0,6,값0/파싱실패,억원,
한국공항,005430,기타,2026Q2,2026Q2,46.6,11,최신,백만원,
POSCO홀딩스,005490,철강·금속,2026Q2,2026Q2,514246.1,11,최신,백만원,
넥센,005720,화학·소재,2026Q2,2026Q2,8821.7,11,최신,"천개,백만원",
풍산홀딩스,005810,지주·기타,2026Q2,,,0,단위불명,,
한일사료,005860,기타,2026Q2,2026Q2,3980.1,11,최신,"톤,백만원",
휴니드테크놀러지스,005870,통신장비·IT,2026Q2,2026Q2,3825.0,11,최신,억원,
이수화학,005950,화학·소재,2026Q2,2026Q2,12639.2,11,최신,백만원,
동부건설,005960,건설·건축,2026Q2,2026Q2,137233.7,11,최신,백만원,
국영지앤엠,006050,화학·소재,2026Q2,2026Q2,457.2,11,최신,백만,
SK디스커버리,006120,지주·기타,2026Q2,2026Q2,5783.2,11,최신,백만원,
한국전자홀딩스,006200,지주·기타,2026Q2,2023Q4,0.3,1,수주표없음,천원,
LS,006260,지주·기타,2026Q2,2026Q2,195554.0,11,최신,억원,
녹십자,006280,제약·바이오·의료,2026Q2,2026Q2,444.1,11,최신,천USD,
대원전선,006340,전력기기·전선,2026Q2,2026Q2,582.1,11,최신,"톤,백만원",
GS건설,006360,건설·건축,2026Q2,2026Q2,485361.7,11,최신,백만원,
대림통상,006570,철강·금속,2026Q2,2026Q2,595.1,11,최신,백만원,
AK홀딩스,006840,지주·기타,2026Q2,2026Q2,653.0,1,최신,억원,
모헨즈,006920,화학·소재,2026Q2,2026Q2,202.2,8,최신,"㎥,천원",
에스테크엠,0070X0,기타,2025Q4,,,0,단위불명,,
벽산,007210,화학·소재,2026Q2,2026Q2,1295.4,9,최신,백만원,
한국특강,007280,철강·금속,2026Q2,2025Q3,85.8,7,수주표없음,"톤,백만원,VAT포함",
에이프로젠,007460,제약·바이오·의료,2026Q2,2026Q2,123.2,10,최신,백만원,
동방아그로,007590,화학·소재,2026Q2,2026Q2,194.6,10,최신,"병/봉,천원",
이수페타시스,007660,전자부품·전기전자,2026Q2,2026Q2,6221.8,11,최신,"㎡,백만원",
대원,007680,건설·건축,2026Q2,2026Q2,2269.3,11,최신,천원,
코리아써키트,007810,전자부품·전기전자,2026Q2,2026Q2,4266.4,11,최신,"천㎡,백만원",
엠엑스로보틱스,007820,기계·플랜트,2026Q2,2026Q2,1898.9,10,최신,천원,
서연,007860,지주·기타,2026Q2,2026Q2,223.9,11,최신,천원,
대덕,008060,지주·기타,2026Q2,2026Q2,3328.0,11,최신,"천㎡,억원",
이건산업,008250,기타,2026Q2,2026Q2,344.0,10,최신,천M2/백만원,
남선알미늄,008350,철강·금속,2026Q2,2025Q3,4.4,8,수주표없음,천원,
원풍,008370,화학·소재,2026Q2,2026Q2,68.1,10,최신,USD,
율촌화학,008730,화학·소재,2026Q2,2024Q1,14678.4,2,수주표없음,USD,
대동기어,008830,반도체·디스플레이 장비,2026Q2,,,0,값0/파싱실패,,
KBI동양철관,008970,철강·금속,2026Q2,2026Q2,1660.0,11,최신,"톤,억원",
경인전자,009140,전자부품·전기전자,2026Q2,2026Q2,54.6,11,최신,"천개,천원",
SIMPAC,009160,철강·금속,2026Q2,2026Q2,2417.6,10,최신,백만원,
한샘,009240,기타,2026Q2,2026Q2,2177.4,11,최신,백만원,
신원,009270,기타,2026Q2,2026Q2,3212.2,8,최신,"천PCS,천USD",
참엔지니어링,009310,반도체·디스플레이 장비,2026Q2,2024Q1,71.7,2,수주표없음,백만원,
태영건설,009410,건설·건축,2026Q2,2026Q2,164888.9,11,최신,천원,
KC그린홀딩스,009440,지주·기타,2026Q2,2025Q1,50008.1,4,수주표없음,"천원,USD등",시총대비 285배 — 차트 제외
한창제지,009460,화학·소재,2026Q2,2026Q2,84.0,1,최신,백만원,
삼화전기,009470,전자부품·전기전자,2026Q2,2026Q2,389.7,9,최신,"천개,백만원",
HD한국조선해양,009540,지주·기타,2026Q2,2026Q2,988087.2,11,최신,백만원,
이렘,009730,철강·금속,2026Q2,2025Q1,117.3,5,수주표없음,백만원,
한국내화,010040,기타,2026Q2,2026Q2,1415.7,11,최신,천원,
한국무브넥스,010100,자동차부품,2026Q2,2025Q1,10.5,6,수주표없음,억원,
엘에스일렉트릭,010120,전력기기·전선,2026Q2,2026Q2,50154.0,11,최신,억원,
고려아연,010130,철강·금속,2026Q2,2026Q2,18059.4,9,최신,"톤,백만원",
삼성중공업,010140,조선·조선기자재,2026Q2,2026Q2,350001.0,11,최신,억원,
대한광통신,010170,전력기기·전선,2026Q2,2026Q2,1269.4,11,최신,백만원,
아이티센엔텍,010280,통신장비·IT,2026Q2,2026Q2,1521.8,11,최신,백만원,
우진아이엔에스,010400,건설·건축,2026Q2,2026Q2,2089.8,11,최신,천원,
화천기계,010660,반도체·디스플레이 장비,2026Q2,2026Q2,732.2,11,최신,백만원/대/개,
아이에스동서,010780,화학·소재,2026Q2,2026Q2,19901.6,11,최신,백만원,
퍼스텍,010820,기타,2026Q2,2026Q2,9440.8,11,최신,백만원,
S-Oil,010950,기타,2026Q2,,,0,값0/파싱실패,,
삼호개발,010960,기타,2026Q2,2026Q2,8419.0,11,최신,천원,
진원생명과학,011000,제약·바이오·의료,2026Q2,2026Q1,5.8,10,수주표없음,USD,
에넥스,011090,기타,2026Q2,2026Q2,1220.7,11,최신,백만원,
현대위아,011210,자동차부품,2026Q2,2026Q2,13965.2,11,최신,백만원,
삼화전자공업,011230,전자부품·전기전자,2026Q2,2026Q2,34.1,11,최신,천개/백만원,
우성머티리얼스,011300,화학·소재,2026Q2,2025Q3,42.0,7,수주표없음,"천YD,천$",
서한,011370,건설·건축,2026Q2,2026Q2,16519.8,11,최신,백만원,
부산산업,011390,화학·소재,2026Q2,2026Q2,1951.6,11,최신,백만원,
세보엠이씨,011560,건설·건축,2026Q2,2026Q2,4256.5,9,최신,천원,
현대코퍼레이션,011760,기타,2026Q2,2026Q2,6164.0,11,최신,U$천,
STX,011810,기타,2026Q2,2026Q2,1110.6,11,최신,"개,백만원",
신성이엔지,011930,반도체·디스플레이 장비,2026Q2,2026Q2,3293.7,11,최신,천원,
DB,012030,통신장비·IT,2026Q2,2026Q2,4221.4,11,최신,억원,
삼미금속,012210,철강·금속,2026Q2,2026Q2,304.3,7,최신,백만원,
경동인베스트,012320,지주·기타,2026Q2,2026Q2,3324.8,11,최신,백만원,
뉴인텍,012340,자동차부품,2026Q1,2026Q1,18.8,10,최신,천원,
한화에어로스페이스,012450,방산·항공우주,2026Q2,2026Q2,1149182.4,10,최신,,
더존비즈온,012510,기타,2026Q1,2026Q1,568.0,10,최신,백만원:,
원일특강,012620,철강·금속,2026Q2,2026Q2,67.8,11,최신,천원,
HDC,012630,지주·기타,2026Q2,2026Q2,222936.1,9,최신,백만원,
하이록코리아,013030,철강·금속,2026Q2,2024Q3,53.4,3,수주표없음,백만원,
동원개발,013120,건설·건축,2026Q2,2026Q2,22746.8,11,최신,천원,
일성건설,013360,건설·건축,2026Q2,2026Q2,15114.3,11,최신,백만원,
계룡건설산업,013580,건설·건축,2026Q2,2026Q2,137987.4,11,최신,"백만원,VAT제외",시총대비 72배 — 차트 제외
까뮤이앤씨,013700,건설·건축,2026Q2,2026Q2,3741.8,11,최신,"백만원,부가세별도",
한익스프레스,014130,기타,2026Q2,2025Q3,858.3,8,수주표없음,"MT,백만원",
대영포장,014160,기타,2026Q2,2026Q2,33.5,11,최신,"백만㎡,백만원",
금강공업,014280,철강·금속,2026Q2,2026Q2,371.7,11,최신,백만원,
성광벤드,014620,철강·금속,2026Q2,2026Q2,175.8,11,최신,천원,
HL D&I,014790,건설·건축,2026Q2,2026Q2,58618.8,11,최신,백만원,
성문전자,014910,전자부품·전기전자,2026Q2,,,0,수주표없음,,
오리엔탈정공,014940,기계·플랜트,2026Q2,2026Q2,2908.3,11,최신,백만원,
대창단조,015230,자동차부품,2026Q2,2026Q2,378.4,11,최신,"EA,천원",
에이엔피,015260,전자부품·전기전자,2026Q2,2026Q2,86.1,11,최신,"M2,백만원",
INVENI,015360,기타,2026Q2,2024Q2,828.1,3,수주표없음,백만원,
DKME,015590,기계·플랜트,2026Q2,2026Q2,276.0,11,최신,억원,
코콤,015710,통신장비·IT,2026Q2,2026Q2,1508.1,10,최신,백만원,
한국전력공사,015760,전력기기·전선,2026Q2,2026Q2,26350.5,8,최신,백만원,
일진홀딩스,015860,지주·기타,2026Q2,2026Q2,27315.0,10,최신,천USD,
SGC E&C,016250,건설·건축,2026Q2,2026Q2,21937.5,11,최신,"백만원,EA",시총대비 36배 — 차트 제외
KG스틸,016380,철강·금속,2026Q2,2026Q2,89.8,11,최신,"톤,백만원",
웅진,016880,지주·기타,2026Q2,2026Q2,435.9,11,최신,백만원,
신원종합개발,017000,건설·건축,2026Q2,2026Q2,6221.5,11,최신,백만원,
광명전기,017040,전력기기·전선,2026Q2,2026Q2,663.2,10,최신,백만원,
인터엠,017250,전자부품·전기전자,2026Q2,,,0,단위불명,,
우신시스템,017370,반도체·디스플레이 장비,2026Q2,2026Q2,932.7,11,최신,천원,
세명전기,017510,철강·금속,2026Q2,2026Q2,155.3,11,최신,백만원,
수산세보틱스,017550,반도체·디스플레이 장비,2026Q2,2026Q1,256.8,10,단위불명,"원,외화단위:USD",
현대엘리베이터,017800,기계·플랜트,2026Q2,2026Q2,20394.4,11,최신,백만원,
E1,017940,기타,2026Q2,2026Q2,131.7,11,최신,백만원,
한국카본,017960,기계·플랜트,2026Q2,2026Q2,16355.9,11,최신,천USD,
유니슨,018000,기계·플랜트,2026Q2,2026Q2,1022.9,11,최신,백만원,
삼성에스디에스,018260,통신장비·IT,2026Q2,2026Q2,15660.0,10,최신,억원,
브이티,018290,화학·소재,2026Q2,2024Q2,290.0,3,수주표없음,천원,
삼목에스폼,018310,기계·플랜트,2026Q2,2026Q2,496.8,11,최신,백만원,
졸스,018700,기타,2026Q2,2024Q4,4.1,5,수주표없음,,
엑시큐어하이트론,019490,전자부품·전기전자,2026Q2,2026Q2,50.3,7,최신,천원,
서연탑메탈,019770,반도체·디스플레이 장비,2026Q2,2026Q2,1210.6,11,최신,천원,
에너토크,019990,기계·플랜트,2026Q2,2026Q2,306.6,11,최신,"백만원,대",
롯데에너지머티리얼즈,020150,전자부품·전기전자,2026Q2,2026Q2,1705.0,11,최신,백만원,
대신정보통신,020180,통신장비·IT,2026Q2,2026Q2,899.1,11,최신,백만원,
송우인포텍,0203K0,기타,2025Q4,2025Q4,40.3,1,최신,백만원,
아시아나항공,020560,기계·플랜트,2026Q2,2026Q2,1108.0,11,최신,억원,
시공테크,020710,기타,2026Q1,2026Q1,601.0,10,최신,천원,
KCC건설,021320,건설·건축,2026Q2,2026Q2,31857.2,11,최신,백만원,
포스코DX,022100,건설·건축,2026Q2,2026Q2,9566.8,11,최신,백만원,
태광,023160,철강·금속,2026Q2,2026Q2,50.5,10,최신,천원,
한국종합기술,023350,건설·건축,2026Q2,2026Q2,28081.0,11,최신,백만원,
유진기업,023410,화학·소재,2026Q2,2026Q2,23.2,11,최신,천원,
다우기술,023590,기타,2026Q2,2026Q2,98.5,11,최신,백만원,
한일단조,024740,자동차부품,2026Q2,2026Q2,84.3,3,최신,"개,백만원",
HLB이노베이션,024850,전자부품·전기전자,2026Q2,,,0,단위불명,,
케이피에프,024880,철강·금속,2026Q2,2026Q2,2034.0,11,최신,"톤,억원",
대원화성,024890,화학·소재,2026Q2,2026Q2,43.8,10,최신,백만원,
경창산업,024910,자동차부품,2026Q2,2026Q2,78.0,11,최신,억원,
시노펙스,025320,전자부품·전기전자,2026Q2,2025Q2,0.3,6,수주표없음,백만원,
미래산업,025560,반도체·디스플레이 장비,2026Q2,2025Q1,7.6,1,수주표없음,백만원,
이구산업,025820,철강·금속,2026Q2,2026Q2,569.1,11,최신,TON/백만원,
남해화학,025860,화학·소재,2026Q2,2026Q2,1445.1,11,최신,"천톤,백만원",
한국주강,025890,반도체·디스플레이 장비,2026Q2,2026Q2,332.7,10,최신,"톤,천원",
동신건설,025950,건설·건축,2026Q2,2026Q2,1280.4,11,최신,천원,
삼성E&A,028050,건설·건축,2026Q2,2026Q2,201874.0,11,최신,억원,
동아지질,028100,기타,2026Q2,2026Q2,8000.9,11,최신,백만원,
삼성물산,028260,기타,2026Q2,2026Q2,342454.8,11,최신,백만원,
HLB,028300,제약·바이오·의료,2026Q2,2026Q2,176.1,11,최신,백만원,
NICE평가정보,030190,통신장비·IT,2026Q2,2026Q2,243.2,11,최신,백만원,
케이티,030200,통신장비·IT,2026Q2,2026Q2,4754.6,10,최신,"백만원,%",
원익홀딩스,030530,화학·소재,2026Q2,2026Q2,6345.9,11,최신,백만원,
아이티센씨티에스,031820,통신장비·IT,2026Q2,2024Q2,19.4,3,수주표없음,천원,
아즈텍WB,032080,기타,2026Q2,2026Q2,135.1,11,최신,"YD,PCS,백만원",
다우데이타,032190,기계·플랜트,2026Q2,2026Q2,98.5,11,최신,백만원,
케이엠더블유,032500,통신장비·IT,2026Q2,2024Q3,46.8,4,값0/파싱실패,백만원,
황금에스티,032560,철강·금속,2026Q2,2026Q2,997.2,11,최신,백만원,
피델릭스,032580,반도체·디스플레이 장비,2026Q2,2026Q2,946.0,11,최신,"백만원,천개",
LG유플러스,032640,통신장비·IT,2026Q2,2024Q4,701.5,1,수주표없음,,
소프트센,032680,통신장비·IT,2026Q2,2026Q2,21.6,11,최신,"백만원,%",
우리기술,032820,전력기기·전선,2026Q2,2026Q2,1042.2,11,최신,천원,
비트컴퓨터,032850,통신장비·IT,2026Q2,2026Q2,137.1,11,최신,천원,
제룡전기,033100,전력기기·전선,2026Q2,2026Q2,1415.8,10,최신,백만원,
디지틀조선,033130,기타,2026Q2,2026Q2,21.5,9,최신,백만원,
유나이티드,033270,제약·바이오·의료,2026Q2,2026Q2,353.0,11,최신,USD,
동성화인텍,033500,화학·소재,2026Q2,2026Q2,20410.8,11,최신,백만원,
파라텍,033540,반도체·디스플레이 장비,2026Q2,2026Q2,219.9,11,최신,백만원,
두산에너빌리티,034020,기계·플랜트,2026Q2,2026Q2,152351.9,11,최신,"백만원,%",
NICE,034310,기타,2026Q2,2026Q2,243.2,11,최신,백만원,
SK,034730,지주·기타,2026Q2,2026Q2,254487.5,8,최신,백만원,
해성산업,034810,지주·기타,2026Q2,2026Q2,112.7,8,최신,백만원,
백산,035150,화학·소재,2026Q2,2026Q2,304.0,11,최신,"천m,백만원",
기산텔레콤,035460,통신장비·IT,2026Q2,2025Q4,2.0,4,값0/파싱실패,,
신세계I&C,035510,통신장비·IT,2026Q2,2026Q2,1136.5,11,최신,백만원,
서희건설,035890,건설·건축,2026Q2,2026Q2,18626.5,11,최신,백만원,
에이치엠넥스,036170,반도체·디스플레이 장비,2026Q2,2026Q2,2.1,9,최신,"백만개,백만원",
금화피에스시,036190,건설·건축,2026Q2,2026Q2,2501.0,11,최신,백만원,
유니셈,036200,반도체·디스플레이 장비,2026Q2,2026Q2,1111.7,11,최신,"천원,대",
한국가스공사,036460,2차전지·에너지,2026Q2,2026Q2,8972.8,11,최신,"백만원,VAT별도",
대성미생물,036480,제약·바이오·의료,2026Q2,2026Q2,46.3,11,최신,백만원,
SNT홀딩스,036530,지주·기타,2026Q2,2026Q2,5180.0,11,최신,백만원,
KZ정밀,036560,기계·플랜트,2026Q2,2026Q2,425.8,11,최신,백만원,
코맥스,036690,통신장비·IT,2026Q2,2026Q2,770.5,11,최신,백만원,
심텍홀딩스,036710,기타,2026Q2,2026Q2,5526.9,11,최신,"㎡,천USD",
주성엔지니어링,036930,반도체·디스플레이 장비,2026Q2,2026Q2,2336.3,11,최신,백만원,
성도이엔지,037350,건설·건축,2026Q2,2026Q2,4856.9,10,최신,백만원,
EG,037370,화학·소재,2026Q2,2026Q2,28.6,11,최신,"톤,천원",
희림,037440,건설·건축,2026Q2,2026Q2,11929.3,10,최신,천원,
삼지전자,037460,통신장비·IT,2026Q2,2026Q2,4001.6,10,최신,백만원,
LG헬로비전,037560,기타,2026Q2,2025Q1,701.5,2,수주표없음,백만원,
제일테크노스,038010,기계·플랜트,2026Q2,2026Q2,798.7,11,최신,백만원,
마크로젠,038290,기타,2026Q2,2026Q2,149.8,7,최신,천원,
상상인,038540,통신장비·IT,2026Q2,2026Q2,276.6,10,최신,백만원,
에스넷,038680,통신장비·IT,2026Q2,2026Q2,4015.2,10,최신,백만원,
에코심플렉스,038870,기타,2026Q2,2026Q2,48.8,11,최신,백만원,
현대에이치티,039010,통신장비·IT,2026Q2,2026Q2,1952.1,11,최신,백만원,
이건홀딩스,039020,화학·소재,2026Q2,2026Q2,1212.2,11,최신,"천㎡,백만원",
인포뱅크,039290,통신장비·IT,2026Q2,2025Q3,5.5,4,수주표없음,백만원,
세중,039310,통신장비·IT,2026Q2,2026Q2,296.3,11,최신,"년,백만원",
케이엘넷,039420,통신장비·IT,2026Q2,2026Q2,92.3,8,최신,천원,
에스티아이,039440,반도체·디스플레이 장비,2026Q2,2026Q2,2143.5,10,최신,천원,
HDC랩스,039570,건설·건축,2026Q2,2026Q2,4951.2,11,최신,백만원,
화성밸브,039610,기계·플랜트,2026Q2,2023Q4,38.7,1,수주표없음,,
폴라리스AI,039980,통신장비·IT,2026Q2,2026Q2,118.3,11,최신,천원,
누리플렉스,040160,통신장비·IT,2026Q2,2026Q2,997.1,6,최신,백만원,
아이씨디,040910,반도체·디스플레이 장비,2026Q2,2026Q2,1936.8,11,최신,백만원,
폴라리스오피스,041020,통신장비·IT,2026Q2,2025Q2,63.0,5,수주표없음,천원,
현대에버다임,041440,반도체·디스플레이 장비,2026Q2,2026Q2,1353.0,7,최신,"대,백만원",
코미팜,041960,제약·바이오·의료,2026Q2,2026Q2,95.2,10,최신,천원,
케이피엠테크,042040,기타,2026Q2,,,0,수주표없음,,
비츠로테크,042370,지주·기타,2026Q2,2026Q2,817.5,11,최신,백만원,
링네트,042500,통신장비·IT,2026Q2,2026Q2,761.5,11,최신,원,
한화오션,042660,조선·조선기자재,2026Q2,2026Q2,330084.1,10,최신,백만원,
상지건설,042940,건설·건축,2026Q2,2026Q2,1637.0,11,최신,천원,
파루,043200,전력기기·전선,2026Q2,2026Q2,71.8,11,최신,백만원,
성호전자,043260,전자부품·전기전자,2026Q2,2024Q2,48.0,3,수주표없음,"천개또는KG,백만원",
에쎈테크,043340,기계·플랜트,2026Q2,2025Q2,451.9,7,수주표없음,백만원,
웰킵스하이텍,043590,반도체·디스플레이 장비,2026Q2,2026Q2,22.8,10,최신,천원,
자연과환경,043910,화학·소재,2026Q2,2026Q2,1173.7,11,최신,천원,
KD,044180,건설·건축,2026Q2,2026Q2,334.5,10,최신,천원,
주연테크,044380,기타,2026Q2,2026Q2,15.5,1,최신,"개,원",
태웅,044490,철강·금속,2026Q2,2026Q2,1849.6,11,최신,백만원,
에이치케이,044780,반도체·디스플레이 장비,2026Q2,2026Q2,346.1,11,최신,"대,백만원",
한양이엔지,045100,건설·건축,2026Q2,2026Q2,8130.5,11,최신,백만원,
성우테크론,045300,전자부품·전기전자,2026Q2,2026Q2,127.2,11,최신,백만원,
토탈소프트,045340,통신장비·IT,2026Q2,2026Q2,312.3,11,최신,원,
대아티아이,045390,전력기기·전선,2026Q2,2026Q2,4285.8,9,최신,원,
크린앤사이언스,045520,기계·플랜트,2026Q2,2026Q2,69.5,10,최신,"천EA,Ton,백만원",
오르비텍,046120,기타,2026Q2,2026Q2,333.3,10,최신,백만원,
HLB파나진,046210,제약·바이오·의료,2026Q2,2026Q2,2.3,11,최신,"백만원,Kit,대",
우원개발,046940,기타,2026Q2,2026Q1,6780.6,9,수주표없음,천원,
대우건설,047040,건설·건축,2026Q2,2026Q2,534018.9,11,최신,백만원,
한국항공우주,047810,방산·항공우주,2026Q2,2026Q2,257502.0,11,최신,억원,
초록뱀미디어,047820,통신장비·IT,2026Q2,2024Q3,26.0,4,수주표없음,"백만원,VAT별도",
TPC로보틱스,048770,기계·플랜트,2026Q2,2025Q4,12.7,9,이상치제외,,
시너지이노베이션,048870,제약·바이오·의료,2026Q2,2026Q2,55.2,10,최신,"개,천원",
기가레인,049080,전자부품·전기전자,2026Q2,,,0,수주표없음,,
셀루메드,049180,제약·바이오·의료,2026Q2,2026Q2,1274.8,11,최신,백만원,
코메론,049430,반도체·디스플레이 장비,2026Q2,2026Q2,131.9,10,최신,천원,
비트플래닛,049470,통신장비·IT,2026Q2,2026Q2,47.0,9,최신,천원,
재영솔루텍,049630,반도체·디스플레이 장비,2026Q2,2024Q3,23.6,4,수주표없음,백만원,
미래컴퍼니,049950,반도체·디스플레이 장비,2026Q2,2026Q2,388.3,10,최신,백만원,
ES큐브,050120,기타,2026Q2,,,0,단위불명,,
지어소프트,051160,통신장비·IT,2026Q2,2026Q2,71.8,11,최신,백만원,
인터플렉스,051370,전자부품·전기전자,2026Q2,2026Q2,99.8,11,최신,"㎡,백만원",
한전KPS,051600,건설·건축,2026Q2,2026Q2,26350.5,11,최신,백만원,
iMBC,052220,기타,2026Q2,2026Q2,25.1,8,최신,백만원,
오션인더블유,052300,기타,2026Q2,2026Q2,25.1,2,최신,"개,백만원",
아이크래프트,052460,통신장비·IT,2026Q2,2026Q2,698.3,10,최신,백만원,
한전기술,052690,건설·건축,2026Q2,2026Q2,30991.0,11,최신,백만원,
바이넥스,053030,제약·바이오·의료,2026Q2,2026Q2,511.3,11,최신,천원,
케이엔솔,053080,기계·플랜트,2026Q2,2026Q2,3724.8,11,최신,백만원,
한국정보인증,053300,통신장비·IT,2026Q2,2025Q2,0.8,6,수주표없음,백만원,
이니텍,053350,통신장비·IT,2026Q2,2026Q2,69.0,2,최신,백만원,
웹케시,053580,통신장비·IT,2026Q2,2026Q2,52.9,11,최신,백만원,
한미글로벌,053690,건설·건축,2026Q2,2026Q2,4296.3,11,최신,원,
오상자이엘,053980,통신장비·IT,2026Q2,2026Q2,85.9,11,최신,천원,
이랜텍,054210,전자부품·전기전자,2026Q2,,,0,수주표없음,,
팬스타엔터프라이즈,054300,기계·플랜트,2026Q2,2026Q2,6.2,11,최신,달러,
삼영엠텍,054540,기계·플랜트,2026Q2,2026Q2,1906.5,11,최신,천원,
APS,054620,지주·기타,2026Q2,2024Q4,9.8,2,수주표없음,,
유신,054930,건설·건축,2026Q2,2026Q2,11361.5,11,최신,백만원,
엑사이엔씨,054940,건설·건축,2026Q2,2026Q2,519.7,11,최신,백만원,
SFA,056190,반도체·디스플레이 장비,2026Q2,2026Q2,13205.9,11,최신,백만원,
코위버,056360,통신장비·IT,2026Q2,2024Q3,27.8,4,수주표없음,백만원,
CNT85,056730,건설·건축,2026Q2,2026Q2,113.4,10,최신,백만원,
현대홈쇼핑,057050,기타,2026Q1,2023Q4,15.6,1,수주표없음,,
세아홀딩스,058650,철강·금속,2026Q2,2026Q2,3574.9,11,최신,"톤,백만원",
다스코,058730,기계·플랜트,2026Q2,2026Q2,1293.3,7,최신,천원,
KTcs,058850,통신장비·IT,2026Q2,2025Q3,2100.1,7,수주표없음,백만원,
엠로,058970,통신장비·IT,2026Q2,2026Q2,785.5,11,최신,천원,
미코,059090,반도체·디스플레이 장비,2026Q2,2026Q2,7393.8,6,최신,백만원,
아이컴포넌트,059100,전자부품·전기전자,2026Q2,2024Q3,62.6,3,수주표없음,백만원,
엔더블유시,059180,기타,2025Q4,2025Q4,18.5,1,최신,천원,
메타바이오메드,059210,제약·바이오·의료,2026Q2,2025Q3,88.2,8,수주표없음,백만원,
해성에어로보틱스,059270,철강·금속,2026Q2,2026Q2,69.0,11,최신,백만원,
인선이엔티,060150,2차전지·에너지,2026Q2,2025Q2,638.1,7,수주표없음,백만원,
스타코링크,060240,기타,2026Q1,2026Q1,208.3,6,최신,백만원,
뉴보텍,060260,화학·소재,2026Q2,2026Q2,187.3,11,최신,"개,원",
3S,060310,반도체·디스플레이 장비,2026Q2,2026Q2,36.8,10,최신,천원,
LS마린솔루션,060370,건설·건축,2026Q2,2026Q2,6646.0,11,최신,억원,
HC홈센타,060560,기타,2026Q2,2026Q2,29.1,8,최신,천원,
영림원소프트랩,060850,통신장비·IT,2026Q2,2026Q2,178.6,11,최신,천원,
에이전트AI,060900,전력기기·전선,2026Q2,2026Q2,126.2,11,최신,천원,
HL홀딩스,060980,지주·기타,2026Q2,2026Q2,58618.8,11,최신,백만원,
산일전기,062040,전력기기·전선,2026Q2,2026Q2,5567.9,7,최신,백만원,
한국첨단소재,062970,통신장비·IT,2026Q1,2026Q1,3.7,10,최신,천원,
이엘피,063760,반도체·디스플레이 장비,2026Q2,2026Q2,211.0,11,최신,억원,
홈캐스트,064240,기타,2026Q2,,,0,수주표없음,,
인텍플러스,064290,반도체·디스플레이 장비,2026Q2,2026Q2,1261.7,11,최신,백만원,
현대로템,064350,기계·플랜트,2026Q2,2026Q2,127711.9,11,최신,백만원,
