티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4430.0,160736.0,716097297.0,0.0,9029905.0,1.2599999904632568,-10967.0,-49518129.0,2744.0,12890828.0,8412.0,37462086.0,-42.0,-186340.0,74.0,330030.0,17.0,75775.0,0.0,0.0,0.0,0.0,8363.0,37242621.0,-189.0,-834785.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,7450.0,14173.0,106468685.0,1.5,22410.0,0.019999999552965164,280.0,2164650.0,292.0,2115565.0,-587.0,-4393175.0,-585.0,-4378205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-14970.0,15.0,112960.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,4120.0,176964.0,728308378.0,1.7300000190734863,22780375.0,3.130000114440918,-49072.0,-201964895.0,39181.0,161287151.0,9748.0,40092249.0,2456.0,10034100.0,4271.0,17601300.0,26.0,107622.0,0.0,0.0,3030.0,12493247.0,-35.0,-144020.0,40.0,164325.0,103.0,421170.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,153100.0,218092.0,33175771950.0,14.680000305175781,2270173600.0,5.829999923706055,-57068.0,-8667570250.0,67710.0,10297199750.0,-11744.0,-1778223600.0,5343.0,824130100.0,-7711.0,-1177376850.0,-212.0,-31948750.0,0.0,0.0,-7531.0,-1144587300.0,-1699.0,-258276800.0,1293.0,178067700.0,-191.0,-29473600.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,15150.0,935639.0,14033742715.0,1.5399999618530273,557976440.0,3.309999942779541,-74346.0,-1133115480.0,2805.0,58764450.0,71177.0,1068882650.0,137117.0,2057961660.0,1622.0,24499675.0,-19755.0,-295388115.0,0.0,0.0,-17087.0,-255672405.0,-63344.0,-949608085.0,333.0,5004990.0,31.0,463390.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",38250.0,2361.0,89057200.0,-0.5199999809265137,1258250.0,1.149999976158142,-116.0,-4330750.0,-7.0,-369450.0,161.0,6129250.0,95.0,3652600.0,5.0,187950.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2288700.0,-39.0,-1463500.0,1.0,34450.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,25300.0,243.0,6148650.0,-0.38999998569488525,0.0,0.0,-74.0,-1864200.0,-81.0,-2052450.0,155.0,3916650.0,155.0,3916650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,145700.0,65244.0,9421190750.0,-0.14000000059604645,771290800.0,7.340000152587891,-5822.0,-843312600.0,3589.0,515632600.0,2483.0,363922000.0,-2129.0,-304735100.0,-951.0,-136539000.0,-116.0,-16437800.0,0.0,0.0,2035.0,295722700.0,3645.0,526056600.0,-238.0,-34502000.0,-12.0,-1740000.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",5560.0,806946.0,4438841800.0,3.3499999046325684,713152110.0,16.06999969482422,-204733.0,-1130871280.0,116752.0,643970060.0,90290.0,499736380.0,17419.0,96310970.0,0.0,0.0,67860.0,375839400.0,0.0,0.0,5065.0,27886110.0,-54.0,-300100.0,2271.0,12372030.0,-4580.0,-25207190.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,135500.0,4584.0,614236000.0,0.0,19162400.0,3.119999885559082,624.0,83585600.0,-713.0,-95955500.0,89.0,12369900.0,199.0,27088500.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.0,-14718600.0,0.0,0.0,0.0,0.0,0.0,0.0
