티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4245.0,155269.0,664332175.0,-1.0499999523162842,12549995.0,1.8899999856948853,-65645.0,-280785164.0,61790.0,264091249.0,3552.0,15392465.0,-2934.0,-12472850.0,0.0,0.0,6486.0,27865315.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,1297195.0,1.0,4255.0
006840,AK홀딩스,유가,기타 금융업,지주사업,6430.0,5420.0,34667930.0,0.4699999988079071,737610.0,2.130000114440918,-900.0,-5694830.0,738.0,4707410.0,162.0,987420.0,162.0,987420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,3990.0,153309.0,609927830.0,0.12999999523162842,9186200.0,1.5099999904632568,-56353.0,-223684350.0,49434.0,196492500.0,6919.0,27191850.0,1888.0,7103385.0,0.0,0.0,19.0,75500.0,-752.0,-2995745.0,5764.0,23008710.0,0.0,0.0,0.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,123400.0,74188.0,9097045550.0,4.309999942779541,136365150.0,1.409999966621399,-12284.0,-1497309100.0,10231.0,1239393900.0,2121.0,266272200.0,240.0,29209000.0,3225.0,402723950.0,229.0,28285200.0,0.0,0.0,-1604.0,-197807550.0,32.0,3983400.0,-18.0,-2198700.0,-50.0,-6158300.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,18040.0,704737.0,12666984150.0,1.5199999809265137,1001241490.0,7.349999904632568,-157595.0,-2838586460.0,120091.0,2145706920.0,37487.0,692570810.0,-24458.0,-426238790.0,-49639.0,-892910860.0,-146.0,-2001135.0,-156.0,-2785810.0,15407.0,275937875.0,11033.0,199483925.0,10.0,175510.0,7.0,133220.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",32700.0,1702.0,55269800.0,-0.46000000834465027,3151550.0,3.380000114440918,325.0,10612400.0,-246.0,-8074350.0,-79.0,-2538050.0,-79.0,-2538050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,23400.0,181.0,4171150.0,0.20999999344348907,0.0,0.0,-47.0,-1088500.0,47.0,1087950.0,0.0,550.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,132200.0,103364.0,13625178300.0,-1.1200000047683716,628726900.0,4.139999866485596,11361.0,1492228900.0,9705.0,1275046300.0,-21162.0,-2779871250.0,-46.0,-4002450.0,860.0,115082650.0,-684.0,-89145600.0,0.0,0.0,-20603.0,-2710831650.0,-806.0,-106447350.0,95.0,12464350.0,1.0,131700.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4855.0,671374.0,3258094989.0,3.0799999237060547,258117450.0,7.920000076293945,-173834.0,-848304047.0,147184.0,718812722.0,24543.0,119249160.0,146.0,567780.0,0.0,0.0,0.0,0.0,0.0,0.0,24397.0,118681375.0,0.0,0.0,2022.0,9872250.0,85.0,369915.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,130700.0,5661.0,734534200.0,-0.6800000071525574,23746900.0,3.2300000190734863,-1221.0,-159121000.0,465.0,59890800.0,754.0,98970200.0,754.0,98970200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,260000.0,0.0,0.0
000120,CJ대한통운,유가,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",77300.0,40872.0,3142973100.0,0.7799999713897705,361238200.0,9.199999809265137,-7388.0,-568634550.0,-2635.0,-202996400.0,10460.0,805138850.0,-657.0,-49789100.0,-1432.0,-110033050.0,488.0,37037350.0,30.0,2306200.0,7106.0,546842500.0,4924.0,378698450.0,-91.0,-7009100.0,-346.0,-26498800.0
011150,CJ씨푸드,유가,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",2015.0,81652.0,165187879.0,1.2100000381469727,544710.0,0.33000001311302185,-23078.0,-46619225.0,22717.0,45883635.0,34.0,68510.0,34.0,68510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,667080.0,0.0,0.0
011155,CJ씨푸드1우,KOSPI,기타/미분류,기타/미분류,6780.0,31875.0,209715380.0,29.889999389648438,0.0,0.0,3967.0,25027970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3967.0,-25027970.0
