날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-04-29,477066017809,-38127628337,168131255833,-607069645305,0,KOSPI
2026-04-29,-72853025659,-62960948586,137886888480,-2072914235,0,KOSDAQ
