날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-06-09,2504819861719,118256627637,-616691027307,-2006385462049,0,KOSPI
2026-06-09,199571209657,-936823487,-511248806217,312614420047,0,KOSDAQ
