티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4805,322949,1549061279,0.31,30180495,1.95,21130.0,100613041.0,32103.0,153809789.0,-56500.0,-270323200.0,-130.0,-627415.0,-99.0,-473220.0,-35.0,-167965.0,0.0,0.0,-56542.0,-270536375.0,306.0,1481775.0,-2680.0,-12948400.0,5947.0,28848770.0
006840,AK홀딩스,유가,기타 금융업,지주사업,7960,5899,45968205,-0.38,11001010,23.93,701.0,5571075.0,-1075.0,-8529235.0,420.0,3306780.0,423.0,3330260.0,0.0,0.0,-3.0,-23480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-348620.0
027410,BGF,유가,기타 금융업,지주회사,4760,200173,957892753,-2.46,142978285,14.93,-31311.0,-149981843.0,12046.0,57951575.0,-852.0,-3538357.0,-3388.0,-15814600.0,0.0,0.0,8976.0,43116787.0,510.0,2445116.0,0.0,0.0,-6950.0,-33285660.0,21115.0,100364005.0,-998.0,-4795380.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,133900,46580,6165108350,-1.69,1466645500,21.95,-731.0,-98274600.0,4787.0,632691000.0,-5074.0,-669751700.0,2586.0,343855550.0,462.0,60995400.0,-1594.0,-211622250.0,0.0,0.0,-4785.0,-632562400.0,-1743.0,-230418000.0,1060.0,140967500.0,-42.0,-5632200.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,17260,937392,16111449080,0.0,243151470,1.39,-23344.0,-406607575.0,-97259.0,-1668597290.0,260057.0,4472872145.0,258235.0,4446462110.0,-1565.0,-26881395.0,-109171.0,-1872450975.0,0.0,0.0,-21387.0,-367213180.0,-10036.0,-171644485.0,-135185.0,-2324449590.0,-4269.0,-73217690.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",44100,5426,239227700,-3.08,14524950,5.29,-1673.0,-73610050.0,988.0,42882100.0,575.0,25849850.0,-16.0,-585900.0,0.0,0.0,-5.0,-220500.0,0.0,0.0,0.0,0.0,596.0,26656250.0,0.0,0.0,110.0,4878100.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,30100,595,17977950,-2.9,30550,0.17,-110.0,-3317900.0,14.0,417200.0,100.0,3020700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3020600.0,0.0,0.0,-4.0,-120000.0
001040,CJ,유가,기타 금융업,지주회사,174500,516499,87464583200,2.47,5939186700,5.35,48323.0,8009266650.0,74350.0,12679088800.0,-122835.0,-20705710100.0,19661.0,3412898600.0,-7461.0,-1249155900.0,-31302.0,-5340949750.0,0.0,0.0,-96948.0,-16375402000.0,-8801.0,-1495583750.0,-475.0,-93321300.0,637.0,110675950.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4860,542854,2692107952,-1.12,247391495,9.19,48200.0,234397185.0,-17524.0,-82576525.0,-19590.0,-97037110.0,-19435.0,-96283435.0,0.0,0.0,-113.0,-549555.0,0.0,0.0,0.0,0.0,-42.0,-204120.0,361.0,1814900.0,-11447.0,-56598450.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,158000,32898,4990228350,2.33,8313600,0.17,1130.0,156757600.0,-2479.0,-374453000.0,1334.0,215379600.0,3626.0,559786500.0,5.0,763600.0,-107.0,-16087700.0,0.0,0.0,-2200.0,-330577000.0,10.0,1494200.0,0.0,0.0,15.0,2315800.0
000120,CJ대한통운,유가,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",88600,59233,5231298100,-0.67,677838600,10.81,519.0,46477900.0,6299.0,553995300.0,-7210.0,-635104500.0,3350.0,296285400.0,-6185.0,-545631750.0,-1710.0,-150794850.0,0.0,0.0,0.0,118100.0,-2797.0,-246828600.0,124.0,11017500.0,268.0,23613800.0
011150,CJ씨푸드,유가,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",2425,140244,342510086,-1.02,1963355,0.57,-44397.0,-108487931.0,44378.0,108445981.0,19.0,41950.0,29.0,66225.0,0.0,0.0,-10.0,-24275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011155,CJ씨푸드1우,KOSPI,기타/미분류,기타/미분류,12960,357,4640110,-2.7,0,0.0,-10.0,-130700.0,0.0,0.0,10.0,130700.0,10.0,130700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,KOSPI,기타/미분류,기타/미분류,82000,6592,535265750,-0.49,0,0.0,448.0,37095250.0,-823.0,-67750250.0,-79.0,-6430300.0,-79.0,-6430300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,36761300.0,4.0,324000.0
097950,CJ제일제당,유가,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",216000,61487,13167516500,-2.48,1237310000,6.83,18230.0,3906781500.0,-8538.0,-1841658250.0,-12150.0,-2592367750.0,610.0,132710250.0,-2608.0,-557423000.0,-175.0,-37410500.0,0.0,0.0,-10055.0,-2146905750.0,78.0,16667750.0,2407.0,516233500.0,51.0,11011000.0
097955,CJ제일제당 우,KOSPI,기타/미분류,기타/미분류,131600,8567,1121000750,-0.53,4339200,0.39,1470.0,190991950.0,763.0,100083100.0,-2359.0,-308072750.0,-15.0,-1947650.0,0.0,0.0,0.0,0.0,0.0,0.0,-2344.0,-306125100.0,0.0,0.0,94.0,12633700.0,32.0,4364000.0
000480,시알홀딩스,유가,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",4770,29922,142486380,-1.14,5532090,3.88,4100.0,19609395.0,-3738.0,-17884435.0,-467.0,-2223725.0,-413.0,-1966265.0,0.0,0.0,-33.0,-157310.0,0.0,0.0,0.0,0.0,-21.0,-100150.0,104.0,494000.0,1.0,4765.0
000590,CS홀딩스,유가,기타 금융업,"브랜드 수익, 자회사 배당",78200,1885,145918000,0.9,78200,0.05,-1314.0,-101800100.0,1313.0,101673200.0,0.0,42500.0,0.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84400.0
012030,DB,유가,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1987,1285682,2542313442,-0.65,148377337,5.84,-157808.0,-311275628.0,163536.0,322560670.0,-381.0,-771778.0,-22.0,-58175.0,0.0,0.0,-228.0,-453306.0,0.0,0.0,0.0,0.0,-131.0,-260297.0,-300.0,-585000.0,-5047.0,-9928264.0
005830,DB손해보험,유가,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",164100,283030,45981497500,2.18,8959720150,18.38,-15809.0,-2587427700.0,-70374.0,-11494763800.0,87553.0,14305229900.0,6805.0,1107449150.0,16616.0,2708064000.0,-1833.0,-285040050.0,-10000.0,-1616043900.0,72943.0,11898049600.0,3022.0,492754900.0,-96.0,-15625300.0,-1274.0,-207413100.0
016610,DB증권,유가,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",11990,129853,1561550770,-4.08,191106210,9.62,18752.0,229141320.0,-11359.0,-140844900.0,-10954.0,-131498990.0,-11026.0,-132403150.0,0.0,0.0,-49.0,-587750.0,0.0,0.0,0.0,0.0,121.0,1491910.0,3133.0,38053630.0,428.0,5148940.0
000990,DB하이텍,유가,반도체 제조업,반도체 제조,157300,385107,62863245950,-7.96,11701804750,15.25,23502.0,3776530200.0,-38823.0,-6587911400.0,16868.0,3068288300.0,19117.0,3341127100.0,2438.0,395636700.0,-39773.0,-6388962900.0,0.0,0.0,38212.0,6217260000.0,-3022.0,-480429900.0,-1048.0,-175406400.0,-499.0,-81500700.0
000300,DH오토넥스,유가,자동차 신품 부품 제조업,"유,무선 통신장비",4200,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001530,디아이동일,유가,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",28150,94254,2647880750,1.44,489002000,14.44,-5731.0,-169841150.0,-3402.0,-90672550.0,9871.0,281248250.0,2444.0,68414750.0,-108.0,-3078700.0,3071.0,89024875.0,0.0,0.0,0.0,0.0,4464.0,126887325.0,-3.0,-47350.0,-735.0,-20687200.0
015590,DKME,유가,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",2620,1354072,3551670550,-9.66,314324825,8.85,-62725.0,-154076112.0,-337856.0,-889680594.0,-502.0,-1184779.0,-502.0,-1184779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300926.0,781193860.0,100157.0,263747625.0
000210,DL,유가,기초 화학물질 제조업,지주회사,55000,205814,11205935900,-4.18,492432100,3.68,-19894.0,-1057901300.0,70975.0,3833550050.0,-54067.0,-2935440650.0,4683.0,257574200.0,-542.0,-29258850.0,-11625.0,-634140700.0,0.0,0.0,-44846.0,-2422457050.0,-1737.0,-107158250.0,2716.0,145108600.0,270.0,14683300.0
000215,DL우,KOSPI,기타/미분류,기타/미분류,24750,5929,145836100,-2.37,0,0.0,-2274.0,-55779800.0,169.0,4188950.0,1.0,62500.0,1.0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,51954500.0,-17.0,-426150.0
375500,DL이앤씨,유가,토목 건설업,토목 건설 사업,78000,491201,37859734050,-2.13,4381326100,8.36,-86035.0,-6621133300.0,33103.0,2529483600.0,59143.0,4578273750.0,-11756.0,-893604500.0,10780.0,821998050.0,7912.0,610174350.0,0.0,0.0,51706.0,4001025700.0,277.0,21202750.0,340.0,24590400.0,-6551.0,-511214450.0
37550L,DL이앤씨2우(전환),KOSPI,기타/미분류,기타/미분류,46650,4926,225735925,-2.0,2117550,0.94,-864.0,-39856025.0,-114.0,-5179625.0,994.0,45795600.0,994.0,45795600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-804600.0,1.0,44650.0
37550K,DL이앤씨우,KOSPI,기타/미분류,기타/미분류,25050,11378,286961850,-2.91,0,0.0,-5069.0,-127906425.0,5279.0,133164425.0,2.0,50950.0,2.0,50950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.0,-4882400.0,-17.0,-426550.0
