Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,6003031.0,46445787283.0,3591959893.0,-36372.0,-3928867579.0,90491.0,3550149124.0,-44103.0,518788864.0,-8995.0,542797259.0,397.0,15977000.0,-23149.0,-651374490.0,-5.0,-172600.0,-16896.0,-1040139053.0,4536.0,1641862648.0,5083.0,74879053.0,-15099.0,-214949462.0,23
1차 철강 제조업,14624224.0,171712439440.0,29987865083.0,-343793.0,-4781988020.0,150261.0,13419671389.0,124628.0,-9087397580.0,67421.0,6179546777.0,18135.0,-227994720.0,-33622.0,-252089460.0,-2541.0,-43804645.0,62281.0,311716190.0,15275.0,-15002919362.0,59237.0,496240564.0,9667.0,-46526353.0,61
ETF,13303525.0,291888745103.0,0.0,783990.0,2952213707.0,66645.0,693752044.0,-981664.0,-2748022878.0,1504844.0,10712651175.0,-28817.0,-1707321365.0,112723.0,-2883218242.0,109262.0,870094239.0,0.0,0.0,67324.0,119263065.0,117631.0,-996069121.0,13398.0,98126248.0,7
가구 제조업,4352027.0,7327269897.0,30972754.0,10970.0,-47867083.0,-29482.0,-22454964.0,-2990.0,-30936925.0,955.0,5601985.0,-5.0,-133200.0,0.0,0.0,-87.0,-2345900.0,-3839.0,-33838040.0,-14.0,-221770.0,20086.0,99436247.0,1416.0,1822725.0,9
가전제품 및 정보통신장비 소매업,21883.0,132348005.0,3891410.0,199.0,138060.0,-194.0,-501200.0,32.0,513520.0,36.0,538240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-24720.0,-37.0,-150380.0,0.0,0.0,2
가정용 기기 제조업,3577033.0,23929776318.0,779530649.0,66101.0,-16743967.0,-51693.0,-346425632.0,-25658.0,303367889.0,-14554.0,-382037414.0,-21.0,-887600.0,338.0,39099750.0,0.0,0.0,2000.0,128315300.0,9806.0,603050160.0,11900.0,45657985.0,-650.0,14143725.0,9
"가죽, 가방 및 유사제품 제조업",854733.0,2290188470.0,65020085.0,70214.0,166466277.0,-51728.0,8787740.0,-18470.0,-185399017.0,22.0,27618448.0,-651.0,-7419180.0,-16261.0,-186327320.0,-41.0,-2304500.0,-1924.0,-22032080.0,385.0,5065615.0,-300.0,11811363.0,284.0,-1666363.0,5
개인 및 가정용품 수리업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
개인 및 가정용품 임대업,8272.0,174023650.0,20175800.0,2886.0,60610000.0,-1519.0,-31853050.0,-1367.0,-28753800.0,-77.0,-1622850.0,-560.0,-11777750.0,-721.0,-15164500.0,0.0,0.0,0.0,0.0,-9.0,-188700.0,-1.0,-24150.0,1.0,21000.0,1
건물 건설업,39628353.0,1237820280855.0,22012530193.0,-3966733.0,-125419429795.0,3055430.0,91663290020.0,684282.0,20380026912.0,99702.0,4583861351.0,47519.0,2220041860.0,185881.0,2506295372.0,-2522.0,-5412871.0,179657.0,4572188980.0,174044.0,6502978820.0,229821.0,13876951114.0,-2800.0,-500838251.0,26
