티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
002450,삼익악기,유가,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1277,310878,392849753,-0.78,1353963,0.34,49292.0,62430781.0,17377.0,21330282.0,-66385.0,-83393288.0,-17503.0,-21805844.0,0.0,0.0,0.0,0.0,0.0,0.0,-48882.0,-61587444.0,0.0,0.0,0.0,0.0,-284.0,-367775.0
004440,삼일씨엔에스,유가,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 강교, PC",4900,54705,264862795,-2.97,1297435,0.49,18345.0,88370470.0,-17637.0,-84960140.0,-52.0,-251610.0,-52.0,-251610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-656.0,-3158720.0
000520,삼일제약,유가,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",7150,80140,580796510,-1.24,73377270,12.63,-4221.0,-31635870.0,4318.0,32332860.0,-97.0,-697350.0,-78.0,-561500.0,0.0,0.0,-19.0,-135850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
009770,삼정펄프,유가,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",26000,813,21191175,0.0,130000,0.61,-398.0,-10374350.0,207.0,5336850.0,57.0,1521250.0,57.0,1521250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,3516250.0
005500,삼진제약,유가,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",19130,75709,1454199130,-2.15,105397550,4.67,941.0,17145570.0,1213.0,24088930.0,-445.0,-8553790.0,-226.0,-4367780.0,0.0,0.0,-115.0,-2197660.0,0.0,0.0,-104.0,-1988350.0,0.0,0.0,13.0,248970.0,-1722.0,-32929680.0
004690,삼천리,유가,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대,123800,11757,1466621600,-1.82,222078900,13.18,-339.0,-44213800.0,-1610.0,-200088700.0,-57.0,-7379500.0,-101.0,-12705000.0,-5.0,-618500.0,-69.0,-8572800.0,0.0,0.0,-152.0,-18894700.0,270.0,33411500.0,2044.0,256386200.0,-38.0,-4704200.0
010960,삼호개발,유가,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",3260,33851,111597895,-1.66,6588960,5.9,11221.0,36889170.0,-10105.0,-33248639.0,-1097.0,-3576220.0,-1097.0,-3576220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-64311.0
004450,삼화왕관,유가,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",24950,1444,36087500,-0.6,17215500,47.7,-122.0,-3042950.0,497.0,12380850.0,-390.0,-9714650.0,-390.0,-9714650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,376750.0,0.0,0.0
009470,삼화전기,유가,전자부품 제조업,"콘덴서 제조,판매",33000,39033,1285592400,-0.3,134173600,10.44,1574.0,54024000.0,1455.0,45784950.0,-3047.0,-100406800.0,-1984.0,-65471700.0,0.0,0.0,-883.0,-29064350.0,0.0,0.0,-180.0,-5870800.0,0.0,0.0,7.0,226100.0,11.0,371750.0
011230,삼화전자공업,유가,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",2880,2257851,6860900308,-9.86,1298990,0.02,82951.0,276555830.0,-73254.0,-245918870.0,32.0,85560.0,32.0,85560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46420.0,-9729.0,-30676100.0
