날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2025-12-24,203889109402,-9316482811,-717073555017,522500928426,0,KOSPI
2025-12-24,76871858803,-32186809714,-8890306487,-35794742602,0,KOSDAQ
