ticker,region,name,ytd,m1,m3,mdd,off_high,high_date,low_date
000250.KQ,KR,삼천당제약,-27.440860215053764,10.405759162303664,-54.6505376344086,-89.31587837837837,-85.75168918918918,03-30,07-29
214150.KQ,KR,클래시스,-41.009174311926614,-25.92165898617511,-37.6937984496124,-57.473544973544975,-57.473544973544975,01-29,08-21
214450.KQ,KR,파마리서치,-0.6203473945409432,24.1860465116279,31.311475409836078,-51.49812734082397,-25.0,01-29,06-08
006280.KS,KR,녹십자,-22.437055045829666,2.864363942712722,-12.15827338129496,-36.58580820358084,-31.6000634422016,02-12,07-29
185750.KS,KR,종근당,-19.30036188178529,1.2102874432677657,-16.374999999999996,-34.39099283520982,-31.525076765609008,02-19,06-26
003090.KS,KR,대웅,-26.122448979591837,2.581863979848875,-21.304347826086957,-45.99659284497445,-44.49744463373083,02-23,06-26
389650.KQ,KR,디앤디파마텍,-63.87024608501118,-2.4169184290030232,-33.333333333333336,-64.77644492911668,-64.77644492911668,01-05,08-21
310210.KQ,KR,보로노이,-30.068965517241374,21.29186602870814,-45.87188612099644,-72.26960110041264,-58.15680880330123,03-13,07-30
039200.KQ,KR,오스코텍,-18.805309734513276,25.25597269624573,-13.136094674556208,-52.782462057335586,-38.11129848229342,03-16,07-14
299660.KQ,KR,셀리드,-38.531468531468526,71.51219512195122,-46.156202143951,-75.06082725060827,-57.22627737226278,04-20,07-22
