Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,70342588,577699232622,14966783844,1724621.0,70906694982.0,-2108952.0,-88019266204.0,142105.0,15529565591.0,76574.0,8579154132.0,-1078.0,-686973444.0,63755.0,6082068886.0,0.0,0.0,-2845.0,845330075.0,5665.0,701849142.0,46368.0,1329742187.0,195858.0,253263444.0,23
1차 철강 제조업,44502119,670565299958,36442097471,1413092.0,50240566919.0,-1498853.0,-53217441318.0,168985.0,993715255.0,-32725.0,-1438450007.0,-4358.0,-995907700.0,24939.0,5083349671.0,-855.0,-43416395.0,147701.0,-54193224.0,32919.0,-1569473410.0,-67890.0,490809983.0,-15334.0,1492349161.0,59
가구 제조업,623547,2760443766,33797024,104261.0,361280579.0,-95226.0,-324648020.0,-508.0,-11552133.0,-92.0,-2215951.0,-63.0,-1319110.0,-90.0,-1552232.0,-52.0,-1877750.0,0.0,0.0,-211.0,-4587090.0,-6522.0,-14310867.0,-2005.0,-10769559.0,9
가전제품 및 정보통신장비 소매업,32980,249145170,3743310,4678.0,42666320.0,-8960.0,-71720680.0,4278.0,29301050.0,604.0,4750610.0,0.0,0.0,3995.0,27118330.0,0.0,0.0,0.0,0.0,-322.0,-2575890.0,26.0,174750.0,-22.0,-421440.0,2
가정용 기기 제조업,2840968,25873313878,2006456422,106686.0,2440421326.0,-100771.0,-2875000169.0,3580.0,658077333.0,-17649.0,-1005828067.0,-40.0,-3099000.0,17955.0,1392789200.0,0.0,0.0,3241.0,255799000.0,73.0,18416200.0,-9074.0,-191518384.0,-421.0,-31980106.0,8
"가죽, 가방 및 유사제품 제조업",271314,3879262180,76493760,-52026.0,-799578035.0,-20886.0,-296189435.0,75032.0,1120454880.0,-110.0,-5198340.0,1453.0,21789945.0,-797.0,-13455855.0,-9.0,-538600.0,17485.0,249752515.0,57010.0,868105215.0,-4983.0,-69773820.0,2863.0,45086410.0,5
개인 및 가정용품 수리업,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,12464,305282275,2177350,7011.0,171754800.0,-3993.0,-97949875.0,-3210.0,-78500075.0,-56.0,-1373250.0,-317.0,-7750250.0,-1710.0,-41871925.0,0.0,0.0,-1000.0,-24405850.0,-127.0,-3098800.0,224.0,5485950.0,-32.0,-790800.0,1
건물 건설업,20838744,774853595169,65292669557,4056185.0,151175409681.0,-2919135.0,-105196190402.0,-1146751.0,-46121246611.0,-498778.0,-19720358941.0,-24436.0,-1062585750.0,-192337.0,-7354310850.0,-1088.0,-3117320.0,-168305.0,-6554302950.0,-258236.0,-11366804510.0,21012.0,864511525.0,-11311.0,-722484193.0,24
건물설비 설치 공사업,69005,1330018745,6062285,-4616.0,-73929270.0,2331.0,39943640.0,501.0,2157415.0,481.0,1978115.0,-4.0,-92675.0,15.0,61575.0,0.0,0.0,0.0,0.0,9.0,210400.0,507.0,2220675.0,1277.0,29607540.0,2
"건축기술, 엔지니어링 및 관련 기술 서비스업",8311101,377565617598,21212111761,-501203.0,-23055806544.0,251643.0,2253143385.0,220105.0,19451472398.0,98935.0,9643920483.0,3189.0,147116550.0,24337.0,2817523445.0,2293.0,-83905750.0,78773.0,6243910550.0,13822.0,789242670.0,24041.0,1074969205.0,5414.0,276221556.0,16
"건축자재, 철물 및 난방장치 도매업",423821,695173731,18795451,-49215.0,-80482030.0,50048.0,81820027.0,57.0,103634.0,400.0,665468.0,0.0,0.0,-52.0,-85176.0,0.0,0.0,0.0,0.0,-291.0,-476658.0,0.0,0.0,-890.0,-1441631.0,1
"경비, 경호 및 탐정업",39500,3378134100,994502600,2946.0,248748600.0,-8984.0,-770484100.0,6014.0,519688400.0,3925.0,339177350.0,-88.0,-7485550.0,2492.0,214841200.0,0.0,0.0,14.0,1360700.0,-329.0,-28204800.0,0.0,0.0,24.0,2047100.0,1
고무제품 제조업,2146228,41179624391,7034865685,764316.0,8289052563.0,-412003.0,1453233100.0,-369823.0,-10127015724.0,-443.0,543120971.0,-23242.0,-1030620385.0,-62379.0,-2746058880.0,-208.0,-1489735.0,-243892.0,-5590088785.0,-39659.0,-1301881210.0,6026.0,71107200.0,11484.0,313622861.0,8
"곡물가공품, 전분 및 전분제품 제조업",1655088,3695690666,119605847,98006.0,254046861.0,-121467.0,-313231942.0,5348.0,20268675.0,7361.0,25894876.0,-102.0,-295575.0,-597.0,-1484652.0,-797.0,-2341504.0,0.0,0.0,-517.0,-1504470.0,-104.0,11746346.0,18217.0,27170060.0,7
"골판지, 종이 상자 및 종이용기 제조업",4196161,10834398956,300983087,62861.0,-250198221.0,-126817.0,-114353516.0,6551.0,215439314.0,-20933.0,-35886291.0,-145.0,-1583480.0,-4904.0,-42572720.0,0.0,0.0,10226.0,93671870.0,22307.0,201809935.0,-2935.0,23619310.0,60340.0,125493113.0,9
"과실, 채소 가공 및 저장 처리업",256018,801991516,8821800,-34018.0,-133515999.0,28829.0,116972239.0,-1416.0,-1781162.0,-1416.0,-1781162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,3400.0,6295.0,18321522.0,3
광고업,2325054,25341440017,2286637961,-380328.0,-5701968695.0,-86561.0,-2598377226.0,464766.0,8577265380.0,48935.0,436296680.0,-8909.0,-177526545.0,-7541.0,-147017070.0,0.0,0.0,421819.0,8394564195.0,10462.0,70948120.0,-9326.0,-326896048.0,11449.0,49976589.0,19
교육지원 서비스업,24703,70763215,0,-2782.0,-7824055.0,149.0,331050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2633.0,7493005.0,1
"구조용 금속제품, 탱크 및 증기발생기 제조업",26407439,299014459665,4820721884,-210252.0,-7178611736.0,205124.0,9584156215.0,-7698.0,-2512524194.0,74816.0,2363226096.0,-19829.0,-971869475.0,-12963.0,-636055650.0,57.0,1069640.0,-50881.0,-3050822050.0,1361.0,-199543855.0,-18951.0,-126290352.0,31777.0,233270067.0,21
귀금속 및 장신용품 제조업,507062,1077407486,80876601,72420.0,183925690.0,-71108.0,-180023961.0,-823.0,-1529895.0,121.0,286361.0,0.0,0.0,-142.0,-273208.0,0.0,0.0,0.0,0.0,-802.0,-1543048.0,-2460.0,-4715020.0,1971.0,2343186.0,2
그외 기타 개인 서비스업,384403,33757674300,1682451400,7250.0,612111900.0,-30128.0,-2634029900.0,19905.0,1759211300.0,4297.0,344583550.0,2853.0,251237100.0,10246.0,899897100.0,0.0,0.0,-2110.0,-146275850.0,4619.0,409764000.0,2933.0,259207900.0,40.0,3498800.0,1
그외 기타 운송장비 제조업,1972048,406160631892,18707669975,-340532.0,-82632683648.0,332719.0,80214870245.0,18271.0,4695409200.0,3201.0,254492780.0,-2604.0,-680340270.0,-72.0,415262050.0,0.0,0.0,6925.0,1711035750.0,10702.0,2964799850.0,-5229.0,-1265314165.0,-5229.0,-1012281632.0,5
"그외 기타 전문, 과학 및 기술 서비스업",3083487,88489982502,2484537249,-15924.0,-2283993068.0,-43993.0,354340398.0,39019.0,884291740.0,9350.0,999721690.0,3629.0,129596775.0,-25886.0,-3796449525.0,0.0,0.0,508.0,-244485175.0,51419.0,3795946225.0,16539.0,1009731490.0,4359.0,35629440.0,16
그외 기타 제품 제조업,1198579,8876464898,143652636,-75906.0,-460606049.0,36633.0,-314389574.0,31419.0,645569885.0,1809.0,1571035.0,0.0,0.0,0.0,0.0,0.0,0.0,24001.0,573037550.0,5609.0,70961300.0,114.0,506220.0,7740.0,128919518.0,10
금속 주조업,2205516,3784413022,38457442,-189142.0,-210387815.0,175367.0,189299700.0,-685.0,-261978.0,-663.0,-227878.0,0.0,0.0,-22.0,-34100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14460.0,21350093.0,3
금융 지원 서비스업,185842434,1419560413545,57095610594,3713167.0,128829702921.0,-985204.0,-50080230454.0,-2885374.0,-78186217063.0,-773252.0,-21294291520.0,-32121.0,-667850145.0,-341587.0,-23805729055.0,-27141.0,-163136470.0,202562.0,-3893512332.0,-1769821.0,-27421892686.0,119486.0,-1345788461.0,37925.0,782533057.0,90
기계장비 및 관련 물품 도매업,14168357,94785889051,5184942539,-792033.0,-10508063757.0,729737.0,12993958429.0,2900.0,-2190724216.0,48173.0,-693303264.0,-506.0,202497300.0,-40582.0,-1268034502.0,0.0,0.0,2335.0,17387930.0,-6520.0,-449274680.0,8612.0,-307056581.0,50784.0,11886125.0,24
기록매체 복제업,94827,138798362,994541,2746.0,3991889.0,-4635.0,-6741548.0,1327.0,1932156.0,1327.0,1932156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,817503.0,1
기반조성 및 시설물 축조관련 전문공사업,285261,1952719814,2092620,29088.0,277150373.0,-32377.0,-282635328.0,6589.0,36318655.0,1524.0,8284935.0,-30.0,-540000.0,4873.0,28288830.0,0.0,0.0,0.0,0.0,222.0,284890.0,-2498.0,-14363340.0,-802.0,-16470360.0,3
기초 의약물질 제조업,8661001,412418083578,35898549938,813313.0,80420080144.0,-566070.0,-47925102360.0,-346206.0,-50236904631.0,-242215.0,-10616197586.0,-16971.0,-2694095125.0,-74133.0,-10671428840.0,-40.0,-10880000.0,-45737.0,-21379124700.0,34246.0,-4549674380.0,84219.0,17564392935.0,14744.0,177533912.0,45
기초 화학물질 제조업,35777184,1296518830959,50540666339,-943212.0,-52028811592.0,1660772.0,78758618055.0,-806371.0,-31344036802.0,-10714.0,-587362232.0,18010.0,456323220.0,125401.0,3567259760.0,-489.0,-48800850.0,308802.0,23445271320.0,-1247995.0,-58204946100.0,54301.0,3873916455.0,34510.0,740313884.0,50
기타 과학기술 서비스업,1725348,18726135560,160319945,16988.0,112285840.0,-49826.0,-410389660.0,14916.0,174556145.0,14916.0,174556145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16178.0,146312345.0,1744.0,-22764670.0,5
기타 교육기관,99475,789951250,26602860,14231.0,65404680.0,-7150.0,-28483890.0,-216.0,-1070840.0,-216.0,-1070840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5884.0,-27208250.0,-981.0,-8641700.0,2
기타 금속 가공제품 제조업,30556853,322935444539,2394413429,1050576.0,11395386576.0,-1108393.0,-13846405286.0,93393.0,2764369065.0,-62728.0,-29787245.0,-960.0,-54977340.0,169454.0,3772847110.0,0.0,0.0,-7758.0,-419697550.0,-4615.0,-504015910.0,-34971.0,-126497979.0,-605.0,-186852376.0,26
기타 금융업,127014647,2763288833563,145486145874,10489043.0,19477535792.0,-12469745.0,-169750834730.0,1122951.0,133014630620.0,1050647.0,127576595741.0,-55125.0,-6111307780.0,-74654.0,14672445470.0,19.0,278222430.0,-25723.0,-7034550810.0,6611.0,-11030305481.0,649153.0,15900815826.0,208598.0,1357852492.0,104
기타 비금속 광물제품 제조업,9407913,93756334847,4033775950,958803.0,12108288488.0,-871127.0,-5262730728.0,-19281.0,-5804567437.0,-2945.0,-1389695742.0,-893.0,-265031500.0,-1668.0,-443038240.0,51.0,15208500.0,-11846.0,-3516176750.0,-1980.0,-205835705.0,2830.0,82541860.0,-71225.0,-1123532183.0,9
