날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-07-07,-310762059568,92116815814,3135872544572,-2917227300818,0,KOSPI
2026-07-07,-9981495438,-2671345276,-361582551390,374235392104,0,KOSDAQ
