Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,17340054,162939302465,7312183765,-61300.0,-6149772488.0,37217.0,4737092900.0,-3313.0,8984654034.0,-12079.0,6812797181.0,22161.0,-413258000.0,48048.0,3546376758.0,38.0,237020400.0,54337.0,-292684900.0,-115447.0,-862580155.0,-69458.0,-7370306792.0,96854.0,-201667654.0,23
1차 철강 제조업,28234845,527418778379,19723699877,-1528394.0,-65602608157.0,834460.0,22094537171.0,1028192.0,46561956872.0,340719.0,24580975578.0,-3153.0,-617510880.0,400889.0,9715182145.0,8940.0,85314300.0,214543.0,10565598480.0,107189.0,2030153538.0,-357311.0,-2759598894.0,23053.0,-294286992.0,59
가구 제조업,3997522,28887623990,70402676,69349.0,937405222.0,-5558.0,-267696989.0,-45241.0,-561684445.0,877.0,8832960.0,-10679.0,-132863950.0,-6.0,-75000.0,100.0,4244550.0,-35476.0,-441343215.0,-57.0,-479790.0,-20405.0,-120968885.0,1855.0,12945097.0,9
가전제품 및 정보통신장비 소매업,153014,1311265705,622010,-3559.0,-33158225.0,-6651.0,-56296495.0,-302.0,-2528170.0,-289.0,-2413770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-114400.0,10064.0,88066210.0,448.0,3916680.0,2
가정용 기기 제조업,672945,22981337433,1293269866,-68815.0,-3576667873.0,18124.0,105395654.0,50822.0,3484432853.0,19798.0,1354217403.0,5888.0,401561150.0,2275.0,157377000.0,130.0,9931600.0,20117.0,1373685100.0,2614.0,187660600.0,-589.0,-7515724.0,458.0,-5644910.0,8
"가죽, 가방 및 유사제품 제조업",789403,10724549655,238620260,-197893.0,-2912829970.0,92092.0,1404199700.0,117460.0,1672045520.0,17759.0,243071900.0,11026.0,155689855.0,51850.0,745946985.0,112.0,6847900.0,31795.0,450988455.0,4918.0,69500425.0,-11546.0,-161234930.0,-113.0,-2180320.0,5
개인 및 가정용품 수리업,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,25992,680729900,51864700,4595.0,120639750.0,2228.0,57840000.0,-5504.0,-143909300.0,299.0,7720750.0,-236.0,-6156350.0,-2770.0,-72291950.0,0.0,0.0,0.0,0.0,-20.0,-525800.0,-1305.0,-34202650.0,-14.0,-367800.0,1
건물 건설업,34794514,401260312690,10421575049,1371500.0,13060807060.0,-1400179.0,-11072682930.0,351229.0,1585912055.0,88168.0,1340678866.0,-124708.0,-3058031560.0,-264075.0,-2567276745.0,14666.0,74977540.0,57920.0,1103592925.0,575895.0,4672317704.0,-293672.0,-3428081151.0,-28878.0,-145955034.0,24
건물설비 설치 공사업,86963,1044675145,267750,-23858.0,-443202745.0,15343.0,303151490.0,8060.0,130522240.0,7281.0,118737810.0,0.0,0.0,66.0,998360.0,0.0,0.0,0.0,0.0,713.0,10786070.0,-34.0,2022865.0,489.0,7506150.0,2
"건축기술, 엔지니어링 및 관련 기술 서비스업",44656287,773013518035,10728473299,479344.0,-33993159171.0,-214341.0,23324873499.0,85196.0,11500134827.0,118828.0,6865042077.0,3414.0,420576250.0,-17494.0,-86356475.0,0.0,0.0,51364.0,6898190075.0,-63036.0,-2525148900.0,-11238.0,-1114836086.0,-338961.0,282986931.0,16
"건축자재, 철물 및 난방장치 도매업",1637107,3022304494,43645710,-41017.0,-77462808.0,37687.0,71252399.0,-975.0,-1787065.0,101.0,184224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1076.0,-1971289.0,4000.0,7410504.0,305.0,586970.0,1
"경비, 경호 및 탐정업",55966,5148754400,418159700,-4985.0,-458939300.0,-9874.0,-912339350.0,14945.0,1379209850.0,10789.0,995346450.0,-2335.0,-215031900.0,5416.0,498874750.0,0.0,0.0,-635.0,-58132050.0,1710.0,158152600.0,-88.0,-8095200.0,2.0,164000.0,1
고무제품 제조업,1528797,38839055062,1565328000,-15816.0,-918136218.0,-181318.0,-9050615535.0,193779.0,9928824715.0,96906.0,2710547275.0,-4776.0,-257502220.0,27616.0,1481193540.0,529.0,2037710.0,69371.0,5280164700.0,3934.0,697381310.0,4014.0,58028281.0,-659.0,-18101243.0,8
"곡물가공품, 전분 및 전분제품 제조업",2302969,5007926966,126262588,-151721.0,-420736876.0,148597.0,371101230.0,7169.0,33845366.0,-5444.0,-31050064.0,-754.0,-2155411.0,-244.0,-116625.0,12416.0,62170572.0,0.0,0.0,1395.0,35732194.0,1191.0,34272493.0,-5236.0,-18482213.0,7
"골판지, 종이 상자 및 종이용기 제조업",2081451,9972834350,320102907,97741.0,1442611842.0,-151170.0,-1832798653.0,52170.0,353352723.0,39230.0,218801001.0,18.0,189360.0,-126.0,-1360880.0,0.0,0.0,0.0,0.0,13058.0,135833842.0,4129.0,35978851.0,-2870.0,855237.0,9
"과실, 채소 가공 및 저장 처리업",474005,1290049118,3057862,29897.0,95122716.0,-16242.0,-71144921.0,852.0,2681575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,2681575.0,-1093.0,-6903145.0,-13414.0,-19756225.0,3
광고업,3903553,19961966258,418768808,60589.0,-1798160094.0,-101652.0,1074546433.0,30882.0,723225536.0,165074.0,3781114171.0,-15042.0,-315018985.0,-26864.0,-572598050.0,0.0,0.0,-138318.0,-2954920850.0,47365.0,811775750.0,10836.0,11982087.0,-655.0,-11593962.0,19
교육지원 서비스업,63595,181489674,15775690,10343.0,29556911.0,-10341.0,-29551196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-5715.0,1
