Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,20196055,194753923106,5583288356,781203.0,9884983934.0,-942146.0,4515307524.0,153142.0,-12063909802.0,84573.0,4097798126.0,9993.0,-1914629313.0,-49185.0,-2813876685.0,-10.0,-658900.0,100574.0,2822538690.0,7109.0,-14265296320.0,2341.0,-2097639438.0,5460.0,-238742218.0,23
1차 철강 제조업,19051696,456966274693,23002620251,2242624.0,49745447754.0,-2174224.0,-32680166565.0,68143.0,-18028628418.0,-36994.0,-29664707953.0,-1230.0,4291857.0,-5040.0,6119455460.0,2495.0,109585880.0,120465.0,5728918142.0,-38529.0,1842020.0,-153695.0,779144292.0,17152.0,184202937.0,59
가구 제조업,668548,3124203382,121360227,120392.0,483615811.0,-124843.0,-449498738.0,-1508.0,-88742269.0,-1013.0,-85647269.0,-448.0,-5939440.0,-161.0,-2043760.0,114.0,4888200.0,0.0,0.0,0.0,0.0,6930.0,56171580.0,-971.0,-1546384.0,9
가전제품 및 정보통신장비 소매업,103363,856395505,0,-3575.0,-32437040.0,-2706.0,-23411490.0,950.0,8134270.0,1000.0,8566300.0,0.0,0.0,-50.0,-432030.0,0.0,0.0,0.0,0.0,0.0,0.0,5057.0,45321370.0,274.0,2392890.0,2
가정용 기기 제조업,819047,22730568894,1389959549,109324.0,-561004124.0,-103246.0,360261083.0,-2381.0,234357506.0,-56.0,393898406.0,1395.0,93517950.0,488.0,27385950.0,0.0,0.0,-4403.0,-294503600.0,195.0,14058800.0,-1319.0,-35921350.0,-2378.0,2306885.0,8
"가죽, 가방 및 유사제품 제조업",342127,5525491160,68612490,-16220.0,43371790.0,-462.0,-299558195.0,21416.0,294514570.0,575.0,8888400.0,-2636.0,-37541300.0,5336.0,75620550.0,1028.0,15928230.0,32730.0,464938040.0,-15617.0,-233319350.0,-4687.0,-37516255.0,-47.0,-811910.0,5
개인 및 가정용품 수리업,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,30081,794189675,154678750,11200.0,294663975.0,-14293.0,-376996825.0,2378.0,63188300.0,247.0,6627000.0,-850.0,-22072050.0,721.0,18994150.0,0.0,0.0,2160.0,57009200.0,100.0,2630000.0,714.0,19118600.0,1.0,25950.0,1
건물 건설업,83760299,850745239511,17004745473,1365475.0,14085718311.0,-890443.0,-7478224102.0,-773434.0,-9994747888.0,-8010.0,483287460.0,-88134.0,-1376767695.0,-776543.0,-7802642580.0,4168.0,13544017.0,553382.0,3348173800.0,-458591.0,-4661436215.0,310447.0,3449271322.0,-12045.0,-62017643.0,24
건물설비 설치 공사업,316978,5469400000,8470760,54413.0,908997280.0,-45742.0,-788782640.0,-9950.0,-146597900.0,-2556.0,-12141955.0,0.0,0.0,-234.0,-4239530.0,0.0,0.0,0.0,0.0,-7160.0,-130216415.0,1315.0,26752425.0,-36.0,-369165.0,2
