corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01165155,모비스,250060,K,주주총회소집공고,20260112000474,모비스,20260112,
00618410,KS인더스트리,101000,K,주주총회소집공고,20260112000354,KS인더스트리,20260112,정
00108746,DKME,015590,Y,투자판단관련주요경영사항              ,20260112800652,DKME,20260112,유
00104999,윌비스,008600,Y,[기재정정]주주총회소집결의              ,20260112800646,윌비스,20260112,유정
00178754,동아지질,028100,Y,[기재정정]단일판매ㆍ공급계약체결              ,20260112800645,동아지질,20260112,유
00107066,남광토건,001260,Y,[기재정정]단일판매ㆍ공급계약체결              ,20260112800620,남광토건,20260112,유
00346610,시지메드텍,056090,K,기타시장안내(최대주주의의무보유관련)              ,20260112900616,코스닥시장본부,20260112,코
00346610,시지메드텍,056090,K,최대주주변경              ,20260112900615,시지메드텍,20260112,코
01110678,유틸렉스,263050,K,투자판단관련주요경영사항              (경영지배인 해임),20260112900613,유틸렉스,20260112,코
00108746,DKME,015590,Y,소송등의제기ㆍ신청(경영권분쟁소송)              ,20260112800604,DKME,20260112,유정
01110678,유틸렉스,263050,K,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,20260112900612,유틸렉스,20260112,코
01165155,모비스,250060,K,의결권대리행사권유참고서류,20260112000475,모비스,20260112,
01165155,모비스,250060,K,[기재정정]주주총회소집결의              (임시주주총회),20260112900597,모비스,20260112,코정
00263654,오스코텍,039200,K,소송등의제기ㆍ신청(경영권분쟁소송)              ,20260112900603,오스코텍,20260112,코
00159740,KISCO홀딩스,001940,Y,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)              ,20260112800600,KISCO홀딩스,20260112,유
00390408,인크레더블버즈,064090,K,주주명부폐쇄기간또는기준일설정              ,20260112900594,인크레더블버즈,20260112,코
00390408,인크레더블버즈,064090,K,주주총회소집결의              (임시주주총회),20260112900592,인크레더블버즈,20260112,코정
00652007,메카로,241770,K,기업설명회(IR)개최              ,20260112900601,메카로,20260112,코
00687711,한국철강,104700,Y,주요사항보고서(자기주식처분결정),20260112000461,한국철강,20260112,
00159740,KISCO홀딩스,001940,Y,주요사항보고서(자기주식처분결정),20260112000458,KISCO홀딩스,20260112,
00204262,한글과컴퓨터,030520,K,주식등의대량보유상황보고서(일반),20260112000470,한컴위드,20260112,
00158316,NICE,034310,Y,주요사항보고서(자기주식처분결정),20260112000433,NICE,20260112,
01276594,신한알파리츠,293940,Y,기타경영사항(자율공시)              ,20260112800578,신한알파리츠,20260112,유
00145880,현대제철,004020,Y,증권신고서(채무증권),20260112000464,현대제철,20260112,정
00896753,에코글로우,159910,K,주식등의대량보유상황보고서(약식),20260112000457,상상인저축은행,20260112,
01336762,스피어,347700,K,단일판매ㆍ공급계약체결              ,20260112900567,스피어,20260112,코정
00605522,소룩스,290690,K,[첨부정정]주요사항보고서(전환사채권발행결정),20260112000450,소룩스,20260112,정
00120182,NH투자증권,005940,Y,투자설명서(일괄신고),20260112000454,NH투자증권,20260112,
00163512,한진,002320,Y,증권신고서(채무증권),20260112000452,한진,20260112,정
00606770,참좋은여행,094850,K,횡령ㆍ배임혐의발생              ,20260112900563,참좋은여행,20260112,코
00176914,다우기술,023590,Y,계열금융회사를거래상대방으로한단기금융상품거래의분기별공시,20260112000451,다우기술,20260112,공
00350020,파인디앤씨,049120,K,주식등의대량보유상황보고서(일반),20260112000449,홍성천,20260112,정
00506294,가비아,079940,K,[기재정정]주식소각결정              ,20260112900534,가비아,20260112,코
00128607,삼천리자전거,024950,K,기타시장안내              (상장적격성 실질심사 관련 안내),20260112900565,코스닥시장본부,20260112,코
00128607,삼천리자전거,024950,K,주권매매거래정지              (상장적격성 실질심사 대상 (사유발생)),20260112900564,코스닥시장본부,20260112,코
00128607,삼천리자전거,024950,K,횡령ㆍ배임혐의발생              ,20260112900561,삼천리자전거,20260112,코
01063556,질경이,233990,N,임원ㆍ주요주주특정증권등거래계획보고서,20260112000446,최원석,20260112,철
01311310,지아이텍,382480,K,주식등의대량보유상황보고서(일반),20260112000444,이인영,20260112,
00136721,신영증권,001720,Y,투자설명서(일괄신고),20260112000443,신영증권,20260112,
01262032,롯데이노베이트,286940,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260112000441,박윤희,20260112,
00310156,셀루메드,049180,K,[기재정정]주요사항보고서(유상증자결정),20260112000436,셀루메드,20260112,
01022902,애드바이오텍,179530,K,주요사항보고서(자기전환사채만기전취득결정),20260112000430,애드바이오텍,20260112,
00122694,범양건영,002410,Y,단일판매ㆍ공급계약해지              ,20260112800548,범양건영,20260112,유
00120182,NH투자증권,005940,Y,투자설명서(일괄신고),20260112000439,NH투자증권,20260112,
01336762,스피어,347700,K,주식등의대량보유상황보고서(약식),20260112000437,상상인저축은행,20260112,
00158316,NICE,034310,Y,수시공시의무관련사항(공정공시)              ,20260112800557,NICE,20260112,유
00664048,우리넷,115440,K,주식등의대량보유상황보고서(일반),20260112000434,넷솔루션즈홀딩스,20260112,
01806951,폰드그룹,472850,K,[기재정정]주요사항보고서(무상증자결정),20260112000350,폰드그룹,20260112,
00122825,프리티,006490,Y,단기차입금증가결정              ,20260112800512,프리티,20260112,유
01089378,디와이디,219550,K,[기재정정]주요사항보고서(자기전환사채매도결정),20260112000428,디와이디,20260112,정
00122825,프리티,006490,Y,[기재정정]단기차입금증가결정              ,20260112800511,프리티,20260112,유
01159233,솔루엠,248070,Y,주요사항보고서(소송등의제기),20260112000401,솔루엠,20260112,
00298377,아이씨디,040910,K,주식매수선택권부여에관한신고,20260112000426,아이씨디,20260112,
00152880,코오롱글로벌,003070,Y,동일인등출자계열회사와의상품ㆍ용역거래,20260112000425,코오롱글로벌,20260112,공
00977650,엔케이젠바이오텍코리아,182400,K,최대주주변경을수반하는주식담보제공계약체결              ,20260112900526,엔케이젠바이오텍코리아,20260112,코정
01380578,도우인시스,484120,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000423,송영남,20260112,
01954832,유진스팩12호,0105P0,K,주식등의대량보유상황보고서(약식),20260112000421,비엔비자산운용,20260112,
01381805,아로마티카,0015N0,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000420,케이씨삼호투자,20260112,
00626011,아이텍,119830,K,전환가액의조정              ,20260112900532,아이텍,20260112,코
00444329,위메이드,112040,K,기업설명회(IR)개최              ,20260112900531,위메이드,20260112,코
00114686,동구바이오제약,006620,K,주식등의대량보유상황보고서(일반),20260112000417,조용준,20260112,
00444329,위메이드,112040,K,결산실적공시예고              ,20260112900527,위메이드,20260112,코
01380578,도우인시스,484120,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000416,차경용,20260112,
00148610,한화투자증권,003530,Y,증권발행실적보고서,20260112000415,한화투자증권,20260112,
00136721,신영증권,001720,Y,일괄신고추가서류(파생결합증권-주가연계증권),20260112000412,신영증권,20260112,
01566248,에코프로에이치엔,383310,K,기업설명회(IR)개최              ,20260112900521,에코프로에이치엔,20260112,코
00442154,제이엔케이글로벌,126880,K,[기재정정]단일판매ㆍ공급계약체결              ,20260112900491,제이엔케이글로벌,20260112,코정
00626011,아이텍,119830,K,전환사채(해외전환사채포함)발행후만기전사채취득              ,20260112900518,아이텍,20260112,코
00164636,HDC,012630,Y,주식등의대량보유상황보고서(일반),20260112000408,정몽규,20260112,
01566248,에코프로에이치엔,383310,K,결산실적공시예고              ,20260112900513,에코프로에이치엔,20260112,코
00138303,아이티센엔텍,010280,K,타인에대한채무보증결정              ,20260112900500,아이티센엔텍,20260112,코
00385415,일신바이오,068330,K,단일판매ㆍ공급계약체결              ,20260112900488,일신바이오,20260112,코
01026616,지구홀딩스,221800,K,주요사항보고서(타법인주식및출자증권양수결정),20260112000381,지구홀딩스,20260112,
01026616,지구홀딩스,221800,K,주요사항보고서(유상증자결정),20260112000375,지구홀딩스,20260112,
01380578,도우인시스,484120,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000405,이형섭,20260112,
01365825,피에스케이,319660,K,주식등의대량보유상황보고서(약식),20260112000404,미래에셋자산운용,20260112,
01108248,지노믹트리,228760,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000403,오태정,20260112,
00120289,제이에스티나,026040,K,주요사항보고서(자기주식처분결정),20260112000399,제이에스티나,20260112,
00397058,엠게임,058630,K,단일판매ㆍ공급계약체결              ,20260112900487,엠게임,20260112,코
00120182,NH투자증권,005940,Y,일괄신고추가서류(파생결합증권-주가연계증권),20260112000402,NH투자증권,20260112,
00148610,한화투자증권,003530,Y,증권발행실적보고서,20260112000400,한화투자증권,20260112,
00108746,DKME,015590,Y,소송등의제기ㆍ신청(경영권분쟁소송)              ,20260112800444,DKME,20260112,유
00797364,KC코트렐,119650,Y,단일판매ㆍ공급계약체결(자율공시)              ,20260112800479,KC코트렐,20260112,유
00164636,HDC,012630,Y,최대주주등소유주식변동신고서              ,20260112800498,HDC,20260112,유
00536541,에코프로,086520,K,기업설명회(IR)개최              ,20260112900497,에코프로,20260112,코
00536541,에코프로,086520,K,결산실적공시예고              ,20260112900493,에코프로,20260112,코
01108248,지노믹트리,228760,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000398,이용운,20260112,
00413046,셀트리온,068270,Y,주식등의대량보유상황보고서(일반),20260112000397,셀트리온홀딩스,20260112,
00367695,에이전트AI,060900,K,주식등의대량보유상황보고서(약식),20260112000396,상상인저축은행,20260112,정
01108248,지노믹트리,228760,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000393,이홍선,20260112,
00115977,아이에스동서,010780,Y,주식등의대량보유상황보고서(일반),20260112000392,권혁운,20260112,
00258801,카카오,035720,Y,기업설명회(IR)개최(안내공시)              ,20260112800483,카카오,20260112,유
01448544,셀로맥스사이언스,471820,K,신탁계약해지결과보고서,20260112000391,셀로맥스사이언스,20260112,
01108248,지노믹트리,228760,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000389,이정철,20260112,
01562589,LX홀딩스,383800,Y,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,20260112800445,LX홀딩스,20260112,유
00115977,아이에스동서,010780,Y,대표이사(대표집행임원)변경(안내공시)              ,20260112800406,아이에스동서,20260112,유
01380578,도우인시스,484120,K,임원ㆍ주요주주특정증권등소유상황보고서,20260112000388,차진규,20260112,
00111810,대웅,003090,Y,주요사항보고서(자기주식처분결정),20260112000372,대웅,20260112,
00201432,비츠로시스,054220,K,주식등의대량보유상황보고서(약식),20260112000387,상상인저축은행,20260112,정
00367482,빛과전자,069540,K,전환가액의조정              (제11회차),20260112900446,빛과전자,20260112,코
