날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-06-16,707639486920,-58802212598,-2184145612019,1535308337697,0,KOSPI
2026-06-16,-462952180665,-18274753986,790689346724,-309462412073,0,KOSDAQ
