날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2025-12-19,854092561775,44410503884,-141250142331,-757252923328,0,KOSPI
2025-12-19,199312675812,-23569811734,-282482052809,106739188731,0,KOSDAQ
