날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-08-25,1171082954788,1591999555210,1050905481654,-3813987991652,0,KOSPI
2026-08-25,15585058482,-10860372203,-137452314458,132727628179,0,KOSDAQ
