날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-07-08,-355216418536,47312079318,-35780410059,343684749277,0,KOSPI
2026-07-08,-145251709191,3605809779,-195919201027,337565100439,0,KOSDAQ
