티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
032830,삼성생명,유가,보험업,"생명보험,부동산 임대",188300.0,437998.0,82987325800.0,-1.93,11957613050.0,13.38,14651.0,2761192450.0,29711.0,5640291050.0,-42424.0,-8028268350.0,-1902.0,-366675500.0,-5104.0,-966472100.0,-9734.0,-1841581300.0,7.0,1333500.0,-25128.0,-4754038500.0,-233.0,-38329750.0,-1943.0,-374276450.0,5.0,1061300.0,0.0,0.0,0.0
018260,삼성에스디에스,유가,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",173100.0,260956.0,45399461600.0,-2.2,2943235000.0,5.36,29546.0,5127532200.0,46287.0,8068297300.0,-76854.0,-13373539050.0,-14949.0,-2600495300.0,-3440.0,-598652800.0,-7070.0,-1230126300.0,0.0,0.0,-27730.0,-4824685200.0,-23035.0,-4009942250.0,216.0,37709400.0,805.0,140000150.0,0.0,0.0,0.0
0126Z0,삼성에피스홀딩스,유가,기타 금융업,지주회사,606000.0,100234.0,61214712500.0,-2.1,4466751500.0,5.0,7685.0,4683678500.0,-1862.0,-1132419500.0,-5589.0,-3409530000.0,-1071.0,-656598500.0,-604.0,-367891000.0,1581.0,967157000.0,0.0,0.0,-4458.0,-2719848000.0,-1037.0,-632404500.0,-458.0,-278376000.0,224.0,136647000.0,0.0,0.0,0.0
009150,삼성전기,유가,전자부품 제조업,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",279000.0,711202.0,199060997750.0,-0.18,9397042500.0,3.69,-1319.0,-616498500.0,89355.0,25204447000.0,-86009.0,-24020517500.0,1036.0,270688750.0,-4587.0,-1267411250.0,-66097.0,-18459787250.0,0.0,0.0,-7438.0,-2088156750.0,-10094.0,-2804373500.0,298.0,93600500.0,-2325.0,-661031500.0,0.0,0.0,0.0
009155,삼성전기우,KOSPI,기타/미분류,기타/미분류,120600.0,25256.0,3057680650.0,-0.74,13794850.0,0.45,-2809.0,-343489500.0,1815.0,223370450.0,883.0,106711900.0,0.0,6100.0,-20.0,-2417800.0,-66.0,-7959600.0,0.0,0.0,0.0,0.0,968.0,116963200.0,99.0,11957250.0,12.0,1449900.0,0.0,0.0,0.0
005930,삼성전자,유가,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",160500.0,40557267.0,6593450199492.0,-0.12,217200304450.0,2.7,1996127.0,316421464500.0,-3671582.0,-588680554550.0,1139860.0,184876175400.0,1321720.0,215329837200.0,-162954.0,-26509195600.0,-20090.0,-3218374350.0,-2760.0,-449144150.0,27942.0,3465036050.0,7627.0,1401328400.0,533458.0,87051122700.0,2137.0,331791950.0,0.0,0.0,0.0
005935,삼성전자우,KOSPI,기타/미분류,기타/미분류,117400.0,5526663.0,647495371800.0,1.56,1054982300.0,0.16,-447716.0,-53355935050.0,221929.0,26900930850.0,210336.0,24640551700.0,1079.0,122570150.0,-2521.0,-294674550.0,26821.0,3184814600.0,0.0,0.0,136401.0,15936537900.0,50807.0,5956147900.0,22807.0,2675927550.0,-7356.0,-861475050.0,0.0,0.0,0.0
001360,삼성제약,유가,의약품 제조업,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",1811.0,10242320.0,19351350880.0,4.2,52468187.0,0.27,395717.0,797361352.0,-411330.0,-827568811.0,-652.0,-1182764.0,-418.0,-756998.0,0.0,0.0,-234.0,-425766.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,30293341.0,265.0,1096882.0,0.0,0.0,0.0
010140,삼성중공업,유가,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",29450.0,4581402.0,135293615900.0,-1.17,6118590025.0,3.55,358402.0,10565531200.0,462141.0,13649868400.0,-823413.0,-24299476750.0,-460883.0,-13599313150.0,-54374.0,-1604841425.0,-71446.0,-2106660450.0,0.0,0.0,-93672.0,-2765310450.0,-143040.0,-4223411125.0,5707.0,168039850.0,-2837.0,-83962700.0,0.0,0.0,0.0
016360,삼성증권,유가,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선",90600.0,717204.0,65878685600.0,-1.2,2158647950.0,2.58,46182.0,4281200750.0,-101034.0,-9319201550.0,51722.0,4749821400.0,33719.0,3089798350.0,-6196.0,-569660850.0,-3135.0,-285286650.0,0.0,0.0,24826.0,2281116850.0,5707.0,527951300.0,1320.0,122323100.0,1810.0,165856300.0,0.0,0.0,0.0
068290,삼성출판사,유가,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",10760.0,27368.0,297264780.0,-2.18,2869550.0,0.97,2019.0,21667440.0,-2108.0,-22646975.0,-81.0,-872080.0,-47.0,-505580.0,0.0,0.0,-34.0,-366500.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,982740.0,80.0,868875.0,0.0,0.0,0.0
029780,삼성카드,유가,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",56800.0,101932.0,5761194450.0,-0.7,216091100.0,3.47,8665.0,484601150.0,-6207.0,-350613350.0,7763.0,440964400.0,3732.0,213506000.0,-1390.0,-78839750.0,454.0,25917750.0,5905.0,333406550.0,450.0,25564950.0,-1388.0,-78590900.0,-10235.0,-575740900.0,14.0,788700.0,0.0,0.0,0.0
000810,삼성화재해상보험,유가,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",501000.0,167292.0,83938668250.0,0.4,8287570000.0,9.36,-13638.0,-6891964250.0,17026.0,8573316500.0,-2719.0,-1346767250.0,-5204.0,-2602856000.0,-971.0,-486734000.0,-402.0,-200601500.0,902.0,448133250.0,3381.0,1708096000.0,-835.0,-419732000.0,-663.0,-331547000.0,-6.0,-3038000.0,0.0,0.0,0.0
000815,삼성화재우,KOSPI,기타/미분류,기타/미분류,375500.0,16600.0,6246486250.0,-0.27,3003000.0,0.05,1209.0,448988000.0,424.0,163292500.0,-1047.0,-392713500.0,-4.0,-1480000.0,-182.0,-68463000.0,4.0,1533500.0,0.0,0.0,-718.0,-268940000.0,0.0,0.0,-567.0,-212377000.0,-19.0,-7190000.0,0.0,0.0,0.0
006110,삼아알미늄,유가,1차 비철금속 제조업,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",34200.0,753759.0,26881458225.0,9.97,659115975.0,1.4,82126.0,2994406900.0,-88730.0,-3224551275.0,4540.0,156281825.0,-403.0,-13785350.0,0.0,0.0,4418.0,152076325.0,0.0,0.0,1476.0,51739150.0,-951.0,-33748300.0,-2167.0,-78106300.0,4231.0,151968850.0,0.0,0.0,0.0
0120G0,삼양바이오팜,유가,의약품 제조업,의료기기 및 의약품,95600.0,175793.0,16880608150.0,-7.99,609217850.0,2.33,2010.0,211751150.0,5088.0,475151950.0,-6122.0,-593253300.0,-3136.0,-306536900.0,-7.0,-666900.0,-1205.0,-116237000.0,0.0,0.0,-14.0,-1328600.0,-1760.0,-168483900.0,-228.0,-22386300.0,-748.0,-71263500.0,0.0,0.0,0.0
145990,삼양사,유가,기타 식품 제조업,설탕,47550.0,29021.0,1383841750.0,0.0,28218300.0,1.41,-3953.0,-187078975.0,6032.0,286496650.0,-2358.0,-112830875.0,-37.0,-1932550.0,-12.0,-571400.0,146.0,6948275.0,0.0,0.0,0.0,0.0,-2455.0,-117275200.0,289.0,13887200.0,-10.0,-474000.0,0.0,0.0,0.0
145995,삼양사우,KOSPI,기타/미분류,기타/미분류,37450.0,1191.0,44459550.0,0.0,0.0,0.0,-120.0,-4494000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,4494000.0,0.0,0.0,0.0,0.0,0.0
