날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-07-20,-923489562779,54664593742,349006643501,519818325536,0,KOSPI
2026-07-20,-132993734411,-5932346716,190739856216,-51813775089,0,KOSDAQ
