날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-01-19,-25642092639,223704192188,-751280291693,553218192144,0,KOSPI
2026-01-19,-38578905814,-48309895983,-139554916196,226443717993,0,KOSDAQ
