날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-03-18,3109262842413,-117777468003,-3871669299907,880183925497,0,KOSPI
2026-03-18,-25310011161,-74276696422,-392784262397,492370969980,0,KOSDAQ
