corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00525679,차바이오텍,085660,K,[첨부추가]증권신고서(지분증권),20241220000674,차바이오텍,20241220,정
00809429,뉴온,123840,K,[첨부추가]주요사항보고서(타법인주식및출자증권양수결정),20241220000565,뉴온,20241220,정
00146232,일성건설,013360,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800977,일성건설,20241220,유
01274310,이오플로우,294090,K,"불성실공시법인지정예고              (공시불이행 1건, 공시번복 1건)",20241220900975,코스닥시장본부,20241220,코
00125974,삼부토건,001470,Y,[기재정정]기타경영사항(자율공시)              ,20241220800956,삼부토건,20241220,유정
00140964,영원무역홀딩스,009970,Y,타인에대한채무보증결정(자회사의 주요경영사항)              ,20241220800955,영원무역홀딩스,20241220,유
00241209,모아텍,033200,K,기타시장안내(관리종목지정우려종목)              (거래량 미달),20241220900959,코스닥시장본부,20241220,코
01353024,TS트릴리온,317240,K,주요사항보고서(유상증자결정),20241220000738,TS트릴리온,20241220,정
00140964,영원무역홀딩스,009970,Y,금전대여결정(자회사의 주요경영사항)              ,20241220800949,영원무역홀딩스,20241220,유
00125974,삼부토건,001470,Y,[기재정정]주요사항보고서(자기전환사채매도결정),20241220000739,삼부토건,20241220,정
00776820,영원무역,111770,Y,타인에대한채무보증결정              ,20241220800954,영원무역,20241220,유
00141404,블루산업개발,006740,Y,주요사항보고서(유상증자결정),20241220000734,블루산업개발,20241220,정
01035942,메디안디노스틱,233250,N,임원ㆍ주요주주특정증권등소유상황보고서,20241220000737,STICPRIVATEEQUITYFUNDL.P.,20241220,
00148531,제이스코홀딩스,023440,K,주주명부폐쇄기간또는기준일설정              ,20241220900950,제이스코홀딩스,20241220,코
00776820,영원무역,111770,Y,금전대여결정              ,20241220800948,영원무역,20241220,유
00107066,남광토건,001260,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800943,남광토건,20241220,유정
00148531,제이스코홀딩스,023440,K,[기재정정]주요사항보고서(전환사채권발행결정),20241220000735,제이스코홀딩스,20241220,정
00111111,대양금속,009190,Y,주요사항보고서(유상증자결정),20241220000724,대양금속,20241220,정
00117188,효성,004800,Y,채무인수결정(자회사의 주요경영사항)              ,20241220800909,효성,20241220,유
00486370,성창오토텍,080470,K,[기재정정]반기보고서 (2024.06),20241220000733,성창오토텍,20241220,정
01316236,효성화학,298000,Y,유상증자결정(종속회사의주요경영사항)              ,20241220800932,효성화학,20241220,유
00147860,에스엠벡셀,010580,Y,주식등의대량보유상황보고서(일반),20241220000732,에스엠하이플러스,20241220,
01351080,지아이이노베이션,358570,K,증권신고서(지분증권),20241220000731,지아이이노베이션,20241220,정
01336762,스피어,347700,K,[기재정정]주요사항보고서(유상증자결정),20241220000727,스피어,20241220,정
00147860,에스엠벡셀,010580,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241220000730,에스엠하이플러스,20241220,
00808086,HLB펩,196300,K,주요사항보고서(유상증자결정),20241220000719,HLB펩,20241220,정
00147860,에스엠벡셀,010580,Y,[기재정정]주식등의대량보유상황보고서(일반),20241220000728,에스엠하이플러스,20241220,
00117188,효성,004800,Y,채무인수결정(자회사의 주요경영사항)              ,20241220800908,효성,20241220,유
00231372,롯데관광개발,032350,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241220000726,동화투자개발,20241220,
00124151,부산주공,005030,Y,[기재정정]반기보고서 (2024.06),20241220000725,부산주공,20241220,정
01316236,효성화학,298000,Y,타법인주식및출자증권취득결정              ,20241220800905,효성화학,20241220,유
00232007,상지건설,042940,K,[기재정정]채무인수결정              ,20241220900928,상지건설,20241220,코
01047169,지란지교시큐리티,208350,K,주식등의대량보유상황보고서(일반),20241220000723,지란지교소프트,20241220,
00109693,DL,000210,Y,[기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,20241220800916,DL,20241220,유정
00231372,롯데관광개발,032350,Y,주식등의대량보유상황보고서(일반),20241220000721,김기병,20241220,
00151605,청보,013720,K,주식등의대량보유상황보고서(약식),20241220000720,상상인저축은행,20241220,
01035942,메디안디노스틱,233250,N,주식등의대량보유상황보고서(일반),20241220000718,STICPRIVATEEQUITYFUNDL.P.,20241220,
00105952,LS,006260,Y,최대주주등소유주식변동신고서              ,20241220800920,LS,20241220,유
01089378,디와이디,219550,K,[기재정정]주주총회소집공고,20241220000717,디와이디,20241220,정
00159500,한국종합기술,023350,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800910,한국종합기술,20241220,유
01316236,효성화학,298000,Y,타인에대한채무보증결정              ,20241220800898,효성화학,20241220,유
00105952,LS,006260,Y,주식등의대량보유상황보고서(일반),20241220000716,구자열,20241220,
01524093,DL이앤씨,375500,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800900,DL이앤씨,20241220,유정
00115612,동부건설,005960,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800885,동부건설,20241220,유정
00115612,동부건설,005960,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800878,동부건설,20241220,유정
00616962,린드먼아시아,277070,K,[기재정정]타법인주식및출자증권취득결정              ,20241220900894,린드먼아시아,20241220,코
00127936,삼일기업공사,002290,K,단일판매ㆍ공급계약체결              ,20241220900889,삼일기업공사,20241220,코
00416414,넥스턴앤롤코리아,089140,K,주식등의대량보유상황보고서(약식),20241220000713,상상인저축은행,20241220,
00162063,한신공영,004960,Y,[기재정정]단일판매ㆍ공급계약체결              ,20241220800844,한신공영,20241220,유정
01316245,효성중공업,298040,Y,채무인수결정              ,20241220800887,효성중공업,20241220,유
01316245,효성중공업,298040,Y,채무인수결정              ,20241220800884,효성중공업,20241220,유
00231372,롯데관광개발,032350,Y,최대주주등소유주식변동신고서              ,20241220800906,롯데관광개발,20241220,유
01089378,디와이디,219550,K,[기재정정]주주명부폐쇄기간또는기준일설정              (임시주주총회),20241220900892,디와이디,20241220,코
00587925,모아라이프플러스,142760,K,전환사채(해외전환사채포함)발행후만기전사채취득              ,20241220900903,모아라이프플러스,20241220,코
00126380,삼성전자,005930,Y,주식등의대량보유상황보고서(일반),20241220000709,삼성물산,20241220,
01462739,비아이매트릭스,413640,K,임원ㆍ주요주주특정증권등소유상황보고서,20241220000707,한진수,20241220,
00766106,엣지파운드리,105550,K,증권발행결과(자율공시)              ,20241220900899,엣지파운드리,20241220,코
00125822,삼보산업,009620,K,주요사항보고서(유상증자결정),20241220000700,삼보산업,20241220,
00137997,현대차증권,001500,Y,투자설명서(일괄신고),20241220000705,현대차증권,20241220,
00863038,캐리,313760,K,[기재정정]주요사항보고서(유상증자결정),20241220000692,캐리,20241220,정
01228515,앱튼,270520,K,의결권대리행사권유참고서류,20241220000702,앱튼,20241220,
01136001,나노실리칸첨단소재,286750,K,[기재정정]주주총회소집결의              (임시주주총회),20241220900856,나노실리칸첨단소재,20241220,코정
00811372,노바렉스,194700,K,주식등의대량보유상황보고서(일반),20241220000699,권석형,20241220,
00161709,퍼시스,016800,Y,[기재정정]주요사항보고서(유형자산양수결정),20241220000696,퍼시스,20241220,정
00811372,노바렉스,194700,K,임원ㆍ주요주주특정증권등소유상황보고서,20241220000690,이상구,20241220,
00128032,삼일제약,000520,Y,주식등의대량보유상황보고서(일반),20241220000688,허승범,20241220,
00137997,현대차증권,001500,Y,증권발행실적보고서,20241220000687,현대차증권,20241220,
00114552,도화엔지니어링,002150,Y,[기재정정]타인에대한채무보증결정              ,20241220800870,도화엔지니어링,20241220,유
00288343,삼영이엔씨,065570,K,전환사채(해외전환사채포함)발행후만기전사채취득              ,20241220900869,삼영이엔씨,20241220,코
00107613,이수페타시스,007660,Y,기타경영사항(자율공시)              (배당기준일 변경 안내),20241220800858,이수페타시스,20241220,유
00755739,파인테크닉스,106240,K,주식등의대량보유상황보고서(일반),20241220000680,홍성천,20241220,
00164724,현대엘리베이터,017800,Y,최대주주등소유주식변동신고서              ,20241220800863,현대엘리베이터,20241220,유
00141307,영풍,000670,Y,소송등의제기ㆍ신청(경영권분쟁소송)              ,20241220800862,영풍,20241220,유
01316227,효성티앤씨,298020,Y,주식등의대량보유상황보고서(일반),20241220000675,효성,20241220,
00120021,LG,003550,Y,최대주주등소유주식변동신고서              ,20241220800857,LG,20241220,유
00350020,파인디앤씨,049120,K,주식등의대량보유상황보고서(일반),20241220000672,홍성천,20241220,
00129554,갤럭시아에스엠,011420,Y,사외이사의선임ㆍ해임또는중도퇴임에관한신고,20241220000670,갤럭시아에스엠,20241220,
01089378,디와이디,219550,K,[기재정정]주주총회소집결의              (임시주주총회),20241220900838,디와이디,20241220,코정
01632912,온코닉테라퓨틱스,476060,K,주식등의대량보유상황보고서(약식),20241220000669,한국산업은행,20241220,
00130383,서부T&D,006730,K,[기재정정]주요사항보고서(자기주식취득결정),20241220000633,서부T&D,20241220,
00120076,LX인터내셔널,001120,Y,유형자산취득결정(종속회사의주요경영사항)              ,20241220800849,LX인터내셔널,20241220,유
00414850,효성 ITX,094280,Y,[기재정정]거래처와의거래중단              ,20241220800828,효성 ITX,20241220,유정
00766106,엣지파운드리,105550,K,[기재정정]주요사항보고서(유상증자결정),20241220000658,엣지파운드리,20241220,정
00180865,디에이치엑스컴퍼니,031860,K,사외이사의선임ㆍ해임또는중도퇴임에관한신고,20241220000666,디에이치엑스컴퍼니,20241220,
00120021,LG,003550,Y,주식등의대량보유상황보고서(일반),20241220000665,학교법인LG연암학원,20241220,
01335790,바이젠셀,308080,K,주식등의대량보유상황보고서(일반),20241220000664,가은글로벌,20241220,
