corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00660121,디에이테크놀로지,196490,K,주주총회소집공고,20260213002889,디에이테크놀로지,20260213,
00105873,LG디스플레이,034220,Y,주주총회소집공고,20260213002840,LG디스플레이,20260213,
00111704,한화오션,042660,Y,주주총회소집공고,20260213002781,한화오션,20260213,정
00126186,삼성에스디에스,018260,Y,주주총회소집공고,20260213002614,삼성에스디에스,20260213,정
00140168,HS애드,035000,Y,주주총회소집공고,20260213002597,HS애드,20260213,
00165680,호텔신라,008770,Y,주주총회소집공고,20260213002566,호텔신라,20260213,정
00102140,경인전자,009140,Y,주주총회소집공고,20260213002551,경인전자,20260213,정
00138057,써니전자,004770,Y,주주총회소집공고,20260213002547,써니전자,20260213,정
00126478,삼성중공업,010140,Y,주주총회소집공고,20260213002416,삼성중공업,20260213,
00425351,멀티캠퍼스,067280,K,주주총회소집공고,20260213002309,멀티캠퍼스,20260213,정
00148276,제일기획,030000,Y,주주총회소집공고,20260213002179,제일기획,20260213,
00360595,현대글로비스,086280,Y,주주총회소집공고,20260213002152,현대글로비스,20260213,정
01515323,LG에너지솔루션,373220,Y,주주총회소집공고,20260213002143,LG에너지솔루션,20260213,
00145109,유한양행,000100,Y,주주총회소집공고,20260213002139,유한양행,20260213,
00550082,캔버스엔,210120,K,주주총회소집공고,20260213002106,캔버스엔,20260213,
01428948,오아,342870,K,주주총회소집공고,20260213002006,오아,20260213,
00157399,한솔테크닉스,004710,Y,주주총회소집공고,20260213001763,한솔테크닉스,20260213,
00958327,지앤비에스 에코,382800,K,주주총회소집공고,20260213001707,지앤비에스 에코,20260213,
00401731,LG전자,066570,Y,주주총회소집공고,20260213001665,LG전자,20260213,
00126380,삼성전자,005930,Y,주주총회소집공고,20260213001101,삼성전자,20260213,정
01325979,세아제강,306200,Y,주주총회소집공고,20260213000806,세아제강,20260213,
00541349,셀트리온제약,068760,K,주주총회소집공고,20260213000509,셀트리온제약,20260213,
