날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-07-02,-2082530852810,211822723444,6241276991124,-4370568861758,0,KOSPI
2026-07-02,-309102025456,17349111251,485943077484,-194190163279,0,KOSDAQ
