날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-01-05,-704560046644,46061684465,-1514132746064,2172631108243,0,KOSPI
2026-01-05,24292620939,-11978448238,99650060390,-111964233091,0,KOSDAQ
