corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01105153,두산로보틱스,454910,Y,[첨부추가]주요사항보고서(회사합병결정),20240711000265,두산로보틱스,20240711,정
00117212,두산,000150,Y,[첨부추가]주요사항보고서(회사분할합병결정)(자회사의 주요경영사항)              ,20240711800355,두산,20240711,유정
00159616,두산에너빌리티,034020,Y,[첨부추가]주요사항보고서(회사분할합병결정),20240711000263,두산에너빌리티,20240711,정
00159616,두산에너빌리티,034020,Y,주식교환ㆍ이전결정(종속회사의주요경영사항)              ,20240711800527,두산에너빌리티,20240711,유정
00159616,두산에너빌리티,034020,Y,감자결정(종속회사의주요경영사항)              ,20240711800526,두산에너빌리티,20240711,유정
00159616,두산에너빌리티,034020,Y,타법인주식및출자증권처분결정(자율공시)              ,20240711800525,두산에너빌리티,20240711,유정
00117212,두산,000150,Y,타법인주식및출자증권처분결정(자회사의 주요경영사항)              ,20240711800523,두산,20240711,유정
00159616,두산에너빌리티,034020,Y,주주명부폐쇄기간또는기준일설정              ,20240711800520,두산에너빌리티,20240711,유정
00159616,두산에너빌리티,034020,Y,타법인주식및출자증권처분결정              ,20240711800522,두산에너빌리티,20240711,유정
00159616,두산에너빌리티,034020,Y,주주총회소집결의              ,20240711800497,두산에너빌리티,20240711,유정
00163761,한창제지,009460,Y,최대주주변경              ,20240711800498,한창제지,20240711,유
01105153,두산로보틱스,454910,Y,[첨부추가]주요사항보고서(주식교환ㆍ이전결정),20240711000269,두산로보틱스,20240711,정
00308896,셀피글로벌,068940,K,소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회소집허가),20240711900496,셀피글로벌,20240711,코
00327396,옵트론텍,082210,K,불성실공시법인지정예고              (공시불이행),20240711900494,코스닥시장본부,20240711,코
00632793,전진바이오팜,110020,K,"불성실공시법인지정예고              (공시번복 5건, 공시불이행 1건)",20240711900495,코스닥시장본부,20240711,코
00122737,팬오션,028670,Y,주식등의대량보유상황보고서(일반),20240711000379,하림지주,20240711,
00139764,에넥스,011090,Y,[기재정정]벌금등의부과              ,20240711800499,에넥스,20240711,유
00124540,대우건설,047040,Y,소송등의판결ㆍ결정(일정금액이상의청구)              ,20240711800493,대우건설,20240711,유
00838005,서진시스템,178320,K,주식등의대량보유상황보고서(일반),20240711000374,전동규,20240711,
01105153,두산로보틱스,454910,Y,주주명부폐쇄기간또는기준일설정              ,20240711800407,두산로보틱스,20240711,유정
01602638,한싹,430690,K,임원ㆍ주요주주특정증권등소유상황보고서,20240711000372,백승남,20240711,
00536541,에코프로,086520,K,[기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)              ,20240711900483,에코프로,20240711,코정
00163761,한창제지,009460,Y,[기재정정]투자판단관련주요경영사항              ,20240711800484,한창제지,20240711,유
00195229,미스토홀딩스,081660,Y,[기재정정]타법인주식및출자증권처분결정(자회사의 주요경영사항)              ,20240711800487,미스토홀딩스,20240711,유
01412725,두산퓨얼셀,336260,Y,주식등의대량보유상황보고서(일반),20240711000370,두산에너빌리티,20240711,
01031229,한국비티비,219750,K,횡령ㆍ배임혐의진행사항              ,20240711900482,한국비티비,20240711,코
01602638,한싹,430690,K,임원ㆍ주요주주특정증권등소유상황보고서,20240711000369,이주도,20240711,
01566248,에코프로에이치엔,383310,K,[기재정정]단일판매ㆍ공급계약체결              ,20240711900479,에코프로에이치엔,20240711,코정
