날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2025-12-30,-376313975016,8333033112,844810840951,-476829899047,0,KOSPI
2025-12-30,-168708158574,-43882417783,539230989084,-326640412727,0,KOSDAQ
