corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00353610,이니텍,053350,K,주주총회소집공고,20260209000689,이니텍,20260209,정
00426068,엑시온그룹,069920,K,주주총회소집공고,20260209000579,엑시온그룹,20260209,
00164706,현대약품,004310,Y,주주총회소집공고,20260209000449,현대약품,20260209,
01714997,신한글로벌액티브리츠,481850,Y,주주총회소집공고,20260209000444,신한글로벌액티브리츠,20260209,
01180118,코람코더원리츠,417310,Y,주주총회소집공고,20260209000274,코람코더원리츠,20260209,
01437292,미래에셋맵스리츠,357250,Y,주주총회소집공고,20260209000063,미래에셋맵스리츠,20260209,
00110583,DH오토웨어,025440,K,주주총회소집공고,20260209000014,DH오토웨어,20260209,
00130772,SBS,034120,Y,주식등의대량보유상황보고서(약식),20260209000699,한국투자신탁운용,20260209,
00126186,삼성에스디에스,018260,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000693,이태희,20260209,
00268118,코맥스,036690,K,주식등의대량보유상황보고서(일반),20260209000692,변우석,20260209,
00838005,서진시스템,178320,K,주식등의대량보유상황보고서(일반),20260209000691,전동규,20260209,
00393618,제노텍,066830,N,주식등의대량보유상황보고서(약식),20260209000690,한국투자파트너스,20260209,
00390408,인크레더블버즈,064090,K,의결권대리행사권유참고서류,20260209000687,엠제이홀딩컴퍼니,20260209,
01394669,누보,332290,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000683,김신덕,20260209,
00148984,시알홀딩스,000480,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000678,이화일,20260209,
00108746,DKME,015590,Y,의결권대리행사권유참고서류,20260209000673,김현태,20260209,정
01137295,프리시젼바이오,335810,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000672,광동제약,20260209,
00268118,코맥스,036690,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000670,변우석,20260209,
01137295,프리시젼바이오,335810,K,주식등의대량보유상황보고서(일반),20260209000660,광동제약,20260209,
01336461,뉴로메카,348340,K,주식등의대량보유상황보고서(약식),20260209000649,대신-스카이워크 신기술투자조합,20260209,
00580056,스맥,099440,K,주식등의대량보유상황보고서(일반),20260209000625,SNT홀딩스,20260209,정
00543107,오킨스전자,080580,K,주식등의대량보유상황보고서(약식),20260209000623,MORGANSTANLEY&COINTLPLC,20260209,
00268118,코맥스,036690,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000622,경동나비엔,20260209,
00877819,데이타솔루션,263800,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000619,김선건,20260209,정
00268118,코맥스,036690,K,주식등의대량보유상황보고서(일반),20260209000609,경동나비엔,20260209,
01513440,파이버프로,368770,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000569,인터베스트,20260209,
00144164,SK가스,018670,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000562,윤병석,20260209,
00181712,SK,034730,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000557,차재민,20260209,
01311408,에코프로머티,450080,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000547,"BRVLOTUSGROWTHFUND2015,L.P.",20260209,
01181515,엘앤씨바이오,290650,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000528,이현승,20260209,
00897752,천보,278280,K,주식등의대량보유상황보고서(약식),20260209000524,케이비증권,20260209,
01095704,케이엠제약,225430,K,주식등의대량보유상황보고서(일반),20260209000516,강일모,20260209,
01529982,씨엠티엑스,388210,K,주식등의대량보유상황보고서(약식),20260209000515,한국산업은행,20260209,
00246417,이오테크닉스,039030,K,주식등의대량보유상황보고서(약식),20260209000509,삼성자산운용,20260209,
00642541,제이에스링크,127120,K,주식등의대량보유상황보고서(일반),20260209000507,주성씨앤에어,20260209,
00495086,픽셀플러스,087600,K,주식등의대량보유상황보고서(일반),20260209000506,이서규,20260209,
00369657,리노공업,058470,K,주식등의대량보유상황보고서(약식),20260209000502,삼성자산운용,20260209,
01095704,케이엠제약,225430,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000500,BAIK BRIAN SEUNG WON(백승원),20260209,
01513440,파이버프로,368770,K,주식등의대량보유상황보고서(약식),20260209000499,인터베스트,20260209,
00418379,자연과환경,043910,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000484,이병용,20260209,
00642541,제이에스링크,127120,K,주식등의대량보유상황보고서(일반),20260209000480,주성씨앤에어,20260209,
00642541,제이에스링크,127120,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000476,주성씨앤에어,20260209,
00495086,픽셀플러스,087600,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000475,이채은,20260209,
00109754,대림바스,005750,Y,주식등의대량보유상황보고서(일반),20260209000469,이해영,20260209,
00495086,픽셀플러스,087600,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000466,이서규,20260209,
00706715,미원홀딩스,107590,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000460,미화물류,20260209,
01365825,피에스케이,319660,K,주식등의대량보유상황보고서(약식),20260209000458,삼성자산운용,20260209,
00763473,코스메카코리아,241710,K,주식등의대량보유상황보고서(약식),20260209000457,트러스톤자산운용,20260209,
01243161,인산가,277410,K,주식등의대량보유상황보고서(일반),20260209000456,김윤세,20260209,
01714997,신한글로벌액티브리츠,481850,Y,의결권대리행사권유참고서류,20260209000446,신한글로벌액티브리츠,20260209,
00144164,SK가스,018670,Y,주식등의대량보유상황보고서(일반),20260209000438,SK디스커버리,20260209,
00302582,캐스텍코리아,071850,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000421,윤호성,20260209,
00638487,파수AI,150900,K,주식등의대량보유상황보고서(일반),20260209000419,조규곤,20260209,
01394669,누보,332290,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000406,배형욱,20260209,
00206659,이랜텍,054210,K,주식등의대량보유상황보고서(약식),20260209000397,정호원,20260209,
00110431,JW신약,067290,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000353,김용관,20260209,
00961570,신도기연,290520,K,임원ㆍ주요주주특정증권등거래계획보고서,20260209000351,박웅기,20260209,
00110431,JW신약,067290,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000339,JW홀딩스,20260209,
00303703,CS,065770,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000333,권영,20260209,
00110431,JW신약,067290,K,주식등의대량보유상황보고서(일반),20260209000321,JW홀딩스,20260209,
01394669,누보,332290,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000310,권오연,20260209,
00693554,티케이케미칼,104480,K,주식등의대량보유상황보고서(일반),20260209000293,에스엠인더스트리,20260209,
00126371,삼성전기,009150,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000292,박철민,20260209,
00863533,삼양엔씨켐,482630,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000287,전병완,20260209,
00190321,케이티,030200,Y,주식등의대량보유상황보고서(약식),20260209000286,"티로우프라이스어소시에이트,인크.",20260209,
01180118,코람코더원리츠,417310,Y,의결권대리행사권유참고서류,20260209000276,코람코더원리츠,20260209,
00838005,서진시스템,178320,K,주식등의대량보유상황보고서(일반),20260209000273,전동규,20260209,
00445160,APS이노베이션,079810,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000265,정기로,20260209,
01394669,누보,332290,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000261,김창균,20260209,
00445160,APS이노베이션,079810,K,주식등의대량보유상황보고서(일반),20260209000260,APS,20260209,
00135962,신라교역,004970,Y,주식등의대량보유상황보고서(일반),20260209000259,신라홀딩스,20260209,
00398808,디지털대성,068930,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000258,이돈구,20260209,
00105101,INVENI,015360,Y,주식등의대량보유상황보고서(약식),20260209000239,디세린그룹엘피,20260209,
00863533,삼양엔씨켐,482630,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000220,신정현,20260209,
00863533,삼양엔씨켐,482630,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000218,신정현,20260209,
00161125,한온시스템,018880,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260209000212,김경수,20260209,
00585538,에스에너지,095910,K,임원ㆍ주요주주특정증권등소유상황보고서,20260209000153,홍성민,20260209,
