corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01182550,EDGC,245620,K,기타시장안내              (상장폐지 관련 안내),20240418900682,코스닥시장본부,20240418,코
01182550,EDGC,245620,K,주권매매거래정지기간변경              (상장폐지 사유 발생),20240418900679,코스닥시장본부,20240418,코
00977650,엔케이젠바이오텍코리아,182400,K,주권매매거래정지기간변경              (회생절차 개시신청),20240418900673,코스닥시장본부,20240418,코
00249441,씨씨에스,066790,K,소송등의판결ㆍ결정              ,20240418900647,씨씨에스,20240418,코
01188378,시스웍,269620,K,기타시장안내              (상장적격성 실질심사 관련 절차 안내),20240418900670,코스닥시장본부,20240418,코
01353024,TS트릴리온,317240,K,불성실공시법인지정예고              (공시변경 3건),20240418900671,코스닥시장본부,20240418,코
01051472,젠큐릭스,229000,K,주요사항보고서(타법인주식및출자증권양도결정),20240418000448,젠큐릭스,20240418,
01042650,큐리언트,115180,K,[기재정정]주요사항보고서(유상증자결정),20240418000485,큐리언트,20240418,
00231691,판타지오,032800,K,전환가액의조정              (제7회차),20240418900586,판타지오,20240418,코
00809429,뉴온,123840,K,[기재정정]주요사항보고서(교환사채권발행결정),20240418000424,뉴온,20240418,
00809429,뉴온,123840,K,[기재정정]주요사항보고서(전환사채권발행결정),20240418000420,뉴온,20240418,
00611286,블루탑,191600,N,기업설명회(IR)개최결과              ,20240418600658,블루탑,20240418,넥
00831428,옵투스제약,131030,K,주요사항보고서(자기주식처분결정),20240418000484,옵투스제약,20240418,
00163716,한창,005110,Y,기타시장안내              (상장폐지 이의신청서 제출),20240418800620,유가증권시장본부,20240418,유
00382199,신한지주,055550,Y,최대주주등소유주식변동신고서              ,20240418800649,신한지주,20240418,유
01275665,리메드,302550,K,불성실공시법인미지정              (지정유예),20240418900641,코스닥시장본부,20240418,코
01230255,한울앤제주,276730,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000478,김배진,20240418,정
00131850,SK증권,001510,Y,투자설명서(일괄신고),20240418000477,SK증권,20240418,
01230255,한울앤제주,276730,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000473,문혁기,20240418,정
01188378,시스웍,269620,K,주권매매거래정지기간변경              (상장폐지 사유 발생),20240418900628,코스닥시장본부,20240418,코
00624518,다산솔루에타,154040,K,주식등의대량보유상황보고서(약식),20240418000472,포커스자산운용,20240418,
01259311,푸드나무,290720,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000471,김영문,20240418,
01188378,시스웍,269620,K,기타시장안내              (상장폐지 관련 안내),20240418900624,코스닥시장본부,20240418,코
01259311,푸드나무,290720,K,주식등의대량보유상황보고서(일반),20240418000468,김영문,20240418,
01075126,사토시홀딩스,223310,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000467,메타플렉스,20240418,
00242378,이지홀딩스,035810,K,타인에대한채무보증결정              ,20240418900615,이지홀딩스,20240418,코
01230255,한울앤제주,276730,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000465,엠비에이치홀딩스,20240418,정
01137383,카카오게임즈,293490,K,기업설명회(IR)개최              ,20240418900610,카카오게임즈,20240418,코
01301252,티이엠씨,425040,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000464,송창근,20240418,
01075126,사토시홀딩스,223310,K,주식등의대량보유상황보고서(일반),20240418000463,메타플렉스,20240418,
01301252,티이엠씨,425040,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000462,최찬규,20240418,
01803927,에이유브랜즈,481070,K,연결감사보고서 (2023.12),20240418000461,한성회계법인,20240418,
01301252,티이엠씨,425040,K,주식등의대량보유상황보고서(일반),20240418000460,유원양,20240418,
01803927,에이유브랜즈,481070,K,[기재정정]감사보고서 (2023.12),20240418000459,한성회계법인,20240418,
01809569,신한제12호스팩,474660,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000457,제이비우리캐피탈,20240418,
01137383,카카오게임즈,293490,K,결산실적공시예고              ,20240418900606,카카오게임즈,20240418,코
01814233,미래에셋비전스팩4호,477380,K,증권신고서(지분증권),20240418000456,미래에셋비전스팩4호,20240418,정
00983040,한진칼,180640,Y,타법인주식및출자증권처분결정              ,20240418800603,한진칼,20240418,유정
00131850,SK증권,001510,Y,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20240418000455,SK증권,20240418,
00115694,DB증권,016610,Y,[기재정정]계열금융회사의약관에의한금융거래-[유가증권-채권],20240418000453,DB증권,20240418,공정
01158553,켄코아에어로스페이스,274090,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000452,케플러,20240418,
01158553,켄코아에어로스페이스,274090,K,주식등의대량보유상황보고서(일반),20240418000451,케플러,20240418,
00863038,캐리,313760,K,주요사항보고서(유형자산양수결정),20240418000441,캐리,20240418,정
01809569,신한제12호스팩,474660,K,주식등의대량보유상황보고서(일반),20240418000444,제이비우리캐피탈,20240418,
00435969,인피니트헬스케어,071200,K,주식등의대량보유상황보고서(일반),20240418000443,솔본,20240418,
01230255,한울앤제주,276730,K,[기재정정]주주총회소집결의              ,20240418900564,한울앤제주,20240418,코정
00146427,한주에이알티,058450,K,임원ㆍ주요주주특정증권등소유상황보고서,20240418000436,경남제약,20240418,
