corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00139834,LG씨엔에스,064400,Y,증권신고서(지분증권),20241205000577,LG씨엔에스,20241205,정
01514698,엑스플러스,373200,K,주요사항보고서(유상증자결정),20241205000560,엑스플러스,20241205,정
01222867,제테마,216080,K,[기재정정]투자판단관련주요경영사항              (제테마더톡신주 100단위(클로스트리디움 보툴리눔독소 A형)의 식품의약품안전처(MFDS) 국내 품목허가 획득),20241205900558,제테마,20241205,코
01049167,롤링스톤,214610,K,주요사항보고서(유상증자결정),20241205000572,롤링스톤,20241205,
01049167,롤링스톤,214610,K,소액공모공시서류(지분증권),20241205000574,롤링스톤,20241205,
01514698,엑스플러스,373200,K,소액공모공시서류(지분증권),20241205000573,엑스플러스,20241205,정
01514698,엑스플러스,373200,K,[기재정정]주요사항보고서(유상증자결정),20241205000558,엑스플러스,20241205,정
01455492,데이원컴퍼니,373160,K,[기재정정]증권신고서(지분증권),20241205000570,데이원컴퍼니,20241205,정
00147860,에스엠벡셀,010580,Y,주식등의대량보유상황보고서(일반),20241205000569,에스엠하이플러스,20241205,
01261644,레인보우로보틱스,277810,K,[기재정정]단일판매ㆍ공급계약체결              ,20241205900548,레인보우로보틱스,20241205,코
01336762,스피어,347700,K,주식등의대량보유상황보고서(약식),20241205000568,플리트파트너스,20241205,
01514698,엑스플러스,373200,K,[기재정정]주요사항보고서(전환사채권발행결정),20241205000529,엑스플러스,20241205,정
00139834,LG씨엔에스,064400,Y,주요사항보고서(유상증자결정),20241205000567,LG씨엔에스,20241205,정
00126380,삼성전자,005930,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000566,이상빈,20241205,
00652423,인바이오젠,101140,Y,기타시장안내              (추가 개선기간 부여),20241205800545,유가증권시장본부,20241205,유
00147860,에스엠벡셀,010580,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000564,에스엠하이플러스,20241205,
01365038,자람테크놀로지,389020,K,교환청구권행사              (제2회차),20241205900539,자람테크놀로지,20241205,코
00106119,금양,001570,Y,주요사항보고서(자기주식처분결정),20241205000561,금양,20241205,
00828497,한미약품,128940,Y,최대주주등소유주식변동신고서              ,20241205800544,한미약품,20241205,유
00364254,알티캐스트,085810,K,[기재정정]주요사항보고서(유상증자결정),20241205000548,알티캐스트,20241205,정
01080687,아우딘퓨쳐스,227610,K,전환사채(해외전환사채포함)발행후만기전사채취득              (제3회차),20241205900520,아우딘퓨쳐스,20241205,코
00117188,효성,004800,Y,타인에대한채무보증결정(자회사의 주요경영사항)              ,20241205800530,효성,20241205,유
00382199,신한지주,055550,Y,주요사항보고서(상각형조건부자본증권발행결정),20241205000527,신한지주,20241205,정
00231372,롯데관광개발,032350,Y,주식등의대량보유상황보고서(일반),20241205000557,김기병,20241205,
00332927,제이에스코퍼레이션,194370,Y,회사합병결정(종속회사의주요경영사항)              ,20241205800512,제이에스코퍼레이션,20241205,유
00332927,제이에스코퍼레이션,194370,Y,회사합병결정(종속회사의주요경영사항)              ,20241205800508,제이에스코퍼레이션,20241205,유
01423916,온코크로스,382150,K,[기재정정]투자설명서,20241205000556,온코크로스,20241205,
00108746,DKME,015590,Y,의결권대리행사권유참고서류,20241205000551,더코어텍그룹,20241205,
00161426,한미사이언스,008930,Y,최대주주등소유주식변동신고서              ,20241205800531,한미사이언스,20241205,유
01423916,온코크로스,382150,K,[발행조건확정]증권신고서(지분증권),20241205000549,온코크로스,20241205,
01316245,효성중공업,298040,Y,타인에대한채무보증결정              ,20241205800511,효성중공업,20241205,유
00106881,인디에프,014990,Y,최대주주등소유주식변동신고서              ,20241205800529,인디에프,20241205,유
00120872,만호제강,001080,Y,주요사항보고서(자기주식처분결정),20241205000509,만호제강,20241205,
00297989,오르비텍,046120,K,타법인주식및출자증권취득결정              ,20241205900519,오르비텍,20241205,코정
00148610,한화투자증권,003530,Y,투자설명서(일괄신고),20241205000546,한화투자증권,20241205,
00159102,DB손해보험,005830,Y,최대주주등소유주식변동신고서              ,20241205800525,DB손해보험,20241205,유
00178754,동아지질,028100,Y,단일판매ㆍ공급계약체결              ,20241205800473,동아지질,20241205,유정
01579020,아이엠지티,456570,N,[기재정정]주식등의대량보유상황보고서(약식),20241205000543,한국투자파트너스,20241205,
00148610,한화투자증권,003530,Y,일괄신고추가서류(파생결합증권-주가연계증권),20241205000540,한화투자증권,20241205,
00180865,디에이치엑스컴퍼니,031860,K,의결권대리행사권유참고서류,20241205000538,디에이치엑스컴퍼니,20241205,
01579020,아이엠지티,456570,N,주식등의대량보유상황보고서(약식),20241205000526,한국투자파트너스,20241205,정
00533924,이브이첨단소재,131400,K,주주명부폐쇄기간또는기준일설정              ,20241205900509,이브이첨단소재,20241205,코
00180865,디에이치엑스컴퍼니,031860,K,주주총회소집공고,20241205000524,디에이치엑스컴퍼니,20241205,
00136721,신영증권,001720,Y,투자설명서(일괄신고),20241205000523,신영증권,20241205,
00158015,한국선재,025550,K,주요사항보고서(자기주식처분결정),20241205000512,한국선재,20241205,
00158015,한국선재,025550,K,타법인주식및출자증권취득결정              ,20241205900484,한국선재,20241205,코
01671285,쿼드메디슨,464490,K,주요사항보고서(유상증자결정),20241205000522,쿼드메디슨,20241205,정
00416414,넥스턴앤롤코리아,089140,K,주식등의대량보유상황보고서(약식),20241205000519,바로저축은행,20241205,
00136721,신영증권,001720,Y,투자설명서(일괄신고),20241205000517,신영증권,20241205,
01222867,제테마,216080,K,투자판단관련주요경영사항              (제테마더톡신주 100단위(클로스트리디움 보툴리눔독소 A형)의 식품의약품안전처(MFDS) 국내 품목허가 획득),20241205900482,제테마,20241205,코정
00194947,한전산업,130660,Y,[기재정정]단일판매ㆍ공급계약체결(자율공시)              ,20241205800490,한전산업,20241205,유정
00136721,신영증권,001720,Y,투자설명서(일괄신고),20241205000515,신영증권,20241205,
00317487,티에스넥스젠,043220,K,[기재정정]주요사항보고서(자기전환사채매도결정),20241205000514,티에스넥스젠,20241205,정
01416642,다보링크,340360,K,주식등의대량보유상황보고서(일반),20241205000513,테라사이언스,20241205,
00159023,SK텔레콤,017670,Y,[발행조건확정]증권신고서(채무증권),20241205000507,SK텔레콤,20241205,정
00136721,신영증권,001720,Y,투자설명서(일괄신고),20241205000506,신영증권,20241205,
00115694,DB증권,016610,Y,[기재정정]타법인주식및출자증권취득결정              ,20241205800436,DB증권,20241205,유
00317487,티에스넥스젠,043220,K,[기재정정]주요사항보고서(자기전환사채매도결정),20241205000503,티에스넥스젠,20241205,정
00162832,한일단조,024740,K,주요사항보고서(유형자산양도결정),20241205000484,한일단조,20241205,정
00219848,서희건설,035890,K,[기재정정]타인에대한채무보증결정              ,20241205900479,서희건설,20241205,코
00126380,삼성전자,005930,Y,최대주주등소유주식변동신고서              ,20241205800477,삼성전자,20241205,유
00350312,HDC랩스,039570,Y,최대주주등소유주식변동신고서              ,20241205800472,HDC랩스,20241205,유
00194947,한전산업,130660,Y,주주총회소집공고,20241205000490,한전산업,20241205,
00136721,신영증권,001720,Y,일괄신고추가서류(기타파생결합증권),20241205000489,신영증권,20241205,
00525642,코오롱생명과학,102940,K,[기재정정]특수관계인으로부터받은담보,20241205000486,코오롱생명과학,20241205,공정
00159023,SK텔레콤,017670,Y,[기재정정]증권신고서(채무증권),20241205000483,SK텔레콤,20241205,정
00136721,신영증권,001720,Y,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20241205000482,신영증권,20241205,
00364254,알티캐스트,085810,K,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,20241205900405,알티캐스트,20241205,코
00136721,신영증권,001720,Y,일괄신고추가서류(파생결합증권-주가연계증권),20241205000478,신영증권,20241205,
00533809,바스칸바이오제약,354390,N,임시주주총회결과              ,20241205600421,바스칸바이오제약,20241205,넥
00350312,HDC랩스,039570,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000475,HDC,20241205,
00219097,BGF,027410,Y,주주명부폐쇄기간또는기준일설정              ,20241205800391,BGF,20241205,유
01263022,BGF리테일,282330,Y,주주명부폐쇄기간또는기준일설정              ,20241205800373,BGF리테일,20241205,유
00350312,HDC랩스,039570,Y,주식등의대량보유상황보고서(일반),20241205000471,정몽규,20241205,
00608802,텔콘RF제약,200230,K,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",20241205900443,코스닥시장본부,20241205,코
00172079,HLB파나진,046210,K,주요사항보고서(자본으로인정되는채무증권발행결정),20241205000468,HLB파나진,20241205,
00977377,에이비온,203400,K,[기재정정]주요사항보고서(타법인주식및출자증권양수결정),20241205000416,에이비온,20241205,
00232007,상지건설,042940,K,단일판매ㆍ공급계약해지              ,20241205900427,상지건설,20241205,코
00305570,코스리거글로벌,043710,K,임원ㆍ주요주주특정증권등소유상황보고서,20241205000466,이재규,20241205,
00977377,에이비온,203400,K,증권발행결과(자율공시)              ,20241205900354,에이비온,20241205,코
01259311,푸드나무,290720,K,임원ㆍ주요주주특정증권등소유상황보고서,20241205000465,김영완,20241205,
00247975,솔브레인홀딩스,036830,K,주요사항보고서(자기주식취득신탁계약체결결정),20241205000432,솔브레인홀딩스,20241205,
01326279,아이엘,307180,K,주식등의대량보유상황보고서(일반),20241205000461,송성근,20241205,
00172079,HLB파나진,046210,K,주요사항보고서(전환사채권발행결정),20241205000430,HLB파나진,20241205,
00618410,KS인더스트리,101000,K,전환사채(해외전환사채포함)발행후만기전사채취득              (제16회차),20241205900357,KS인더스트리,20241205,코
00608839,에이루트,096690,K,주식등의대량보유상황보고서(일반),20241205000459,최정임,20241205,
00363592,한컴위드,054920,K,타법인주식및출자증권취득결정              ,20241205900343,한컴위드,20241205,코
01344336,신테카바이오,226330,K,주주총회소집결의              (임시주주총회),20241205900413,신테카바이오,20241205,코정
01011526,엔켐,348370,K,주식등의대량보유상황보고서(약식),20241205000456,케이비증권,20241205,
00106368,금호석유화학,011780,Y,최대주주등소유주식변동신고서              ,20241205800424,금호석유화학,20241205,유
01047169,지란지교시큐리티,208350,K,신탁계약에의한취득상황보고서,20241205000455,지란지교시큐리티,20241205,
01182578,DH오토리드,290120,K,신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득              ,20241205900420,DH오토리드,20241205,코
01344336,신테카바이오,226330,K,주주명부폐쇄기간또는기준일설정              ,20241205900416,신테카바이오,20241205,코
01137383,카카오게임즈,293490,K,주주명부폐쇄기간또는기준일설정              ,20241205900415,카카오게임즈,20241205,코
00106368,금호석유화학,011780,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000452,고석범,20241205,
01259311,푸드나무,290720,K,임원ㆍ주요주주특정증권등소유상황보고서,20241205000450,김영문,20241205,
00106368,금호석유화학,011780,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000445,박주형,20241205,
00608802,텔콘RF제약,200230,K,합병등종료보고서(자산양수도),20241205000443,텔콘RF제약,20241205,
01259311,푸드나무,290720,K,주식등의대량보유상황보고서(약식),20241205000442,김영문,20241205,
00120182,NH투자증권,005940,Y,증권발행실적보고서,20241205000441,NH투자증권,20241205,
00444329,위메이드,112040,K,주식등의대량보유상황보고서(일반),20241205000440,박관호,20241205,
01489648,솔브레인,357780,K,주식등의대량보유상황보고서(일반),20241205000438,정지완,20241205,
00104722,국제약품,002720,Y,주식등의대량보유상황보고서(일반),20241205000437,남영우,20241205,
00111111,대양금속,009190,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000436,비비원조합,20241205,
01259311,푸드나무,290720,K,임원ㆍ주요주주특정증권등소유상황보고서,20241205000435,온힐파트너스,20241205,
00299464,초록뱀미디어,047820,K,주식등의대량보유상황보고서(일반),20241205000434,오션인더블유,20241205,
00299464,초록뱀미디어,047820,K,임원ㆍ주요주주특정증권등소유상황보고서,20241205000431,오션인더블유,20241205,
00111111,대양금속,009190,Y,기타경영사항(자율공시)              ,20241205800376,대양금속,20241205,유
01259311,푸드나무,290720,K,주식등의대량보유상황보고서(일반),20241205000429,온힐파트너스,20241205,
00120182,NH투자증권,005940,Y,증권발행실적보고서,20241205000428,NH투자증권,20241205,
00608699,탑코미디어,134580,K,주주총회소집공고,20241205000427,탑코미디어,20241205,
00659976,영화테크,265560,K,신탁계약에의한취득상황보고서,20241205000426,영화테크,20241205,
00120571,롯데칠성음료,005300,Y,임원ㆍ주요주주특정증권등소유상황보고서,20241205000423,신해모,20241205,
00787057,휴맥스,115160,K,[기재정정]타법인주식및출자증권처분결정              ,20241205900375,휴맥스,20241205,코정
00525864,피앤씨테크,237750,K,임원ㆍ주요주주특정증권등소유상황보고서,20241205000422,조민기,20241205,
01428203,케이씨씨글라스,344820,Y,주식등의대량보유상황보고서(일반),20241205000420,정몽진,20241205,
00525864,피앤씨테크,237750,K,주식등의대량보유상황보고서(일반),20241205000419,조광식,20241205,
00551920,네오팜,092730,K,주식등의대량보유상황보고서(일반),20241205000418,잇츠한불,20241205,
00120182,NH투자증권,005940,Y,증권발행실적보고서,20241205000417,NH투자증권,20241205,
