날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-02-12,1380001667469,79286367521,-4454691937676,2995403902686,0,KOSPI
2026-02-12,99702385369,-79178573719,86037562690,-106561374340,0,KOSDAQ
