corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01089378,디와이디,219550,K,타법인주식및출자증권취득결정              ,20240403900786,디와이디,20240403,코정
00130383,서부T&D,006730,K,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20240403900743,서부T&D,20240403,코정
00317487,티에스넥스젠,043220,K,기타시장안내(최대주주의의무보유관련)              ,20240403900765,코스닥시장본부,20240403,코
00117212,두산,000150,Y,[기재정정]거래처와의거래중단(자회사의 주요경영사항)              ,20240403800763,두산,20240403,유정
00607797,엄지하우스,224810,N,[기재정정]정기주주총회결과              ,20240403600764,엄지하우스,20240403,넥정
00525864,피앤씨테크,237750,K,주요사항보고서(타법인주식및출자증권양수결정),20240403003524,피앤씨테크,20240403,
00159616,두산에너빌리티,034020,Y,[기재정정]거래처와의거래중단              ,20240403800762,두산에너빌리티,20240403,유정
01336762,스피어,347700,K,주식등의대량보유상황보고서(일반),20240403003528,송승재,20240403,
00317487,티에스넥스젠,043220,K,[기재정정]주요사항보고서(유상증자결정),20240403003510,티에스넥스젠,20240403,정
00607797,엄지하우스,224810,N,감사보고서제출              ,20240403600757,엄지하우스,20240403,넥
01583953,티엘엔지니어링,413300,N,주주총회소집결의              ,20240403600699,티엘엔지니어링,20240403,넥
01583953,티엘엔지니어링,413300,N,주주명부폐쇄기간또는기준일설정              ,20240403600753,티엘엔지니어링,20240403,넥
00618410,KS인더스트리,101000,K,[기재정정]합병등종료보고서(영업양수도),20240403003504,KS인더스트리,20240403,
00545114,랩지노믹스,084650,K,주식등의대량보유상황보고서(일반),20240403003501,루하프라이빗에쿼티,20240403,
01583953,티엘엔지니어링,413300,N,주식등의대량보유상황보고서(일반),20240403003492,서충옥,20240403,
00110431,JW신약,067290,K,주식등의대량보유상황보고서(일반),20240403003491,JW홀딩스,20240403,
01038693,드림시큐리티,203650,K,주요사항보고서(전환사채권발행결정),20240403003428,드림시큐리티,20240403,
00317487,티에스넥스젠,043220,K,최대주주변경              ,20240403900727,티에스넥스젠,20240403,코정
00190321,케이티,030200,Y,최대주주등소유주식변동신고서(최대주주변경시)              ,20240403800740,케이티,20240403,유
00660121,디에이테크놀로지,196490,K,주권매매거래정지기간변경              (풍문사유(채권자에 의한 파산신청설) 미해소),20240403900729,코스닥시장본부,20240403,코
00632304,JW홀딩스,096760,Y,주식등의대량보유상황보고서(일반),20240403003471,이경하,20240403,
00153393,태광산업,003240,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003468,김우진,20240403,
00632304,JW홀딩스,096760,Y,최대주주등소유주식변동신고서              ,20240403800736,JW홀딩스,20240403,유
00307028,경남제약,053950,K,주요사항보고서(회사합병결정),20240403003436,경남제약,20240403,정
00545114,랩지노믹스,084650,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003465,권순길,20240403,
01360875,탑머티리얼,360070,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003463,정태균,20240403,
00173874,넥센타이어,002350,Y,[발행조건확정]증권신고서(채무증권),20240403003459,넥센타이어,20240403,
00225706,JW생명과학,234080,Y,최대주주등소유주식변동신고서              ,20240403800731,JW생명과학,20240403,유
00225706,JW생명과학,234080,Y,주식등의대량보유상황보고서(일반),20240403003455,JW홀딩스,20240403,
00296290,키움증권,039490,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003447,국민연금공단,20240403,
00307028,경남제약,053950,K,주주명부폐쇄기간또는기준일설정              ,20240403900725,경남제약,20240403,코
00618410,KS인더스트리,101000,K,[기재정정]주주총회소집결의              ,20240403900715,KS인더스트리,20240403,코정
01245062,코오롱티슈진,950160,K,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              (손해배상청구),20240403900690,코오롱티슈진,20240403,코정
01524507,핀텔,291810,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003433,성종환,20240403,
00120571,롯데칠성음료,005300,Y,[발행조건확정]증권신고서(채무증권),20240403003432,롯데칠성음료,20240403,
00809429,뉴온,123840,K,주요사항보고서(자기주식처분결정),20240403003398,뉴온,20240403,
00153393,태광산업,003240,Y,최대주주등소유주식변동신고서              ,20240403800717,태광산업,20240403,유
00104856,삼성증권,016360,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003430,국민연금공단,20240403,
00809429,뉴온,123840,K,주요사항보고서(교환사채권발행결정),20240403003348,뉴온,20240403,정
01524093,DL이앤씨,375500,Y,주주명부폐쇄기간또는기준일설정              ,20240403800705,DL이앤씨,20240403,유
00427483,대웅제약,069620,Y,[발행조건확정]증권신고서(채무증권),20240403003425,대웅제약,20240403,정
01316245,효성중공업,298040,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003420,국민연금공단,20240403,
00110583,DH오토웨어,025440,K,[기재정정]사업보고서 (2023.12),20240403003408,DH오토웨어,20240403,연
00763473,코스메카코리아,241710,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003403,국민연금공단,20240403,
00445054,하나마이크론,067310,K,주식등의대량보유상황보고서(일반),20240403003400,최창호,20240403,
01009789,코스맥스,192820,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003385,국민연금공단,20240403,
00317487,티에스넥스젠,043220,K,증권발행결과(자율공시)              ,20240403900703,티에스넥스젠,20240403,코
00389998,한성크린텍,066980,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003383,변경민,20240403,
00173874,넥센타이어,002350,Y,[기재정정]증권신고서(채무증권),20240403003381,넥센타이어,20240403,정
00525642,코오롱생명과학,102940,K,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              (손해배상청구),20240403900680,코오롱생명과학,20240403,코정
00325112,프로텍,053610,K,회계처리기준위반행위로인한검찰기소              ,20240403900681,프로텍,20240403,코
00325112,프로텍,053610,K,주권매매거래정지              (회계처리 기준위반),20240403900686,코스닥시장본부,20240403,코
00939331,한국콜마,161890,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003374,국민연금공단,20240403,
00427483,대웅제약,069620,Y,[기재정정]증권신고서(채무증권),20240403003373,대웅제약,20240403,정
00389998,한성크린텍,066980,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003363,이정섭,20240403,
00526599,덴티움,145720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003360,국민연금공단,20240403,
01023211,와이제이링크,209640,K,연결감사보고서 (2023.12),20240403003359,삼정회계법인,20240403,
01023211,와이제이링크,209640,K,감사보고서 (2023.12),20240403003356,삼정회계법인,20240403,
00660750,하나머티리얼즈,166090,K,주식등의대량보유상황보고서(일반),20240403003344,하나마이크론,20240403,
00828497,한미약품,128940,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003341,국민연금공단,20240403,
00103662,광명전기,017040,Y,최대주주등소유주식변동신고서(최대주주변경시)              ,20240403800685,광명전기,20240403,유
01211232,코윈테크,282880,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003331,이준경,20240403,
00103662,광명전기,017040,Y,최대주주변경              ,20240403800647,광명전기,20240403,유
01524093,DL이앤씨,375500,Y,기타경영사항(자율공시)              ,20240403800630,DL이앤씨,20240403,유
00670340,씨에스윈드,112610,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003320,국민연금공단,20240403,
01524093,DL이앤씨,375500,Y,주주총회소집결의              ,20240403800629,DL이앤씨,20240403,유
00114808,동국제약,086450,K,주요사항보고서(자기주식처분결정),20240403003238,동국제약,20240403,
00618410,KS인더스트리,101000,K,주주총회소집결의              ,20240403900659,KS인더스트리,20240403,코정
00776820,영원무역,111770,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003307,국민연금공단,20240403,
00190321,케이티,030200,Y,임원ㆍ주요주주특정증권등소유상황보고서,20240403003305,강이환,20240403,
01211232,코윈테크,282880,K,임원ㆍ주요주주특정증권등소유상황보고서,20240403003300,이재환,20240403,
00126292,삼성카드,029780,Y,투자설명서(일괄신고),20240403003296,삼성카드,20240403,
00660121,디에이테크놀로지,196490,K,조회공시요구(풍문또는보도)에대한답변(미확정)              (채권자에 의한 파산신청설),20240403900642,디에이테크놀로지,20240403,코
