티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
095570,107990,45252759,483255250,202506096525.0,0.24,KOSPI
006840,0,13247561,0,94852536760.0,0.0,KOSPI
027410,28016,95716791,115285840,393874594965.0,0.03,KOSPI
282330,22130,17283906,3169016000,2475055339200.0,0.13,KOSPI
138930,98672,310327033,1462319040,4599046629060.0,0.03,KOSPI
001460,6211,6246150,231670300,232981395000.0,0.1,KOSPI
001465,0,2153850,0,58153950000.0,0.0,KOSPI
001040,431323,29176998,54734888700,3702561046200.0,1.48,KOSPI
079160,2747449,165582596,14396632760,867652803040.0,1.66,KOSPI
00104K,0,4226512,0,510562649600.0,0.0,KOSPI
000120,39534,22812344,2976910200,1717769503200.0,0.17,KOSPI
011150,168319,35930773,339162785,72400507595.0,0.47,KOSPI
011155,0,200000,0,1334000000.0,0.0,KOSPI
001045,0,2260223,0,162510033700.0,0.0,KOSPI
097950,70615,15054186,12950791000,2760937712400.0,0.47,KOSPI
097955,951,1327433,118589700,165530895100.0,0.07,KOSPI
000480,0,46890490,0,220150850550.0,0.0,KOSPI
000590,0,1154482,0,77234845800.0,0.0,KOSPI
012030,630005,201173933,926737355,295926855443.0,0.31,KOSPI
005830,0,65500349,0,11921063518000.0,0.0,KOSPI
016610,17910,42446389,170145000,403240695500.0,0.04,KOSPI
000990,430770,43504588,42043152000,4246047788800.0,0.99,KOSPI
000300,0,41437055,0,174035631000.0,0.0,KOSPI
001530,388560,20715621,9325440000,497174904000.0,1.88,KOSPI
015590,471579,53396308,756884295,85701074340.0,0.88,KOSPI
000210,12603,20955884,638972100,1062463318800.0,0.06,KOSPI
000215,0,1686115,0,40129537000.0,0.0,KOSPI
375500,648203,38693623,45763131800,2731769783800.0,1.68,KOSPI
37550L,0,2111951,0,97466538650.0,0.0,KOSPI
37550K,0,2113885,0,52318653750.0,0.0,KOSPI
007340,185807,58510865,11668679600,3674482322000.0,0.32,KOSPI
004840,0,19272364,0,85087487060.0,0.0,KOSPI
155660,0,16000000,0,74320000000.0,0.0,KOSPI
069730,0,14400000,0,83808000000.0,0.0,KOSPI
017860,200867,17759139,2426473360,214530399120.0,1.13,KOSPI
092780,0,13168460,0,48262405900.0,0.0,KOSPI
017940,0,6860000,0,636608000000.0,0.0,KOSPI
365550,4282181,246089000,13595924675,781332575000.0,1.74,KOSPI
383220,137929,38307075,8951592100,2486129167500.0,0.36,KOSPI
007700,0,39114367,0,555032867730.0,0.0,KOSPI
114090,136368,61855670,1272313440,577113401100.0,0.22,KOSPI
078930,28474,92895495,3396948200,11082432553500.0,0.03,KOSPI
006360,3410911,85581490,116482610650,2922607883500.0,3.99,KOSPI
001250,169124,82533764,456634800,222841162800.0,0.2,KOSPI
007070,206318,83607415,5622165500,2278302058750.0,0.25,KOSPI
078935,0,1779676,0,114255199200.0,0.0,KOSPI
499790,37967,19830841,1558545350,814056023050.0,0.19,KOSPI
012630,20598,59741721,457275600,1326266206200.0,0.03,KOSPI
039570,0,25957601,0,198835223660.0,0.0,KOSPI
089470,0,31900000,0,126802500000.0,0.0,KOSPI
267270,23103,47921897,3084250500,6397573249500.0,0.05,KOSPI
009540,190988,70773116,71525006000,26504531942000.0,0.27,KOSPI
267250,0,78993085,0,18523878432500.0,0.0,KOSPI
443060,105452,44833460,21512208000,9146025840000.0,0.24,KOSPI
071970,27825,33921495,1535940000,1872466524000.0,0.08,KOSPI
322000,198025,11200000,24673915000,1395520000000.0,1.77,KOSPI
267260,106064,36047135,83260240000,28297000975000.0,0.29,KOSPI
329180,2161631,104961225,1058118374500,51378519637500.0,2.06,KOSPI
097230,1528024,90295344,26939063120,1591906914720.0,1.69,KOSPI
014790,0,37858601,0,94835795505.0,0.0,KOSPI
003580,104282,50663505,170501070,82834830675.0,0.21,KOSPI
204320,316446,46957120,16834927200,2498118784000.0,0.67,KOSPI
060980,10019,9078847,402763800,364969649400.0,0.11,KOSPI
011200,6453002,943237970,146160495300,21364340020500.0,0.68,KOSPI
035000,0,16207644,0,109725749880.0,0.0,KOSPI
002460,0,10150000,0,111447000000.0,0.0,KOSPI
487570,20918,3725927,976870600,174000790900.0,0.56,KOSPI
298050,117769,4479948,20032506900,762039154800.0,2.63,KOSPI
015360,28518,27250000,405240780,387222500000.0,0.1,KOSPI
294870,42731,65907330,961447500,1482914925000.0,0.06,KOSPI
175330,1056259,186521824,29469626100,5203958889600.0,0.57,KOSPI
234080,43816,15834554,499064240,180355570060.0,0.28,KOSPI
001060,19920,23285930,542820000,634541592500.0,0.09,KOSPI
001067,0,209973,0,9249310650.0,0.0,KOSPI
001065,0,341951,0,7899068100.0,0.0,KOSPI
096760,0,73924942,0,301244138650.0,0.0,KOSPI
008970,441004,103766907,487309420,114662432235.0,0.42,KOSPI
105560,22555,354687734,3800517500,59764883179000.0,0.01,KOSPI
415640,0,122545548,0,1260993688920.0,0.0,KOSPI
432320,74167,150764285,108951323,221472734665.0,0.05,KOSPI
002380,0,8592896,0,3905471232000.0,0.0,KOSPI
344820,24173,15970512,597073100,394471646400.0,0.15,KOSPI
009070,125212,30000000,518377680,124200000000.0,0.42,KOSPI
009440,0,23239141,0,17568790596.0,0.0,KOSPI
119650,0,109785309,0,100782913662.0,0.0,KOSPI
092220,454761,40152628,1189200015,104999122220.0,1.13,KOSPI
003620,839422,202374912,2325198940,560578506240.0,0.41,KOSPI
016380,280186,100008897,1515806260,541048132770.0,0.28,KOSPI
001390,107874,67233030,476263710,296833827450.0,0.16,KOSPI
001940,9731,14176380,269548700,392685726000.0,0.07,KOSPI
025000,0,4378709,0,238201769600.0,0.0,KOSPI
092230,0,4224646,0,414860237200.0,0.0,KOSPI
000040,0,17275036,0,27415482132.0,0.0,KOSPI
044450,111810,23085880,1132635300,233859964400.0,0.48,KOSPI
030200,1626580,252021685,88323294000,13684777495500.0,0.65,KOSPI
033780,11818,103810456,2087058800,18332926529600.0,0.01,KOSPI
058850,53618,41404450,119300050,92124901250.0,0.13,KOSPI
058860,0,34802000,0,88397080000.0,0.0,KOSPI
093050,15290,29240000,340967000,652052000000.0,0.05,KOSPI
003550,2199084,151192004,247836766800,17039338850800.0,1.45,KOSPI
034220,28175265,500000000,275554091700,4890000000000.0,5.64,KOSPI
051900,70291,14975523,21087300000,4492656900000.0,0.47,KOSPI
051905,0,2096259,0,223251583500.0,0.0,KOSPI
064400,553263,96885948,40886135700,7159871557200.0,0.57,KOSPI
373220,3845888,234000000,1349906688000,82134000000000.0,1.64,KOSPI
003555,0,3011199,0,207471611100.0,0.0,KOSPI
032640,3132955,424427732,46775018150,6336706038760.0,0.74,KOSPI
011070,68644,23667107,43451652000,14981278731000.0,0.29,KOSPI
066570,1939887,162884638,403496496000,33880004704000.0,1.19,KOSPI
066575,0,17181299,0,1254234827000.0,0.0,KOSPI
037560,0,77446865,0,128406902170.0,0.0,KOSPI
051910,12841,70592343,3473490500,19095228781500.0,0.02,KOSPI
051915,0,7688800,0,940340240000.0,0.0,KOSPI
079550,108515,22000000,86269425000,17490000000000.0,0.49,KOSPI
006260,0,31200000,0,10717200000000.0,0.0,KOSPI
010120,838597,150000000,175266773000,31350000000000.0,0.56,KOSPI
000680,46840,78803016,139583200,234832987680.0,0.06,KOSPI
229640,65995,30624879,3131462750,1453150508550.0,0.22,KOSPI
108320,266187,16264300,10487767800,640813420000.0,1.64,KOSPI
001120,8347,38760000,321359500,1492260000000.0,0.02,KOSPI
108670,5466,8967670,186390600,305797547000.0,0.06,KOSPI
108675,0,1032330,0,18963902100.0,0.0,KOSPI
383800,367270,76280690,3029977500,629315692500.0,0.48,KOSPI
38380K,0,1465285,0,10843109000.0,0.0,KOSPI
023150,48000,7378526,198480000,30510205010.0,0.65,KOSPI
035420,1230015,156977585,266913255000,34064135945000.0,0.78,KOSPI
036570,94825,21544022,21809750000,4955125060000.0,0.44,KOSPI
181710,83433,32753139,5882026500,2309096299500.0,0.25,KOSPI
400760,0,54929275,0,159569543875.0,0.0,KOSPI
005940,1822791,369206105,50126752500,10153167887500.0,0.49,KOSPI
005945,0,18870968,0,462338716000.0,0.0,KOSPI
338100,0,18660000,0,70534800000.0,0.0,KOSPI
034310,120396,36757157,1548292560,472697039020.0,0.33,KOSPI
030190,413860,58911527,6352751000,904291939450.0,0.7,KOSPI
008260,62422,28600117,202247280,92664379080.0,0.22,KOSPI
004250,0,36720000,0,109058400000.0,0.0,KOSPI
004255,0,5280000,0,9778560000.0,0.0,KOSPI
456040,7799,8952495,622360200,714409101000.0,0.09,KOSPI
010060,787057,18670232,214473032500,5087638220000.0,4.22,KOSPI
178920,76351,29366322,1481972910,570000310020.0,0.26,KOSPI
001340,807701,45028089,4111198090,229192973010.0,1.79,KOSPI
005490,43382,79241527,14077459000,25713875511500.0,0.05,KOSPI
010950,311599,112582792,47861606400,17292716851200.0,0.28,KOSPI
010955,0,4021927,0,283545853500.0,0.0,KOSPI
034120,0,18551238,0,236342772120.0,0.0,KOSPI
003080,0,20020000,0,44444400000.0,0.0,KOSPI
005090,323539,14409333,20221187500,900583312500.0,2.25,KOSPI
001380,0,22482071,0,30215903424.0,0.0,KOSPI
004060,56038,20242496,132529870,47873503040.0,0.28,KOSPI
001770,0,1214878,0,15343909140.0,0.0,KOSPI
002360,0,11113373,0,18759373624.0,0.0,KOSPI
009160,0,65370968,0,319337178680.0,0.0,KOSPI
033530,114069,27052299,817874730,193964983830.0,0.42,KOSPI
123700,89751,15604898,312333480,54305045040.0,0.58,KOSPI
025530,0,14934008,0,53015728400.0,0.0,KOSPI
034730,38396,72502703,22653640000,42776594770000.0,0.05,KOSPI
011790,942032,49598298,81203158400,4275373287600.0,1.9,KOSPI
018670,81580,9269244,19742360000,2243157048000.0,0.88,KOSPI
001740,2587874,200593889,19227903820,1490412595270.0,1.29,KOSPI
006120,183839,17413751,9872154300,935118428700.0,1.06,KOSPI
006125,0,1231705,0,48036495000.0,0.0,KOSPI
210980,60285,18617382,289669425,89456520510.0,0.32,KOSPI
395400,1495003,301017620,8745767550,1760953077000.0,0.5,KOSPI
302440,1038677,78456553,37911710500,2863664184500.0,1.32,KOSPI
326030,169414,78313250,14434072800,6672288900000.0,0.22,KOSPI
402340,92840,131958386,105373400000,149772768110000.0,0.07,KOSPI
361610,2047149,81787100,30113561790,1203088241000.0,2.5,KOSPI
100090,2413526,62478129,33137711980,857824711170.0,3.86,KOSPI
03473K,758,566135,284250000,212300625000.0,0.13,KOSPI
096770,61948,169052788,8146162000,22230441622000.0,0.04,KOSPI
096775,0,1248426,0,85392338400.0,0.0,KOSPI
475150,819482,34067004,47939697000,1992919734000.0,2.41,KOSPI
001510,5352599,231295085,12123636735,523883367525.0,2.31,KOSPI
001515,0,1956257,0,8167372975.0,0.0,KOSPI
285130,148328,17298766,7112327600,829475829700.0,0.86,KOSPI
28513K,0,2115429,0,48866409900.0,0.0,KOSPI
017670,470170,214790053,46922966000,21436047289400.0,0.22,KOSPI
000660,497965,730492365,827617830000,1214078310630000.0,0.07,KOSPI
003570,146837,33252697,4618023650,1045797320650.0,0.44,KOSPI
064960,152042,26540272,4264778100,744454629600.0,0.57,KOSPI
100840,93045,20680783,2521519500,560449219300.0,0.45,KOSPI
036530,32962,16303886,1567343100,775249779300.0,0.2,KOSPI
000390,214196,27203469,1349434800,171381854700.0,0.79,KOSPI
011810,43226,31017927,152587780,109493282310.0,0.14,KOSPI
465770,63404,7218380,232692680,26491454600.0,0.88,KOSPI
077970,7491,40148063,196638750,1053886653750.0,0.02,KOSPI
002820,0,12063204,0,18287817264.0,0.0,KOSPI
002170,4696,3000000,265324000,169500000000.0,0.16,KOSPI
084870,0,20458256,0,44598998080.0,0.0,KOSPI
002710,274927,26213697,2724526570,259777737270.0,1.05,KOSPI
069260,0,40878588,0,659371624440.0,0.0,KOSPI
007980,108000,46897350,203688000,88448402100.0,0.23,KOSPI
002900,58995,41400000,415914750,291870000000.0,0.14,KOSPI
024070,0,15326438,0,30239062174.0,0.0,KOSPI
037270,90851,63663110,305259360,213908049600.0,0.14,KOSPI
139130,1087534,158363408,18901340920,2752356031040.0,0.69,KOSPI
000500,248897,29777607,40445762500,4838861137500.0,0.84,KOSPI
000860,0,13000000,0,157950000000.0,0.0,KOSPI
035250,2361206,213940500,34119426700,3091440225000.0,1.1,KOSPI
011420,246109,27549644,363010775,40635724900.0,0.89,KOSPI
002100,13995,19522575,130293450,181755173250.0,0.07,KOSPI
009450,202418,14568592,13420313400,965897649600.0,1.39,KOSPI
267290,21696,5895406,470803200,127930310200.0,0.37,KOSPI
012320,13462,2365023,644829800,113284601700.0,0.57,KOSPI
000050,30758,27415270,262365740,233852253100.0,0.11,KOSPI
214390,130527,23906860,670908780,122881260400.0,0.55,KOSPI
012610,195848,41616365,659028520,140039068225.0,0.47,KOSPI
009140,0,1570797,0,33379436250.0,0.0,KOSPI
013580,84147,8930907,1943795700,206303951700.0,0.94,KOSPI
012200,127020,27222829,578576100,123999986095.0,0.47,KOSPI
012205,0,1169079,0,8008191150.0,0.0,KOSPI
002140,173541,24939425,386996430,55614917750.0,0.7,KOSPI
010130,97809,20872969,119229171000,25444149211000.0,0.47,KOSPI
002240,55035,27000000,955407600,468720000000.0,0.2,KOSPI
009290,433400,49799808,2643740000,303778828800.0,0.87,KOSPI
017040,481043,43337615,448332076,40390657180.0,1.11,KOSPI
017900,365639,57943763,2987270630,473400543710.0,0.63,KOSPI
037710,130166,7627172,5011391000,293646122000.0,1.71,KOSPI
030610,152329,113962961,1544616060,1155584424540.0,0.13,KOSPI
339770,92753,49965080,355243990,191366256400.0,0.19,KOSPI
007690,6590,9260832,257998500,362561572800.0,0.07,KOSPI
002720,51402,21159832,167313510,68875253160.0,0.24,KOSPI
083420,91415,24000000,450675950,118320000000.0,0.38,KOSPI
014530,0,34869420,0,114894738900.0,0.0,KOSPI
014280,83663,29329357,376483500,131982106500.0,0.29,KOSPI
014285,0,589875,0,3374085000.0,0.0,KOSPI
008870,0,1000000,0,39500000000.0,0.0,KOSPI
001570,77613,63967196,768368700,633275240400.0,0.12,KOSPI
002990,438785,37259974,6121050750,519776637300.0,1.18,KOSPI
002995,0,292266,0,6780571200.0,0.0,KOSPI
011780,39271,25157325,4967781500,3182401612500.0,0.16,KOSPI
011785,0,3023486,0,154802483200.0,0.0,KOSPI
214330,96607,10456929,561286670,60754757490.0,0.92,KOSPI
001210,62988,12376016,389265840,76483778880.0,0.51,KOSPI
073240,4410462,287260287,34357498980,2237757635730.0,1.54,KOSPI
092440,0,29200000,0,59276000000.0,0.0,KOSPI
000270,39168,390412998,5373849600,53564663325600.0,0.01,KOSPI
024110,1259347,797425869,25753646150,16307359021050.0,0.16,KOSPI
013700,0,59750830,0,97991361200.0,0.0,KOSPI
004540,124898,37240693,151251478,45098479223.0,0.34,KOSPI
004545,0,366160,0,1653212400.0,0.0,KOSPI
001260,0,9832572,0,77775644520.0,0.0,KOSPI
008350,733038,129079090,740368380,130369880900.0,0.57,KOSPI
008355,0,307890,0,2299938300.0,0.0,KOSPI
