티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
051905,0,2096259,0,213399166200.0,0.0,KOSPI
064400,869413,96885948,86071887000,9591708852000.0,0.9,KOSPI
373220,3074218,234000000,1218927437000,92781000000000.0,1.31,KOSPI
003555,0,3011199,0,210181690200.0,0.0,KOSPI
032640,2921651,424427732,43591032920,6332461761440.0,0.69,KOSPI
011070,68270,23667107,77622990000,26909500659000.0,0.29,KOSPI
066570,2219068,162884638,550328864000,40395390224000.0,1.36,KOSPI
066575,0,17181299,0,1443229116000.0,0.0,KOSPI
037560,301192,77446865,712319080,183161835725.0,0.39,KOSPI
051910,17465,70592343,5745985000,23224880847000.0,0.02,KOSPI
051915,0,7688800,0,1136404640000.0,0.0,KOSPI
079550,0,22000000,0,15950000000000.0,0.0,KOSPI
006260,0,31200000,0,12090000000000.0,0.0,KOSPI
010120,493393,150000000,108299763500,32925000000000.0,0.33,KOSPI
000680,0,78803016,0,241925259120.0,0.0,KOSPI
229640,16184,30624879,927343200,1754805566700.0,0.05,KOSPI
108320,206720,16264300,10077600000,792884625000.0,1.27,KOSPI
001120,81054,38760000,3144895200,1503888000000.0,0.21,KOSPI
108670,28330,8967670,893811500,282929988500.0,0.32,KOSPI
108675,0,1032330,0,16228227600.0,0.0,KOSPI
383800,363622,76280690,2865341360,601091837200.0,0.48,KOSPI
38380K,0,1465285,0,11751585700.0,0.0,KOSPI
023150,48000,7378526,198720000,30547097640.0,0.65,KOSPI
035420,1784854,156873776,458707478000,40316560432000.0,1.14,KOSPI
036570,58092,21544022,15365334000,5698393819000.0,0.27,KOSPI
181710,120162,32753139,5106885000,1392008407500.0,0.37,KOSPI
400760,0,54929275,0,163963885875.0,0.0,KOSPI
005940,1416804,356344369,44275125000,11135761531250.0,0.4,KOSPI
005945,0,18870968,0,455733877200.0,0.0,KOSPI
338100,0,18660000,0,65776500000.0,0.0,KOSPI
034310,55513,36757157,709456140,469756466460.0,0.15,KOSPI
030190,337668,58911527,4676701800,815924648950.0,0.57,KOSPI
008260,225452,28600117,668465180,84799346905.0,0.79,KOSPI
004250,87495,36720000,262047525,109976400000.0,0.24,KOSPI
004255,0,5280000,0,10523040000.0,0.0,KOSPI
456040,13101,8952495,1421458500,971345707500.0,0.15,KOSPI
010060,180412,18670232,46185472000,4779579392000.0,0.97,KOSPI
178920,53356,29366322,1141818400,628439290800.0,0.18,KOSPI
001340,403309,44973248,2222232590,247802596480.0,0.9,KOSPI
005490,23261,79241527,8478634500,28883536591500.0,0.03,KOSPI
010950,389585,112582792,43204976500,12485431632800.0,0.35,KOSPI
010955,0,4021927,0,210748974800.0,0.0,KOSPI
034120,0,18551238,0,233745598800.0,0.0,KOSPI
003080,0,20020000,0,45745700000.0,0.0,KOSPI
005090,46910,14409333,2368955000,727671316500.0,0.33,KOSPI
001380,0,22482071,0,32778859518.0,0.0,KOSPI
004060,44204,20242496,127749560,58500813440.0,0.22,KOSPI
001770,0,1214878,0,15866306680.0,0.0,KOSPI
002360,0,11113373,0,21593283739.0,0.0,KOSPI
009160,0,65370968,0,295803630200.0,0.0,KOSPI
033530,177957,27820961,1202989320,188069696360.0,0.64,KOSPI
123700,89751,15604898,291690750,50715918500.0,0.58,KOSPI
025530,0,14934008,0,51074307360.0,0.0,KOSPI
034730,0,72502703,0,43066605582000.0,0.0,KOSPI
011790,867394,49598298,117531887000,6720569379000.0,1.75,KOSPI
018670,50404,9257244,10710850000,1967164350000.0,0.54,KOSPI
001740,3657431,200593889,52264688990,2866486673810.0,1.82,KOSPI
006120,83039,17413751,3699387450,775782607050.0,0.48,KOSPI
006125,0,1231705,0,45881011250.0,0.0,KOSPI
210980,34966,18617382,395815120,210748764240.0,0.19,KOSPI
395400,869951,301017620,4210562840,1456925280800.0,0.29,KOSPI
302440,1331222,78456553,51917658000,3059805567000.0,1.7,KOSPI
326030,41123,78313250,3779203700,7196987675000.0,0.05,KOSPI
402340,8234,131958386,10448946000,167455191834000.0,0.01,KOSPI
361610,1863557,81787100,31736375710,1392834313000.0,2.28,KOSPI
100090,1274772,62478129,18535184880,908431995660.0,2.04,KOSPI
03473K,462,566135,168630000,206639275000.0,0.08,KOSPI
096770,146119,169052788,15444778300,17868879691600.0,0.09,KOSPI
096775,0,1248426,0,76653356400.0,0.0,KOSPI
475150,293439,34067004,10020941850,1163388186600.0,0.86,KOSPI
001510,5248862,231295085,15667853070,690415828725.0,2.27,KOSPI
001515,0,1956257,0,9976910700.0,0.0,KOSPI
285130,85869,17298766,3477694500,700600023000.0,0.5,KOSPI
28513K,0,2115429,0,45375952050.0,0.0,KOSPI
017670,324413,214790053,35069045300,23218804729300.0,0.15,KOSPI
000660,1000,712702365,2215000000,1578635738475000.0,0.0,KOSPI
003570,212566,33252697,8460126800,1323457340600.0,0.64,KOSPI
064960,51982,26540272,1460694200,745781643200.0,0.2,KOSPI
100840,110312,20680783,3546530800,664887173450.0,0.53,KOSPI
036530,15390,16303886,742567500,786662499500.0,0.09,KOSPI
000390,329791,27203469,2107364490,173830166910.0,1.21,KOSPI
