티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
095570,107990,45252759,433579850,181689827385.0,0.24,KOSPI
006840,0,13247561,0,74981195260.0,0.0,KOSPI
027410,165209,95716791,641010920,371381149080.0,0.17,KOSPI
282330,68912,17283906,7980009600,2001476314800.0,0.4,KOSPI
138930,89349,310327033,1523400450,5291075912650.0,0.03,KOSPI
001460,6211,6246150,211484550,212681407500.0,0.1,KOSPI
001465,0,2153850,0,48784702500.0,0.0,KOSPI
001040,508020,29176998,78590694000,4513681590600.0,1.74,KOSPI
079160,2965356,165582471,12914125380,721111661205.0,1.79,KOSPI
00104K,1064,4226512,160025600,635667404800.0,0.03,KOSPI
000120,50175,22812344,3717967500,1690394690400.0,0.22,KOSPI
011150,394449,35930773,769964448,70136868896.0,1.1,KOSPI
011155,0,200000,0,1646000000.0,0.0,KOSPI
001045,0,2260223,0,151886985600.0,0.0,KOSPI
097950,55423,15054186,10258797300,2786529828600.0,0.37,KOSPI
097955,0,1327433,0,158893730100.0,0.0,KOSPI
000480,0,46890490,0,228825591200.0,0.0,KOSPI
000590,0,1154482,0,80582843600.0,0.0,KOSPI
012030,1930595,201173933,3509821710,365734210194.0,0.96,KOSPI
005830,6578,65500349,880794200,8770496731100.0,0.01,KOSPI
016610,12520,42446389,117187200,397298201040.0,0.03,KOSPI
000990,1356196,43504588,195563463200,6273361589600.0,3.12,KOSPI
000300,0,41437055,0,174035631000.0,0.0,KOSPI
001530,296263,20715621,6621478050,462994129350.0,1.43,KOSPI
015590,537364,53396308,1206382180,119874711460.0,1.01,KOSPI
000210,13373,20955884,578382250,906341983000.0,0.06,KOSPI
000215,0,1686115,0,34481051750.0,0.0,KOSPI
375500,876395,38693623,56176919500,2480261234300.0,2.26,KOSPI
37550L,0,2111951,0,90602697900.0,0.0,KOSPI
37550K,0,2113885,0,47139635500.0,0.0,KOSPI
007340,316795,58510865,12101569000,2235115043000.0,0.54,KOSPI
004840,0,19272364,0,83545697940.0,0.0,KOSPI
155660,0,16000000,0,69120000000.0,0.0,KOSPI
069730,0,14400000,0,80784000000.0,0.0,KOSPI
017860,289064,17759139,3402283280,209025066030.0,1.63,KOSPI
092780,0,13168460,0,45299502400.0,0.0,KOSPI
017940,5140,6860000,408116000,544684000000.0,0.07,KOSPI
365550,3701388,246089000,12288608160,817015480000.0,1.5,KOSPI
383220,80212,38307075,6192366400,2957306190000.0,0.21,KOSPI
007700,0,39114367,0,583977499310.0,0.0,KOSPI
114090,191880,61855670,1980201600,638350514400.0,0.31,KOSPI
078930,0,92895495,0,6158971318500.0,0.0,KOSPI
006360,3181201,85581490,79848145100,2148095399000.0,3.72,KOSPI
001250,314199,82533764,821630385,215825792860.0,0.38,KOSPI
007070,84770,83607415,1992095000,1964774252500.0,0.1,KOSPI
078935,0,1779676,0,92899087200.0,0.0,KOSPI
499790,4500,19830841,164700000,725808780600.0,0.02,KOSPI
012630,98869,59741721,2056475200,1242627796800.0,0.17,KOSPI
039570,14949,25957601,112565970,195460735530.0,0.06,KOSPI
089470,0,31900000,0,119465500000.0,0.0,KOSPI
267270,17969,47921897,2242531200,5980652745600.0,0.04,KOSPI
009540,143679,70773116,50287650000,24770590600000.0,0.2,KOSPI
267250,0,78993085,0,15759120457500.0,0.0,KOSPI
443060,177036,44833460,39744582000,10065111770000.0,0.39,KOSPI
071970,41590,33921495,2437174000,1987799607000.0,0.12,KOSPI
322000,87820,11200000,12198198000,1555680000000.0,0.78,KOSPI
267260,243103,36047135,236296116000,35037815220000.0,0.67,KOSPI
329180,2694944,104961225,1595406848000,62137045200000.0,2.57,KOSPI
097230,1247612,90295344,25139381800,1819451181600.0,1.38,KOSPI
014790,0,37858601,0,94646502500.0,0.0,KOSPI
003580,0,50663505,0,83341465725.0,0.0,KOSPI
204320,394478,46957120,19329422000,2300898880000.0,0.84,KOSPI
060980,23566,9078847,907291000,349535609500.0,0.26,KOSPI
011200,11079180,943237970,206183539800,17553658621700.0,1.17,KOSPI
035000,0,16207644,0,111346514280.0,0.0,KOSPI
002460,0,10150000,0,111650000000.0,0.0,KOSPI
487570,23608,3725927,1127282000,177913014250.0,0.63,KOSPI
298050,102160,4479948,16355816000,717239674800.0,2.28,KOSPI
015360,0,27250000,0,384225000000.0,0.0,KOSPI
294870,47552,65907330,854033920,1183695646800.0,0.07,KOSPI
175330,820883,188253584,20357898400,4668688883200.0,0.44,KOSPI
234080,62217,15834554,708651630,180355570060.0,0.39,KOSPI
001060,19920,23285930,511944000,598448401000.0,0.09,KOSPI
001067,0,209973,0,9049836300.0,0.0,KOSPI
001065,0,341951,0,6821922450.0,0.0,KOSPI
096760,0,73924942,0,271674161850.0,0.0,KOSPI
008970,1583356,103766907,1920610828,125869258191.0,1.53,KOSPI
105560,95653,354687734,15208827000,56395349706000.0,0.03,KOSPI
415640,0,122545548,0,1242611856720.0,0.0,KOSPI
432320,0,150764285,0,199461149055.0,0.0,KOSPI
002380,4602,8592896,2238873000,4180443904000.0,0.05,KOSPI
344820,72403,15970512,1592866000,351351264000.0,0.45,KOSPI
009070,130066,30000000,530018950,122250000000.0,0.43,KOSPI
009440,0,23239141,0,17568790596.0,0.0,KOSPI
119650,0,109785309,0,100782913662.0,0.0,KOSPI
092220,677055,40152628,2400159975,142341066260.0,1.69,KOSPI
003620,842778,202374912,2351350620,564626004480.0,0.42,KOSPI
016380,309596,100008897,1625379000,525046709250.0,0.31,KOSPI
001390,363117,67233030,1505119965,278680909350.0,0.54,KOSPI
001940,15404,14176380,373547000,343777215000.0,0.11,KOSPI
025000,0,4378709,0,210834838350.0,0.0,KOSPI
092230,0,4224646,0,333747034000.0,0.0,KOSPI
000040,0,86375184,0,23925925968.0,0.0,KOSPI
044450,124050,23085880,1133817000,211004943200.0,0.54,KOSPI
030200,1219904,252021685,64532921600,13331947136500.0,0.48,KOSPI
033780,0,103810456,0,17616634383200.0,0.0,KOSPI
058850,298325,41404450,668248000,92745968000.0,0.72,KOSPI
058860,53487,34802000,131578020,85612920000.0,0.15,KOSPI
093050,10441,29240000,231790200,649128000000.0,0.04,KOSPI
003550,1619884,151192004,157614713200,14710981989200.0,1.07,KOSPI
034220,19235992,500000000,221790987760,5765000000000.0,3.85,KOSPI
051900,115565,14975523,26522167500,3436882528500.0,0.77,KOSPI
051905,0,2096259,0,199144605000.0,0.0,KOSPI
064400,492593,96885948,38816328400,7634612702400.0,0.51,KOSPI
373220,3271238,234000000,1184188156000,84708000000000.0,1.4,KOSPI
003555,0,3011199,0,197534654400.0,0.0,KOSPI
032640,3140735,424427732,43970290000,5941988248000.0,0.74,KOSPI
011070,18653,23667107,18298593000,23217431967000.0,0.08,KOSPI
066570,1921324,162884638,390028772000,33065581514000.0,1.18,KOSPI
066575,0,17181299,0,1255952956900.0,0.0,KOSPI
037560,125930,77446865,210680890,129568605145.0,0.16,KOSPI
051910,0,70592343,0,19765856040000.0,0.0,KOSPI
051915,0,7688800,0,1053365600000.0,0.0,KOSPI
079550,30116,22000000,21653404000,15818000000000.0,0.14,KOSPI
006260,0,31200000,0,11403600000000.0,0.0,KOSPI
010120,419779,150000000,99907402000,35700000000000.0,0.28,KOSPI
000680,0,78803016,0,223800565440.0,0.0,KOSPI
229640,51394,30624879,2698185000,1607806147500.0,0.17,KOSPI
108320,176676,16264300,7252549800,667649515000.0,1.09,KOSPI
001120,8347,38760000,307169600,1426368000000.0,0.02,KOSPI
108670,30686,8967670,983486300,287413823500.0,0.34,KOSPI
108675,0,1032330,0,16114671300.0,0.0,KOSPI
383800,487026,76280690,3574770840,559900264600.0,0.64,KOSPI
38380K,0,1465285,0,10843109000.0,0.0,KOSPI
023150,48000,7378526,206640000,31764554430.0,0.65,KOSPI
