티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
095570,107990,45252759,470296450,197075765445.0,0.24,KOSPI
006840,0,13247561,0,97237097740.0,0.0,KOSPI
027410,31988,95716791,129071580,386217251685.0,0.03,KOSPI
282330,22610,17283906,3228708000,2468141776800.0,0.13,KOSPI
138930,98672,310327033,1446531520,4549394303780.0,0.03,KOSPI
001460,6211,6246150,227012050,228296782500.0,0.1,KOSPI
001465,0,2153850,0,57507795000.0,0.0,KOSPI
001040,432409,29176998,53099825200,3582935354400.0,1.48,KOSPI
079160,2645560,165582797,13439444800,841160608760.0,1.6,KOSPI
00104K,1117,4226512,132476200,501264323200.0,0.03,KOSPI
000120,39017,22812344,2848241000,1665301112000.0,0.17,KOSPI
011150,173568,35930773,342796800,70963276675.0,0.48,KOSPI
011155,0,200000,0,1298000000.0,0.0,KOSPI
001045,0,2260223,0,159571743800.0,0.0,KOSPI
097950,78492,15054186,14136409200,2711258898600.0,0.52,KOSPI
097955,2268,1327433,279417600,163539745600.0,0.17,KOSPI
000480,0,46890490,0,218040778500.0,0.0,KOSPI
000590,0,1154482,0,76773053000.0,0.0,KOSPI
012030,580476,201173933,842270676,291903376783.0,0.29,KOSPI
005830,0,65500349,0,12281315437500.0,0.0,KOSPI
016610,17910,42446389,163697400,387959995460.0,0.04,KOSPI
000990,459870,43504588,43043832000,4072029436800.0,1.06,KOSPI
000300,0,41437055,0,174035631000.0,0.0,KOSPI
001530,392708,20715621,9424992000,497174904000.0,1.9,KOSPI
015590,468155,53396308,696614640,79453706304.0,0.88,KOSPI
000210,12747,20955884,638624700,1049889788400.0,0.06,KOSPI
000215,0,1686115,0,40466760000.0,0.0,KOSPI
375500,638767,38693623,45863470600,2778202131400.0,1.65,KOSPI
37550L,0,2111951,0,99895282300.0,0.0,KOSPI
37550K,0,2113885,0,53164207750.0,0.0,KOSPI
007340,161003,58510865,8710262300,3165437796500.0,0.28,KOSPI
004840,0,19272364,0,81811185180.0,0.0,KOSPI
155660,0,16000000,0,73680000000.0,0.0,KOSPI
069730,0,14400000,0,82944000000.0,0.0,KOSPI
017860,198525,17759139,2273111250,203342141550.0,1.12,KOSPI
092780,0,13168460,0,45497029300.0,0.0,KOSPI
