티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
095570,107990,45252759,478395700,200469722370.0,0.24,KOSPI
006840,0,13247561,0,98694329450.0,0.0,KOSPI
027410,33721,95716791,138930520,394353178920.0,0.04,KOSPI
282330,17120,17283906,2621072000,2646166008600.0,0.1,KOSPI
138930,151952,310327033,2302072800,4701454549950.0,0.05,KOSPI
001460,6211,6246150,237570750,238915237500.0,0.1,KOSPI
001465,0,2153850,0,54492405000.0,0.0,KOSPI
001040,415391,29176998,60522468700,4251088608600.0,1.42,KOSPI
079160,2584239,165582596,14368368840,920639233760.0,1.56,KOSPI
00104K,0,4226512,0,572692376000.0,0.0,KOSPI
000120,32713,22812344,2584327000,1802175176000.0,0.14,KOSPI
011150,244511,35930773,492689665,72400507595.0,0.68,KOSPI
011155,0,200000,0,1450000000.0,0.0,KOSPI
001045,0,2260223,0,171776948000.0,0.0,KOSPI
097950,52408,15054186,10717436000,3078581037000.0,0.35,KOSPI
097955,838,1327433,106426000,168583991000.0,0.06,KOSPI
000480,0,46890490,0,220385303000.0,0.0,KOSPI
000590,0,1154482,0,76080363800.0,0.0,KOSPI
012030,621539,201173933,906825401,293512768247.0,0.31,KOSPI
005830,6578,65500349,1091290200,10866507899100.0,0.01,KOSPI
016610,20869,42446389,190742660,387959995460.0,0.05,KOSPI
000990,315995,43504588,26575179500,3658735850800.0,0.73,KOSPI
000300,0,41437055,0,174035631000.0,0.0,KOSPI
001530,401704,20715621,9881918400,509604276600.0,1.94,KOSPI
015590,494901,53396308,821535660,88637871280.0,0.93,KOSPI
000210,16221,20955884,825648900,1066654495600.0,0.08,KOSPI
000215,0,1686115,0,38780645000.0,0.0,KOSPI
375500,644235,38693623,46384920000,2785940856000.0,1.66,KOSPI
37550L,0,2111951,0,100634465150.0,0.0,KOSPI
37550K,0,2113885,0,49887686000.0,0.0,KOSPI
007340,340678,58510865,16216272800,2785117174000.0,0.58,KOSPI
004840,0,19272364,0,85280210700.0,0.0,KOSPI
155660,0,16000000,0,73920000000.0,0.0,KOSPI
069730,0,14400000,0,84816000000.0,0.0,KOSPI
017860,201080,17759139,2384808800,210623388540.0,1.13,KOSPI
092780,0,13168460,0,42204914300.0,0.0,KOSPI
017940,0,6860000,0,596820000000.0,0.0,KOSPI
365550,4092438,246089000,13300423500,799789250000.0,1.66,KOSPI
383220,158191,38307075,10598797000,2566574025000.0,0.41,KOSPI
007700,11956,39114367,169536080,554641724060.0,0.03,KOSPI
114090,95884,61855670,910898000,587628865000.0,0.16,KOSPI
078930,54831,92895495,5422785900,9187364455500.0,0.06,KOSPI
006360,3943347,85581490,124806932550,2708654158500.0,4.61,KOSPI
001250,193754,82533764,561886600,239347915600.0,0.23,KOSPI
