corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01009789,코스맥스,192820,Y,주주명부폐쇄기간또는기준일설정              ,20250901800930,코스맥스,20250901,유
00219574,코스맥스비티아이,044820,Y,주요사항보고서(회사합병결정)(자회사의 주요경영사항)              ,20250901800929,코스맥스비티아이,20250901,유정
00569646,영우디에스피,143540,K,단일판매ㆍ공급계약체결              ,20250901900927,영우디에스피,20250901,코
00896753,에코글로우,159910,K,전환사채(해외전환사채포함)발행후만기전사채취득              (제11회차),20250901900906,에코글로우,20250901,코
00660033,씨엔플러스,115530,K,소송등의제기ㆍ신청(일정금액이상의청구)              ,20250901900895,씨엔플러스,20250901,코
00159023,SK텔레콤,017670,Y,증권신고서(채무증권),20250901000562,SK텔레콤,20250901,정
00426068,엑시온그룹,069920,K,주권매매거래정지해제              (상장적격성 실질심사 대상 제외 결정),20250901900903,코스닥시장본부,20250901,코
00632845,노랑풍선,104620,K,주식등의대량보유상황보고서(약식),20250901000560,브이씨엠그로쓰제1호사모투자,20250901,
00115694,DB증권,016610,Y,주요사항보고서(자기주식취득신탁계약해지결정),20250901000551,DB증권,20250901,
00435312,하이스틸,071090,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250901000555,엄신철,20250901,
00155212,포스코DX,022100,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250901000554,심민석,20250901,
00426068,엑시온그룹,069920,K,기타시장안내              (상장적격성 실질심사 대상 제외 결정),20250901900896,코스닥시장본부,20250901,코
00435312,하이스틸,071090,Y,최대주주변경              ,20250901800888,하이스틸,20250901,유
00148993,하이트진로홀딩스,000140,Y,증권신고서(채무증권),20250901000552,하이트진로홀딩스,20250901,정
00296290,키움증권,039490,Y,증권발행실적보고서,20250901000550,키움증권,20250901,
00148531,제이스코홀딩스,023440,K,주요사항보고서(자기전환사채매도결정),20250901000542,제이스코홀딩스,20250901,
00259545,엠에스오토텍,123040,K,최대주주변경을수반하는주식담보제공계약체결              ,20250901900887,엠에스오토텍,20250901,코
00136721,신영증권,001720,Y,투자설명서(일괄신고),20250901000549,신영증권,20250901,
01011526,엔켐,348370,K,[기재정정]주요사항보고서(자기전환사채매도결정),20250901000547,엔켐,20250901,정
01394377,이지스밸류플러스리츠,334890,Y,[기재정정]증권신고서(집합투자증권-회사형)(㈜이지스밸류플러스위탁관리부동산투자회사),20250901000494,이지스밸류플러스리츠,20250901,정
00142661,우성,006980,Y,최대주주등소유주식변동신고서              ,20250901800889,우성,20250901,유
00136721,신영증권,001720,Y,일괄신고추가서류(파생결합증권-주가연계증권),20250901000544,신영증권,20250901,
00142661,우성,006980,Y,주식등의대량보유상황보고서(일반),20250901000543,정보연,20250901,
00661847,화인베스틸,133820,Y,전환청구권ㆍ신주인수권ㆍ교환청구권행사              ,20250901800877,화인베스틸,20250901,유
00661847,화인베스틸,133820,Y,[기재정정]자기전환사채만기전취득결정              ,20250901800874,화인베스틸,20250901,유정
00159102,DB손해보험,005830,Y,증권발행실적보고서,20250901000541,DB손해보험,20250901,
00176516,금화피에스시,036190,K,[기재정정]단일판매ㆍ공급계약체결              ,20250901900852,금화피에스시,20250901,코정
01214248,뉴트리,270870,K,주식등의대량보유상황보고서(일반),20250901000539,김도언,20250901,
01136348,나무기술,242040,K,[기재정정]주식등의대량보유상황보고서(일반),20250901000538,이수병,20250901,
00173591,세원물산,024830,K,주식등의대량보유상황보고서(약식),20250901000535,한세희,20250901,
00148531,제이스코홀딩스,023440,K,[기재정정]주요사항보고서(자기전환사채매도결정),20250901000533,제이스코홀딩스,20250901,
01762569,이수스페셜티케미컬,457190,Y,주요사항보고서(자기주식처분결정),20250901000516,이수스페셜티케미컬,20250901,
00148610,한화투자증권,003530,Y,[기재정정]증권발행실적보고서,20250901000529,한화투자증권,20250901,
00605328,씨앤지하이테크,264660,K,[기재정정]주요사항보고서(유형자산양수결정),20250901000520,씨앤지하이테크,20250901,
00599957,슈프리마에이치큐,094840,K,주요사항보고서(자기주식처분결정),20250901000506,슈프리마에이치큐,20250901,
00795135,코오롱인더,120110,Y,증권신고서(채무증권),20250901000527,코오롱인더,20250901,정
00102432,계룡건설산업,013580,Y,단일판매ㆍ공급계약체결              ,20250901800849,계룡건설산업,20250901,유
01663569,하스,450330,K,주식등의대량보유상황보고서(일반),20250901000526,김용수,20250901,
00148610,한화투자증권,003530,Y,투자설명서(일괄신고),20250901000523,한화투자증권,20250901,
00267906,베뉴지,019010,K,소송등의제기ㆍ신청(경영권분쟁소송)              (임시주주총회소집허가),20250901900857,베뉴지,20250901,코
00435969,인피니트헬스케어,071200,K,소송등의제기ㆍ신청(경영권분쟁소송)              (주주명부 열람 및 등사가처분),20250901900854,인피니트헬스케어,20250901,코
00140955,한솔케미칼,014680,Y,최대주주등소유주식변동신고서              ,20250901800862,한솔케미칼,20250901,유
00363510,제이케이시냅스,060230,K,[기재정정]주요사항보고서(전환사채권발행결정),20250901000515,제이케이시냅스,20250901,정
01141599,아리바이오LAB,261780,K,주식등의대량보유상황보고서(일반),20250901000517,차바이오텍,20250901,
00135795,신도리코,029530,Y,투자판단관련주요경영사항              ,20250901800833,신도리코,20250901,유
00449379,도이치모터스,067990,K,자기주식취득결과보고서,20250901000514,도이치모터스,20250901,
00120872,만호제강,001080,Y,주주총회소집결의              ,20250901800813,만호제강,20250901,유
01364297,코퍼스코리아,322780,K,전환청구권행사              ,20250901900853,코퍼스코리아,20250901,코
00148610,한화투자증권,003530,Y,일괄신고추가서류(파생결합증권-주가연계증권),20250901000511,한화투자증권,20250901,
01214248,뉴트리,270870,K,임원ㆍ주요주주특정증권등소유상황보고서,20250901000510,박기범,20250901,
00265324,CJ ENM,035760,K,기업설명회(IR)개최              ,20250901900847,CJ ENM,20250901,코
00180865,디에이치엑스컴퍼니,031860,K,[기재정정]주요사항보고서(유상증자결정),20250901000490,디에이치엑스컴퍼니,20250901,정
00155212,포스코DX,022100,Y,최대주주등소유주식변동신고서              ,20250901800844,포스코DX,20250901,유
00113562,롯데손해보험,000400,Y,사외이사의선임ㆍ해임또는중도퇴임에관한신고,20250901000503,롯데손해보험,20250901,
00120182,NH투자증권,005940,Y,투자설명서(일괄신고),20250901000501,NH투자증권,20250901,
00530413,더코디,224060,K,[기재정정]주주총회소집공고,20250901000497,더코디,20250901,
00120182,NH투자증권,005940,Y,일괄신고추가서류(파생결합증권-주가연계증권),20250901000491,NH투자증권,20250901,
01409022,페니트리움바이오,187660,K,전환청구권행사              ,20250901900837,페니트리움바이오,20250901,코
00755739,파인테크닉스,106240,K,교환청구권행사              ,20250901900834,파인테크닉스,20250901,코
01498974,큐리옥스바이오시스템즈,445680,K,주식매수선택권부여에관한신고,20250901000486,큐리옥스바이오시스템즈,20250901,
00147860,에스엠벡셀,010580,Y,최대주주등소유주식변동신고서              ,20250901800831,에스엠벡셀,20250901,유
00530413,더코디,224060,K,[기재정정]주주명부폐쇄기간또는기준일설정              ,20250901900816,더코디,20250901,코
00530413,더코디,224060,K,[기재정정]주주총회소집결의              (임시주주총회),20250901900812,더코디,20250901,코정
01112889,피엔에이치테크,239890,K,전환사채(해외전환사채포함)발행후만기전사채취득              ,20250901900830,피엔에이치테크,20250901,코
00480367,SK오션플랜트,100090,Y,투자판단관련주요경영사항              ,20250901800796,SK오션플랜트,20250901,유정
00159193,한국전력공사,015760,Y,[기재정정]타인에대한채무보증결정              ,20250901800829,한국전력공사,20250901,유
00120182,NH투자증권,005940,Y,투자설명서(일괄신고),20250901000483,NH투자증권,20250901,
01011368,에이치브이엠,295310,K,주식등의대량보유상황보고서(일반),20250901000482,최재영,20250901,
00389970,다날,064260,K,주식등의대량보유상황보고서(일반),20250901000481,박성찬,20250901,
00918222,엘앤케이바이오,156100,K,기업설명회(IR)개최              ,20250901900824,엘앤케이바이오,20250901,코
00139214,삼성화재해상보험,000810,Y,대규모기업집단현황공시[분기별공시(개별회사용)],20250901000477,삼성화재해상보험,20250901,공
00110893,대신증권,003540,Y,증권발행실적보고서,20250901000476,대신증권,20250901,
00113359,교보증권,030610,Y,투자설명서(일괄신고),20250901000473,교보증권,20250901,
01166109,예선테크,250930,K,주식등의대량보유상황보고서(일반),20250901000470,전춘섭,20250901,
00113359,교보증권,030610,Y,투자설명서(일괄신고),20250901000468,교보증권,20250901,
00632793,전진바이오팜,110020,K,소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회 개최금지등 가처분),20250901900795,전진바이오팜,20250901,코정
00530121,디에스케이,109740,K,임원ㆍ주요주주특정증권등소유상황보고서,20250901000466,송정의,20250901,
00547583,하나금융지주,086790,Y,기업설명회(IR)개최(안내공시)              ,20250901800803,하나금융지주,20250901,유
00120182,NH투자증권,005940,Y,투자설명서(일괄신고),20250901000464,NH투자증권,20250901,
00113359,교보증권,030610,Y,일괄신고추가서류(기타파생결합사채),20250901000462,교보증권,20250901,
00148610,한화투자증권,003530,Y,투자설명서(일괄신고),20250901000461,한화투자증권,20250901,
00476498,컴투스,078340,K,주식등의대량보유상황보고서(일반),20250901000460,컴투스홀딩스,20250901,
00302926,현대로템,064350,Y,기업설명회(IR)개최(안내공시)              ,20250901800792,현대로템,20250901,유
01135640,이삭엔지니어링,351330,K,증권발행결과(자율공시)              ,20250901900788,이삭엔지니어링,20250901,코
00113508,노루홀딩스,000320,Y,최대주주등소유주식변동신고서              ,20250901800786,노루홀딩스,20250901,유
