티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4170,47908,199032615,-0.24,0,0.0,6935.0,29004550.0,-12476.0,-52100135.0,5537.0,23078945.0,320.0,1334300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5217.0,21744645.0,4.0,16640.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,7710,4793,36600620,-0.77,244040,0.67,908.0,6940250.0,-973.0,-7457910.0,425.0,3271740.0,425.0,3271740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-360.0,-2754080.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,3815,31241,119550895,-1.04,844330,0.71,-2656.0,-10137983.0,-4971.0,-19055880.0,7577.0,29002863.0,3114.0,11853555.0,0.0,0.0,0.0,0.0,1316.0,5057963.0,0.0,0.0,3147.0,12091345.0,20.0,76700.0,30.0,114300.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,145000,27628,3996243650,-2.03,1544271000,37.19,101.0,13257150.0,2606.0,374983650.0,-2706.0,-388061200.0,-2191.0,-313566800.0,-1917.0,-277499300.0,-191.0,-27629900.0,0.0,0.0,969.0,140288000.0,624.0,90346800.0,-1.0,-179600.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,15930,1260690,20150509305,2.05,2153612410,9.16,-298879.0,-4767712850.0,78711.0,1225512020.0,312116.0,5022141890.0,-48499.0,-764269440.0,-6929.0,-110489100.0,9406.0,150782135.0,0.0,0.0,350667.0,5625672785.0,7471.0,120445510.0,-91890.0,-1478960030.0,-58.0,-981030.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",38050,1426,53958000,-0.65,265950,0.32,275.0,10382100.0,-440.0,-16733450.0,169.0,6502750.0,169.0,6502750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-151400.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,26850,1239,33313600,-0.19,0,0.0,-747.0,-20085900.0,-219.0,-5891700.0,966.0,25977600.0,966.0,25977600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,128300,82652,10536622000,0.47,738889800,6.23,-15105.0,-1927007200.0,19584.0,2493347150.0,-2659.0,-335207450.0,-403.0,-48419700.0,-29.0,-3570900.0,-2368.0,-301876400.0,0.0,0.0,5471.0,697185750.0,-5286.0,-672947400.0,-1758.0,-223287500.0,-62.0,-7845000.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",5450,583288,3185551870,1.68,92662890,2.91,-300636.0,-1643144900.0,240929.0,1316770370.0,61257.0,334837530.0,-5369.0,-30345090.0,46142.0,253361130.0,0.0,0.0,0.0,0.0,20484.0,111821490.0,0.0,0.0,500.0,2730000.0,-2050.0,-11193000.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,126600,3227,404768700,0.24,1991700,0.49,-1532.0,-192165200.0,1154.0,144430200.0,373.0,47100900.0,373.0,47101400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,634100.0
000120,CJ대한통운,유가,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",72200,43315,3113511800,0.7,518481400,14.42,7586.0,542423250.0,7298.0,525624600.0,-14932.0,-1071494250.0,696.0,51619250.0,55.0,3971700.0,-6677.0,-480345750.0,0.0,0.0,-8911.0,-639936850.0,-96.0,-6874300.0,12.0,860600.0,36.0,2585800.0
011150,CJ씨푸드,유가,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",2005,31019,62557952,-0.5,5837025,9.33,-6890.0,-13912525.0,6890.0,13912525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011155,CJ씨푸드1우,KOSPI,기타/미분류,기타/미분류,6590,1258,7902750,-1.2,0,0.0,15.0,102350.0,-5.0,-32950.0,-10.0,-69400.0,-10.0,-69400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,KOSPI,기타/미분류,기타/미분류,67900,2121,143527450,-0.73,6565100,4.57,1554.0,105096150.0,-578.0,-39140050.0,-1077.0,-72783800.0,-6.0,-405900.0,0.0,0.0,-713.0,-48184100.0,0.0,0.0,0.0,0.0,-358.0,-24193800.0,100.0,6760200.0,1.0,67500.0
097950,CJ제일제당,유가,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",179700,32632,5853222150,-0.44,953047700,13.32,3029.0,543166450.0,-2654.0,-476233250.0,769.0,138620200.0,-1437.0,-257502700.0,40.0,7178500.0,876.0,157338500.0,0.0,0.0,678.0,121699000.0,612.0,109906400.0,-1148.0,-206270000.0,4.0,716600.0
