날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-02-03,2170791453382,67683229824,-2942271907278,703797224072,0,KOSPI
2026-02-03,863343042640,-65190970495,-708502996296,-89649075849,0,KOSDAQ
