날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-04-22,-404586193903,-117586918774,1198372279038,-676199166361,0,KOSPI
2026-04-22,-369113653973,-89818450859,296856655720,162075449112,0,KOSDAQ
