날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-06-01,2442734402012,-7045956425,386231493075,-2821919938662,0,KOSPI
2026-06-01,-291197455847,-23604403721,-491559807298,806361666866,0,KOSDAQ
