날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-04-16,1078312991155,245281495726,-1804981758958,481387272077,0,KOSPI
2026-04-16,-64024280058,-50241655388,360524070131,-246258134685,0,KOSDAQ
