날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-03-12,77530029135,76428417336,2229145808643,-2383104255114,0,KOSPI
2026-03-12,253098114183,-72803471019,506416785390,-686711428554,0,KOSDAQ
