Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,8784763.0,69580366859.0,4538507711.0,-1172203.0,-8827939992.0,1196649.0,8276832031.0,-12294.0,-86779763.0,-432.0,174720447.0,-1408.0,-184124900.0,-4697.0,-177551555.0,0.0,0.0,-2072.0,300924676.0,-3704.0,-220415031.0,-6567.0,674165488.0,-5585.0,-36277764.0,23
1차 철강 제조업,9379161.0,210100102362.0,11504181468.0,-472385.0,-9137237404.0,734411.0,11924853765.0,-64139.0,-2569977725.0,56070.0,4943035040.0,-22183.0,-3769486415.0,-40480.0,6340174500.0,-2565.0,-24524710.0,-24731.0,-6456158025.0,-34066.0,-3704196015.0,25167.0,222720177.0,-223054.0,-440358813.0,61
ETF,17910138.0,487814973027.0,0.0,-189428.0,-25773692915.0,1105878.0,5924259582.0,-725767.0,23416765089.0,-788828.0,15795356705.0,-4240.0,946246718.0,105385.0,13634642921.0,-57634.0,-5962296310.0,0.0,0.0,19663.0,-984483745.0,-188234.0,-3344296397.0,-2449.0,-223035359.0,7
가구 제조업,789043.0,1685874875.0,35023741.0,35950.0,38887481.0,-19887.0,-8184032.0,3235.0,3302305.0,3290.0,4677980.0,-6.0,-149425.0,-2.0,-17250.0,-41.0,-1016000.0,0.0,0.0,-6.0,-193000.0,-14542.0,-24920155.0,-4756.0,-9085599.0,9
가전제품 및 정보통신장비 소매업,38530.0,208759780.0,5418530.0,-3931.0,-19980500.0,2636.0,12023320.0,1295.0,7957180.0,1297.0,7969410.0,0.0,0.0,-2.0,-12230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
가정용 기기 제조업,7467638.0,45611188786.0,2095281293.0,-298911.0,-914088525.0,305898.0,211451591.0,4334.0,746923125.0,-8106.0,-56907635.0,248.0,15779900.0,3903.0,254714950.0,0.0,0.0,-1002.0,-63021900.0,9291.0,596357810.0,-6376.0,-19023899.0,-4945.0,-25262292.0,9
"가죽, 가방 및 유사제품 제조업",328094.0,3487516659.0,146742444.0,34693.0,52353711.0,-16262.0,29981223.0,-26320.0,-488528181.0,-1366.0,-5654401.0,-15178.0,-183115460.0,1348.0,16218080.0,0.0,0.0,0.0,0.0,-11124.0,-315976400.0,8574.0,407085943.0,-685.0,-892696.0,5
개인 및 가정용품 수리업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
개인 및 가정용품 임대업,11749.0,250068925.0,8756350.0,-1204.0,-26047175.0,825.0,16965375.0,414.0,9838400.0,-589.0,-12567150.0,-779.0,-16477100.0,1783.0,38903700.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-756600.0,0.0,0.0,1
건물 건설업,67713221.0,1017184898142.0,37261510780.0,3991934.0,56249342123.0,-3648663.0,-60428841933.0,147580.0,9164618175.0,-65536.0,-1077258590.0,-7350.0,3438960.0,140068.0,5771612355.0,-118627.0,-1123593835.0,166613.0,4326893300.0,33565.0,1278464605.0,-521261.0,-5147302398.0,30410.0,162184033.0,26
건물설비 설치 공사업,85562.0,899557220.0,25354095.0,6627.0,60270450.0,-9174.0,-101012300.0,2977.0,49054340.0,2977.0,49054340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-430.0,-8312490.0,0.0,0.0,2
"건축기술, 엔지니어링 및 관련 기술 서비스업",5055640.0,160643186274.0,22416780710.0,-597403.0,-2147025495.0,748059.0,18272890970.0,-178610.0,-15943783730.0,-103318.0,-6086182295.0,-9394.0,-897262000.0,-22048.0,-4130052310.0,0.0,0.0,-17908.0,-3156051100.0,-26280.0,-1688587590.0,27804.0,-229180205.0,150.0,47098460.0,16
"건축자재, 철물 및 난방장치 도매업",322417.0,231746631.0,1475250.0,-10679.0,-7442990.0,12430.0,8700125.0,-557.0,-409395.0,-557.0,-409395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1194.0,-847740.0,1
"경비, 경호 및 탐정업",128927.0,9189395200.0,751970400.0,13235.0,939576400.0,-2897.0,-205736200.0,-10345.0,-734319000.0,-4193.0,-296373900.0,-2498.0,-178054150.0,-3521.0,-250659950.0,0.0,0.0,0.0,172300.0,-133.0,-9403300.0,3.0,195600.0,4.0,283200.0,1
고무제품 제조업,43117164.0,322147642334.0,8359645124.0,-5832718.0,-40423025008.0,7506819.0,57936181320.0,-1580345.0,-16766429657.0,457868.0,1981478508.0,-16947.0,-962965285.0,-19844.0,-879371085.0,-1993822.0,-14066888860.0,16929.0,-1782860005.0,-24893.0,-1080275330.0,-42699.0,-386232465.0,-51057.0,-360494190.0,9
"곡물가공품, 전분 및 전분제품 제조업",2853839.0,5973100450.0,205898405.0,-144116.0,-326511103.0,51830.0,88014076.0,92559.0,238287335.0,93699.0,240686295.0,0.0,0.0,19.0,565370.0,-1159.0,-2964330.0,0.0,0.0,0.0,0.0,5588.0,11895418.0,-5861.0,-11685726.0,7
"골판지, 종이 상자 및 종이용기 제조업",904766.0,1778507616.0,128941087.0,-207514.0,-350618332.0,114924.0,202202474.0,-1951.0,37651386.0,-7996.0,-6524604.0,0.0,0.0,6045.0,44175990.0,0.0,0.0,0.0,0.0,0.0,0.0,94007.0,110197765.0,534.0,566707.0,9
"과실, 채소 가공 및 저장 처리업",127593.0,236584881.0,88950.0,-11388.0,-43699492.0,8970.0,31818545.0,2499.0,12366887.0,437.0,120947.0,0.0,0.0,2062.0,12245940.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-485940.0,0.0,0.0,3
광고업,12476720.0,88774216478.0,3007306141.0,27738.0,2843037777.0,-24759.0,-2532186508.0,-22135.0,-340979487.0,46640.0,947962052.0,-1396.0,-24809270.0,-82320.0,-1558686590.0,0.0,0.0,9321.0,176925270.0,6082.0,121066331.0,19224.0,31044147.0,-68.0,-915929.0,19
교육지원 서비스업,13365.0,28084815.0,274965.0,621.0,1308830.0,-589.0,-1240510.0,-32.0,-68320.0,-32.0,-68320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"구조용 금속제품, 탱크 및 증기발생기 제조업",6988616.0,40334809809.0,3191083140.0,-982940.0,-1747211260.0,993097.0,2519757870.0,-100879.0,-869402614.0,-43403.0,-978076780.0,-8657.0,-218421500.0,8655.0,417594325.0,0.0,0.0,3122.0,130022450.0,-60594.0,-220462459.0,66320.0,101745090.0,24402.0,-4889086.0,22
귀금속 및 장신용품 제조업,460326.0,286182637.0,3211245.0,35205.0,37167951.0,-33277.0,-35775572.0,-1397.0,-1123507.0,-1397.0,-1123507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-530.0,-267231.0,-1.0,-1641.0,2
그외 기타 개인 서비스업,228656.0,20944328000.0,843431300.0,-4656.0,-434443800.0,14667.0,1334999450.0,-9775.0,-877282300.0,-7532.0,-681360750.0,-11924.0,-1091557800.0,-10192.0,-932128950.0,0.0,0.0,5645.0,521441500.0,14204.0,1304123900.0,-236.0,-22013350.0,0.0,-1260000.0,1
그외 기타 운송장비 제조업,994711.0,113610063865.0,19829538105.0,-154657.0,-19106823440.0,269384.0,33917465802.0,-112902.0,-14532952852.0,-45697.0,-5995693922.0,-7618.0,-985287200.0,-13297.0,-1611991280.0,0.0,0.0,-34365.0,-4448387850.0,-11887.0,-1486720800.0,-2082.0,-269036600.0,257.0,-8652910.0,5
"그외 기타 전문, 과학 및 기술 서비스업",1530519.0,44082650012.0,3124507399.0,55988.0,4982945991.0,-254047.0,-14323211606.0,189570.0,8771967835.0,-9174.0,171058689.0,936.0,59493500.0,65581.0,2921040416.0,115.0,7356400.0,92106.0,3325263950.0,36823.0,2094568230.0,7005.0,553366237.0,1484.0,14931543.0,16
그외 기타 제품 제조업,486637.0,1336658671.0,17130508.0,-46920.0,-248066758.0,49561.0,185021235.0,9916.0,6932779.0,9916.0,6932779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8719.0,59368513.0,-3838.0,-3255769.0,10
금속 주조업,258552.0,381150694.0,3112131.0,-24927.0,-79837840.0,-11842.0,-6779322.0,8216.0,60105425.0,-2269.0,-14125460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10485.0,74230885.0,28553.0,26511737.0,0.0,0.0,3
금융 지원 서비스업,15356667.0,263418197422.0,23871263480.0,-3313031.0,-51953266865.0,4097231.0,74827711811.0,-587584.0,-22088070536.0,99348.0,-1551874693.0,-66212.0,-3639402594.0,-274388.0,-15675087869.0,-128.0,-10593100.0,-4692.0,-3664362420.0,-339226.0,2490495690.0,-177980.0,-528809657.0,-18636.0,-257564753.0,90
기계장비 및 관련 물품 도매업,5948294.0,48604980440.0,4535180763.0,-894637.0,-4287302859.0,837086.0,-2626064977.0,-9448.0,6835660612.0,-60233.0,426999642.0,-1008.0,176778700.0,33780.0,4197905345.0,0.0,0.0,-409.0,458196730.0,18518.0,1587639595.0,58150.0,39229687.0,8849.0,38477537.0,24
기록매체 복제업,87199.0,91480011.0,410770.0,-34.0,39543.0,25.0,-37606.0,9.0,-1937.0,9.0,-1937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
기반조성 및 시설물 축조관련 전문공사업,442672.0,1828810672.0,67675000.0,-114679.0,-622637691.0,109808.0,506624461.0,4336.0,116157665.0,5892.0,104911345.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,18494490.0,-2634.0,-7248170.0,-118.0,-326430.0,653.0,181995.0,3
기초 의약물질 제조업,12367044.0,484829921891.0,57532388940.0,-439548.0,63106788871.0,538666.0,3023078341.0,-102206.0,-68273770281.0,83549.0,-6903438481.0,-28605.0,-9188017940.0,-33015.0,-15848923965.0,0.0,0.0,-83223.0,-23202581750.0,-41421.0,-13195242595.0,4757.0,2057153335.0,-1669.0,86749734.0,48
기초 화학물질 제조업,16662731.0,359276929181.0,34932810115.0,-950018.0,-9173752400.0,280649.0,861628266.0,456565.0,7009387162.0,73212.0,-1110709643.0,-3241.0,-284724515.0,91137.0,5020158820.0,-86.0,-4567700.0,137052.0,2802222655.0,157747.0,470967185.0,206441.0,1387641291.0,6363.0,-84904319.0,51
기타 과학기술 서비스업,610238.0,2026066954.0,65698840.0,-65626.0,-301340811.0,72062.0,324882266.0,0.0,-51285.0,0.0,-51285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6314.0,-22897245.0,-122.0,-592925.0,5
기타 교육기관,10805.0,112959385.0,6643400.0,-1749.0,-4973890.0,2188.0,4554260.0,-515.0,-1401770.0,-515.0,-1401770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1821400.0,2
기타 금속 가공제품 제조업,5738388.0,47306867597.0,2023064578.0,-428662.0,145192375.0,505165.0,1296079159.0,-86509.0,-1376795552.0,7023.0,-94239422.0,4699.0,126209940.0,-122813.0,-1889501800.0,0.0,0.0,14206.0,238557850.0,10376.0,242177880.0,8308.0,-11342925.0,1698.0,-53133057.0,26
기타 금융업,26657342.0,2771555896538.0,280236322760.0,-2841524.0,-378186490668.0,3270829.0,439350116378.0,-469493.0,-47040064361.0,-86595.0,-91173791898.0,-386125.0,-18494731275.0,-374307.0,12867430303.0,-101405.0,-3846389402.0,-18805.0,31948486927.0,80981.0,-9384898011.0,41345.0,-13597468474.0,-1157.0,-526092875.0,104
기타 비금속 광물제품 제조업,2671468.0,23833483047.0,2775530154.0,-278127.0,-2395518602.0,256064.0,-363358606.0,24170.0,2755299566.0,9919.0,335399626.0,-844.0,-136762050.0,10490.0,1773546490.0,0.0,0.0,3260.0,554421500.0,1881.0,315126300.0,-133.0,-18561958.0,-1974.0,22139600.0,9
기타 사업지원 서비스업,265376.0,2178339420.0,154030220.0,-41226.0,-297501010.0,20972.0,118744475.0,1610.0,8171925.0,1806.0,11012355.0,-173.0,-2061210.0,-82.0,-975020.0,0.0,0.0,0.0,0.0,59.0,196400.0,19005.0,174003650.0,-361.0,-3419040.0,8
기타 상품 전문 소매업,820613.0,22964646282.0,1759565480.0,-4457.0,3422535606.0,63334.0,-191232166.0,-42061.0,-3081811370.0,-6729.0,-842417390.0,-2827.0,-123719350.0,-8231.0,-492277565.0,0.0,0.0,-28013.0,-1229797575.0,3740.0,-393556790.0,-21906.0,-187775610.0,5090.0,38283540.0,3
기타 생활용품 소매업,1332729.0,1429906591.0,385321.0,-211148.0,-228613469.0,181970.0,188159459.0,35601.0,46191467.0,35601.0,46191467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6403.0,-5647202.0,-20.0,-90255.0,2
기타 섬유제품 제조업,37579.0,133676298.0,526175.0,-1436.0,-817833.0,1533.0,1052448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,-234615.0,0.0,0.0,3
기타 식품 제조업,2100902.0,141641383812.0,16919976918.0,-186483.0,18547396788.0,241660.0,3270845122.0,-68836.0,-21938642885.0,-6472.0,-2488368245.0,-5759.0,-1899144465.0,-27908.0,-15204944425.0,0.0,0.0,-23164.0,-2532628515.0,5066.0,1833870465.0,11529.0,124811830.0,2130.0,-4410855.0,34
기타 운송관련 서비스업,528610.0,46819519205.0,8188342635.0,-84476.0,-1809531533.0,102591.0,5276452945.0,-18439.0,-3418051192.0,-12051.0,-2144719542.0,-7138.0,-1420845200.0,-3298.0,-738280450.0,0.0,0.0,3496.0,774821650.0,223.0,45428000.0,360.0,-18889542.0,-36.0,-29980678.0,6
기타 전기장비 제조업,2308037.0,37335746925.0,2504964145.0,-312884.0,1265146069.0,234293.0,-4061834929.0,72180.0,2458411455.0,27027.0,968093345.0,4309.0,137871900.0,29804.0,922602285.0,0.0,0.0,-3056.0,-47145315.0,14097.0,477021190.0,10123.0,442209225.0,-3712.0,-103931820.0,12
기타 전문 도매업,12036637.0,494327958280.0,29290940829.0,-1478922.0,-20245616335.0,1013997.0,-22790812486.0,106620.0,43906509354.0,-49273.0,-26195443501.0,9201.0,5598809810.0,28120.0,34217239745.0,-41.0,-3512800.0,92515.0,17837374805.0,25851.0,12196979020.0,348662.0,-862462720.0,9643.0,-7617813.0,36
기타 전문 서비스업,9127.0,88816500.0,6517380.0,-2131.0,-14717660.0,2048.0,12894870.0,-5.0,-33120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-33120.0,0.0,0.0,168.0,2390230.0,-80.0,-534320.0,2
기타 정보 서비스업,1585523.0,5522806129.0,141467786.0,-179855.0,-661025864.0,175272.0,480361992.0,13592.0,202621374.0,-2859.0,-30924606.0,-1261.0,-17896750.0,4710.0,71566165.0,0.0,0.0,0.0,0.0,13002.0,179876565.0,-11534.0,-24875617.0,2525.0,2918115.0,19
기타 종이 및 판지 제품 제조업,587247.0,1198819326.0,29779802.0,-104777.0,-249877733.0,102212.0,246358086.0,-992.0,-231568.0,-992.0,-231568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1530.0,-3316700.0,5087.0,7067915.0,3
기타 화학제품 제조업,11614548.0,481570422388.0,46481183684.0,-1063934.0,-1719417402.0,1099959.0,33537727065.0,17604.0,-30890435173.0,184116.0,2352606684.0,-23526.0,-2678806437.0,-113921.0,-21525815950.0,306.0,54240900.0,-2676.0,-3474033030.0,-25292.0,-5518604580.0,-31656.0,-38488655.0,-21973.0,-889385835.0,95
기타/미분류,11056220.0,1759832684457.0,32624340930.0,-1868968.0,-324689557896.0,1712832.0,289034107145.0,185116.0,43569982100.0,-12280.0,-282340455.0,3522.0,461914960.0,61994.0,12962152230.0,0.0,0.0,-1792.0,-56228400.0,133857.0,30518717765.0,-26818.0,-6094358714.0,-2162.0,-1820172635.0,113
나무제품 제조업,118625.0,548190875.0,28839240.0,-16549.0,-99305235.0,12517.0,76452840.0,4031.0,22852570.0,4087.0,23166280.0,0.0,0.0,-56.0,-313710.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5105.0,-1.0,-5280.0,2
"내화, 비내화 요업제품 제조업",256208.0,940743669.0,26237306.0,-15381.0,62359694.0,24087.0,-21410775.0,-8904.0,-41224394.0,-8904.0,-41224394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-22150.0,210.0,297625.0,7
