날짜,기관합계,기타법인,개인,외국인합계,전체,시장
2026-08-20,-489513680779,1053911289847,-2271236483543,1706838874475,0,KOSPI
2026-08-20,119396845584,11798770588,1595887460,-132791503632,0,KOSDAQ
