sector_id,sector_name,ticker,toss_code,name_ko,market_cap_usd,change_pct,close,analyst,signal
607,오토바이,NIU,US20181018003,NIU 테크놀로지(ADR),154726761,-2.01,1.95,,
607,오토바이,EMPD,US20211005012,앰퍼리 디지털,92775707,-3.52,3.29,BUY,
607,오토바이,GGR,US20220405004,고고로,53564967,0.38,2.66,,
607,오토바이,FLYE,NAS0240606001,플라이 이 그룹,3275131,-9.91,2.0,,
707,로봇,EMR,US19530423001,에머슨 일렉트릭,85513468906,1.74,152.82,BUY,
707,로봇,TER,US20181127001,테라다인,55995447516,5.49,357.03,BUY,반도체 장비 강세
707,로봇,ROK,US19560829001,로크웰 오토메이션,48326880557,1.29,433.81,BUY,
707,로봇,SYM,US20220608002,심보틱,26052587789,3.22,42.94,HOLD,
707,로봇,CGNX,US19890720001,코그넥스,10505161228,2.4,62.25,BUY,
707,로봇,SSII,NAS0250425006,SS 이노베이션스 인터내셔널,685482464,0.59,3.41,BUY,
707,로봇,KE,US20141104003,킴볼 일렉트로닉스,601797326,2.41,25.03,BUY,
707,로봇,SERV,NAS0240418004,서브 로보틱스,430129089,2.28,4.94,BUY,
707,로봇,RR,NAS0231114007,리치텍 로보틱스,395178320,1.74,1.75,BUY,
707,로봇,KSCP,US20220127003,나이트스코프,35066079,4.96,1.48,,
707,로봇,BOSC,US19960402001,BOS 베터 온라인 솔루션즈,32814909,0.22,4.64,BUY,
707,로봇,MCRP,AMX0250307001,마이크로폴리스 홀딩,32307711,-5.26,0.9231,BUY,
707,로봇,SNSC,AMX2608012004,선스카우트 홀딩,24795426,-15.08,1.07,,
707,로봇,EXYN,NAS2605015002,엑신 테크놀로지스,22261952,-1.06,2.79,BUY,
707,로봇,KITT,US20220913003,노티커스 로보틱스,4846698,-6.29,0.6466,,
59,전기차부품,BWA,US19930812001,보그워너,13799271645,2.75,67.54,BUY,
59,전기차부품,SEV,NAS0251016008,압테라 모터스,93545064,-2.95,2.3,BUY,
59,전기차부품,FRSX,US20170615001,포어사이트 오토노모스 홀딩스(ADR),6124437,8.33,1.17,BUY,
59,전기차부품,SDST,US20210304004,스타더스트 파워,2478359,-10.33,0.1701,BUY,
25,화장품제조,IPAR,US19910820001,인터파퓸스,3748946029,2.35,116.69,HOLD,
25,화장품제조,YSG,US20201118017,얏센 홀딩(ADR),250474200,12.24,2.66,BUY,
25,화장품제조,UG,US19920317011,유나이티드 가디언,32884477,0.85,7.13,,
25,화장품제조,BYAH,NAS0241227003,박 하 바이올로지컬 테크놀로지,5929482,-4.55,2.52,,
25,화장품제조,ELAB,NAS0231121001,PMGC 홀딩스,4231316,-0.38,5.21,,
205,반도체파운드리,TSM,US19971008002,TSMC(ADR),2231588917400,2.85,428.91,BUY,AI칩 수요 강세
205,반도체파운드리,UMC,US20000919001,UMC(ADR),52254538526,4.58,20.77,SELL,8월 매출 호조
205,반도체파운드리,TSEM,US19941025001,타워 세미컨덕터,25210486326,7.84,222.33,BUY,
205,반도체파운드리,GFS,US20211027013,글로벌파운드리스,24885475616,1.53,45.21,BUY,
27,화장품브랜드,EL,US19951117003,에스티 로더,37695627708,2.97,103.86,BUY,
27,화장품브랜드,ELF,US20160922006,엘프 뷰티,6491940458,2.1,109.67,BUY,
27,화장품브랜드,BBWI,US20131203003,배스 앤 바디 웍스,3946582812,2.85,19.51,HOLD,
27,화장품브랜드,COTY,US20130613002,코티,2588598890,0,2.93,HOLD,
23,화장품,EL,US19951117003,에스티 로더,37695627708,2.97,103.86,BUY,
23,화장품,ELF,US20160922006,엘프 뷰티,6491940458,2.1,109.67,BUY,
23,화장품,BBWI,US20131203003,배스 앤 바디 웍스,3946582812,2.85,19.51,HOLD,
23,화장품,IPAR,US19910820001,인터파퓸스,3748946029,2.35,116.69,HOLD,
23,화장품,COTY,US20130613002,코티,2588598890,0,2.93,HOLD,
23,화장품,YSG,US20201118017,얏센 홀딩(ADR),250474200,12.24,2.66,BUY,
23,화장품,UG,US19920317011,유나이티드 가디언,32884477,0.85,7.13,,
23,화장품,BYAH,NAS0241227003,박 하 바이올로지컬 테크놀로지,5929482,-4.55,2.52,,
23,화장품,ELAB,NAS0231121001,PMGC 홀딩스,4231316,-0.38,5.21,,
169,반도체,NVDA,US19990122001,엔비디아,5569291264757,0.84,230.36,BUY,
169,반도체,TSM,US19971008002,TSMC(ADR),2231588917400,2.85,428.91,BUY,AI칩 수요 강세
169,반도체,AVGO,US20090806002,브로드컴,1708116814689,0.2,357.89,BUY,가이던스 기대 미달
169,반도체,SKHYV,NAS2607010002,SK하이닉스(ADR),1294185349492,8.14,177.0,BUY,
169,반도체,MU,US19890516001,마이크론 테크놀로지,1151772757156,6.1,1016.59,BUY,
169,반도체,AMD,US20150102001,AMD,782094815042,4.69,477.57,BUY,AI 반도체 강세
169,반도체,ASML,US19950315001,ASML 홀딩(ADR),660775392691,4.17,1714.88,BUY,반도체 장비주 강세
169,반도체,INTC,US19711013001,인텔,507916161171,4.51,95.8,HOLD,AI 칩주 강세
169,반도체,LRCX,US19840504001,램 리서치,386190397897,5.12,307.65,BUY,장비주 동반 강세
169,반도체,AMAT,US19721012001,어플라이드 머티리얼즈,362001678387,4.31,454.71,BUY,
169,반도체,ARM,NAS0230914001,ARM 홀딩스(ADR),270106301268,3.92,252.09,BUY,기술주 강세
169,반도체,SNDK,NAS0250224006,샌디스크,255577434648,11.9,1740.0,BUY,
169,반도체,KLAC,US19801008001,KLA,243264510947,7.32,185.6,BUY,반도체 장비주 강세
169,반도체,TXN,US19531001001,텍사스 인스트루먼츠,236768613941,1.82,258.44,BUY,
169,반도체,MRVL,US20000627001,마벨 테크놀로지,196652994172,7.05,223.55,BUY,AI 반도체주 강세
169,반도체,QCOM,US19911213001,퀄컴,177739176136,0.1,168.74,HOLD,
169,반도체,ADI,US19790403001,아날로그 디바이스,176090802144,1.61,362.25,BUY,
169,반도체,ASX,US20180501002,ASE 테크놀로지 홀딩(ADR),82739267714,0.21,37.51,BUY,
169,반도체,MPWR,US20041119001,모놀리식 파워 시스템,60334987172,0.84,1223.86,BUY,
169,반도체,NXPI,US20100806001,NXP 세미컨덕터스,57634117119,1.26,227.83,BUY,
169,반도체,TER,US20181127001,테라다인,55995447516,5.49,357.03,BUY,반도체 장비 강세
169,반도체,COHR,US19871002001,코히런트,55372415797,6.6,281.86,BUY,AI 관련주 강세
169,반도체,ALAB,NAS0240320001,아스테라 랩스,54020639651,9.75,310.4,BUY,
169,반도체,UMC,US20000919001,UMC(ADR),52254538526,4.58,20.77,SELL,8월 매출 호조
169,반도체,STM,US19941208001,ST 마이크로일렉트로닉스(ADR),46774505987,1.87,52.24,BUY,
