corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00123143,보령,003850,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20250203801411,보령,20250203,유
00111111,대양금속,009190,Y,소송등의판결ㆍ결정              ,20250203801409,대양금속,20250203,유
00111111,대양금속,009190,Y,최대주주등소유주식변동신고서              ,20250203801412,대양금속,20250203,유정
00693651,비덴트,121800,K,기타경영사항(자율공시)              (상장폐지효력정지 및 정리매매절차 중지에 대한 가처분 결정),20250203901405,비덴트,20250203,코
00256955,테이팩스,055490,Y,주주총회소집결의              ,20250203801400,테이팩스,20250203,유정
00411808,제이오,418550,K,[기재정정]주주명부폐쇄기간또는기준일설정              (임시주주총회),20250203901402,제이오,20250203,코
00117188,효성,004800,Y,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,20250203801369,효성,20250203,유
00363510,제이케이시냅스,060230,K,주권매매거래정지              (불성실공시법인 지정),20250203901384,코스닥시장본부,20250203,코
01316227,효성티앤씨,298020,Y,기업설명회(IR)개최(안내공시)              ,20250203801376,효성티앤씨,20250203,유
00363510,제이케이시냅스,060230,K,"불성실공시법인지정              (공시불이행, 공시변경)",20250203901383,코스닥시장본부,20250203,코
00622787,바이오노트,377740,Y,주요사항보고서(자기주식취득신탁계약해지결정),20250203000466,바이오노트,20250203,
00411808,제이오,418550,K,[기재정정]주주총회소집결의              (임시주주총회),20250203901379,제이오,20250203,코
00542898,케이이엠텍,106080,K,주요사항보고서(전환사채권발행결정),20250203000470,케이이엠텍,20250203,정
00124504,포스코인터내셔널,047050,Y,주주명부폐쇄기간또는기준일설정              ,20250203801378,포스코인터내셔널,20250203,유
00124504,포스코인터내셔널,047050,Y,주요사항보고서(회사합병결정),20250203000472,포스코인터내셔널,20250203,정
01402995,케이엔에스,432470,K,주요사항보고서(타법인주식및출자증권양수결정),20250203000465,케이엔에스,20250203,
00161693,한샘,009240,Y,매출액또는손익구조30%(대규모법인은15%)이상변경              ,20250203801321,한샘,20250203,유
00155355,풀무원,017810,Y,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,20250203801344,풀무원,20250203,유
00155355,풀무원,017810,Y,매출액또는손익구조30%(대규모법인은15%)이상변경              ,20250203801337,풀무원,20250203,유
00123143,보령,003850,Y,매출액또는손익구조30%(대규모법인은15%)이상변경              ,20250203801318,보령,20250203,유
