티커,종가,시가총액,거래량,거래대금,상장주식수
028300,33750,4495440026250,466294,15859549925,133198223
222800,117900,4477161481200,752610,87225634500,37974228
108490,304500,4466110026000,1433047,428180410000,14667028
454910,68400,4433686632000,367336,25263813700,64819980
051900,294000,4402803762000,37719,11005131750,14975523
001450,51100,4356185575000,474757,24314103600,85248250
005385,185600,4332082176000,38908,7212906250,23340960
010060,227500,4247477780000,234036,53777433750,18670232
004020,31500,4203542227500,502816,15872649425,133445785
011790,84300,4181136521400,59474,5018928450,49598298
403870,50800,4180840000000,1524276,76419799275,82300000
002380,482000,4141775872000,30228,14501352750,8592896
052690,107600,4112472000000,163182,17479977300,38220000
214450,386500,4015598952000,55756,21636137000,10389648
298380,71400,3997504858200,169255,11915864150,55987463
000990,89900,3911062461200,271916,24215698350,43504588
095340,182000,3857864556000,171634,30856453500,21197058
001040,131400,3833857537200,94879,12291940700,29176998
082740,45600,3805189675200,307923,13994001100,83447142
000250,157000,3682823104000,66500,10445159600,23457472
087010,157300,3667819155000,129115,20056089100,23317350
319660,126500,3664289321000,241697,30428749000,28966714
018880,3525,3617575495800,2135865,7527051739,1026262552
004170,382500,3612781732500,75900,28815392750,9445181
008930,52800,3611073840000,320035,16918373000,68391550
161890,145800,3441620226600,345513,50512730800,23605077
141080,92000,3405786456000,161673,14872998900,37019418
440110,67300,3372472117100,468380,30777378800,50111027
111770,75000,3323360100000,57624,4309938900,44311468
022100,21650,3291551882850,507788,10850940975,152034729
103590,68300,3256912137000,195528,13398486300,47685390
036460,35100,3240186300000,528643,18622869800,92313000
028670,5960,3186034291520,3024105,18207108005,534569512
011780,125900,3167307217500,115629,14663911300,25157325
035250,14750,3155622375000,205546,3028533955,213940500
257720,48000,3147660096000,747717,36152013100,65576252
084370,136500,3128039733000,85552,11435680500,22916042
192820,275500,3126789729500,126187,34612819250,11349509
031980,144000,3104984880000,265319,37493067100,21562395
145020,244000,3053702212000,27884,6755066500,12515173
031210,43650,3047712752700,77054,3373188825,69821598
023530,107500,3041041162500,129111,13826576750,28288755
251270,36300,3018650827500,131279,4765584000,83158425
012750,79200,3009534897600,37256,2960193100,37999178
302440,37900,2973503358700,46060,1744973300,78456553
006360,34250,2931166032500,846974,29000759400,85581490
017800,74900,2928019636500,54080,4054258450,39092385
336260,43850,2871899885100,1429271,60534800425,65493726
139130,18120,2869544952960,589573,10791033640,158363408
009420,54700,2857562898600,180083,9794164250,52240638
095610,146800,2842048000000,483943,69298153700,19360000
375500,73400,2840111928200,324809,23931502650,38693623
310210,153000,2834102844000,51018,7672303200,18523548
064760,252000,2817212832000,63876,16080283500,11179416
097950,183400,2760937712400,46433,8530231650,15054186
085620,19920,2692785600000,371689,7482333000,135180000
004800,159000,2661724713000,31328,4988488900,16740407
007340,45100,2638840011500,83013,3768806025,58510865
131290,236500,2616027958500,80439,18821580500,11061429
004370,430000,2615536060000,23388,9959000000,6082642
011170,60000,2566525140000,212068,12808427450,42775419
383220,66900,2562743317500,73056,4849074900,38307075
003690,14500,2562454949500,588471,8627945195,176721031
282330,147600,2551104525600,49243,7185471500,17283906
450080,35850,2538677239500,146282,5243683175,70813870
026960,25450,2537365000000,48308,1228516725,99700000
357780,325000,2528033950000,24244,7831461000,7778566
489790,49400,2494126466000,80096,3945214250,50488390
080220,71800,2472995409400,748175,53009842450,34442833
004990,24750,2466678456000,96135,2376129775,99663776
319400,22050,2455841659950,818526,18007267900,111376039
001720,148000,2433120000000,6462,962640400,16440000
214370,44500,2390317500000,72245,3191834350,53715000
