티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
088280,쏘닉스,코스닥,반도체 제조업,RF필터 파운드리,6900.0,2132850.0,16009731370.0,-1.0,0.0,0.0,6763.0,-73861205.0,47022.0,505132970.0,-6565.0,-48466835.0,25.0,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6590.0,-48469450.0,-49255.0,-396963970.0,2035.0,14159040.0
050890,쏠리드,코스닥,통신 및 방송 장비 제조업,"이동통신중계기,위성DMB용중계기",18200.0,9515131.0,180748001385.0,-3.45,1885375145.0,1.04,366561.0,6520441025.0,-388878.0,-6926020770.0,9165.0,162969570.0,5685.0,98147870.0,0.0,0.0,-110.0,-2050150.0,0.0,0.0,10115.0,185692565.0,-6525.0,-118820715.0,9944.0,189289220.0,3208.0,53320955.0
394800,쓰리빌리언,코스닥,자연과학 및 공학 연구개발업,유전체 분석 기반 희귀 유전질환 진단 검사 서비스,11620.0,318306.0,3680884825.0,-1.27,119049900.0,2.38,17404.0,205569410.0,-87358.0,-1016684380.0,69920.0,810521960.0,1515.0,17628460.0,-2095.0,-24027230.0,55923.0,649018830.0,0.0,0.0,-1819.0,-21081880.0,16396.0,188983780.0,-1014.0,-11813850.0,1048.0,12406860.0
177900,쓰리에이로직스,코스닥,반도체 제조업,NFC/IoT SoC 및 모듈,7390.0,112699.0,839024090.0,-0.67,30043320.0,3.58,-11303.0,-84016800.0,12232.0,91001250.0,-134.0,-1016440.0,-134.0,-1016440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,67280.0,-804.0,-6035290.0
475400,씨메스로보틱스,코스닥,특수 목적용 기계 제조업,AI 기반 로봇 솔루션 및 3D 비전 솔루션,37550.0,437332.0,15884140375.0,11.76,172077025.0,0.58,-131829.0,-4838090500.0,124644.0,4566228700.0,10989.0,409215400.0,305.0,13407775.0,-115.0,-4235075.0,1542.0,57382825.0,0.0,0.0,-16.0,-590675.0,9274.0,343287500.0,-2319.0,-87390900.0,-1485.0,-49962700.0
109670,씨싸이트,코스닥,봉제의복 제조업,니트류 OEM,4765.0,13114.0,62516430.0,-1.45,0.0,0.0,-1365.0,-6485645.0,1370.0,6510220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-24575.0
066790,씨씨에스,코스닥,텔레비전 방송업,케이블TV서비스 및 초고속인터넷서비스,1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222080,씨아이에스,코스닥,특수 목적용 기계 제조업,2차전지 제조설비,16630.0,3232530.0,53426006500.0,2.02,1547333540.0,2.9,298073.0,4925054070.0,-278897.0,-4606864430.0,-25105.0,-418217320.0,-19955.0,-332037635.0,0.0,0.0,-6435.0,-106893885.0,0.0,0.0,0.0,0.0,1285.0,20714200.0,3383.0,56001980.0,2546.0,44025700.0
352480,씨앤씨인터내셔널,코스닥,기타 화학제품 제조업,색조 화장품,27150.0,28184.0,762976125.0,1.88,48599350.0,4.83,18538.0,501205675.0,-16708.0,-451543225.0,-1814.0,-49224450.0,-1814.0,-49224450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,-710300.0,10.0,272300.0
264660,씨앤지하이테크,코스닥,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",22800.0,177126.0,4037517250.0,-2.56,16675550.0,0.41,-22207.0,-499067425.0,22778.0,512499375.0,-509.0,-12063200.0,-509.0,-12063200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.0,35564800.0,-1619.0,-36933550.0
352700,씨앤투스,코스닥,화학섬유 제조업,"에어필터, 산업용 및 보건용 마스크",2000.0,9597.0,19160852.0,-0.99,1794102.0,9.36,1768.0,3539187.0,-2546.0,-5084628.0,624.0,1238376.0,624.0,1238376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,307065.0
458870,씨어스,코스닥,의료용 기기 제조업,심전도검사솔루션 입원환자모니터링솔루션,41200.0,635178.0,26099820550.0,-4.52,641844200.0,1.8,47042.0,1891337250.0,148319.0,6091611075.0,-206061.0,-8413033575.0,-36839.0,-1473961350.0,-438.0,-17640625.0,-173663.0,-7126096475.0,0.0,0.0,655.0,26499850.0,4224.0,178165025.0,3635.0,146285850.0,7065.0,283799400.0
297090,씨에스베어링,코스닥,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",7620.0,185701.0,1416178480.0,-1.93,76578790.0,5.41,49968.0,381341985.0,-61387.0,-468634330.0,19773.0,150731275.0,8191.0,62358430.0,0.0,0.0,11582.0,88372845.0,0.0,0.0,0.0,0.0,0.0,0.0,-9874.0,-75067210.0,1520.0,11628280.0
900120,씨엑스아이,코스닥,기타 금융업,건강보조식품,377.0,433992.0,162233908.0,-5.04,0.0,0.0,-3617.0,-1318652.0,4126.0,1506753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-509.0,-188101.0,0.0,0.0
359090,씨엔알리서치,코스닥,"그외 기타 전문, 과학 및 기술 서비스업",금융 지원 서비스,704.0,315750.0,223494559.0,-1.54,0.0,0.0,-27404.0,-19546076.0,3689.0,2644953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,611758.0,22847.0,16289365.0
115530,씨엔플러스,코스닥,전자부품 제조업,커넥터,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388210,씨엠티엑스,코스닥,전자부품 제조업,반도체 장비용 소모성 부품,133500.0,85056.0,11213187650.0,1.37,156330300.0,1.01,13979.0,1846319750.0,1688.0,213559300.0,-14234.0,-1872182350.0,5580.0,737527100.0,-1622.0,-213673100.0,-16141.0,-2125177700.0,-497.0,-65316100.0,5263.0,693559000.0,-6806.0,-897661050.0,-430.0,-55929400.0,-1003.0,-131767300.0
115480,씨유메디칼,코스닥,의료용 기기 제조업,심장제세동기,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376290,씨유테크,코스닥,전자부품 제조업,"휴대폰, 전장 등 실장부품",2840.0,9777.0,27511735.0,0.35,960090.0,3.49,105.0,324790.0,499.0,1379410.0,-545.0,-1538985.0,-545.0,-1538985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,-165215.0
